feature	ref_CI	permuted_CI	algo	model
1	ASXL1	0.610888927837351	0.614123420595593	Cox	cyto_gen_comp
2	ASXL1	0.610888927837351	0.606156689663963	Cox	cyto_gen_comp
3	ASXL1	0.610888927837351	0.611852902280078	Cox	cyto_gen_comp
4	ASXL1	0.610888927837351	0.61122353053648	Cox	cyto_gen_comp
5	ASXL2	0.610888927837351	0.609431016076863	Cox	cyto_gen_comp
6	ASXL2	0.610888927837351	0.609598317426427	Cox	cyto_gen_comp
7	ASXL2	0.610888927837351	0.609486783193384	Cox	cyto_gen_comp
8	ASXL2	0.610888927837351	0.610657892640334	Cox	cyto_gen_comp
9	ASXL3	0.610888927837351	0.608052771625691	Cox	cyto_gen_comp
10	ASXL3	0.610888927837351	0.6128407769156	Cox	cyto_gen_comp
11	ASXL3	0.610888927837351	0.612816876722806	Cox	cyto_gen_comp
12	ASXL3	0.610888927837351	0.612370739790634	Cox	cyto_gen_comp
13	ATRX	0.610888927837351	0.609088446646803	Cox	cyto_gen_comp
14	ATRX	0.610888927837351	0.607343732572776	Cox	cyto_gen_comp
15	ATRX	0.610888927837351	0.609789518968786	Cox	cyto_gen_comp
16	ATRX	0.610888927837351	0.61049059129077	Cox	cyto_gen_comp
17	BAGE3	0.610888927837351	0.609199980879846	Cox	cyto_gen_comp
18	BAGE3	0.610888927837351	0.610474657828907	Cox	cyto_gen_comp
19	BAGE3	0.610888927837351	0.610904861299215	Cox	cyto_gen_comp
20	BAGE3	0.610888927837351	0.611733401316104	Cox	cyto_gen_comp
21	BCOR	0.610888927837351	0.611064195917847	Cox	cyto_gen_comp
22	BCOR	0.610888927837351	0.612099870938959	Cox	cyto_gen_comp
23	BCOR	0.610888927837351	0.612123771131754	Cox	cyto_gen_comp
24	BCOR	0.610888927837351	0.611390831886044	Cox	cyto_gen_comp
25	BRAF	0.610888927837351	0.611111996303437	Cox	cyto_gen_comp
26	BRAF	0.610888927837351	0.612561941332993	Cox	cyto_gen_comp
27	BRAF	0.610888927837351	0.611972403244053	Cox	cyto_gen_comp
28	BRAF	0.610888927837351	0.611239463998343	Cox	cyto_gen_comp
29	CBFB	0.610888927837351	0.610888927837351	Cox	cyto_gen_comp
30	CBFB	0.610888927837351	0.610888927837351	Cox	cyto_gen_comp
31	CBFB	0.610888927837351	0.610888927837351	Cox	cyto_gen_comp
32	CBFB	0.610888927837351	0.610888927837351	Cox	cyto_gen_comp
33	CBL	0.610888927837351	0.611287264383933	Cox	cyto_gen_comp
