feature	ref_CI	permuted_CI	algo	model
1	ASXL1	0.705454023995794	0.706824301716034	Lasso	gen_age
2	ASXL1	0.705454023995794	0.702028329695193	Lasso	gen_age
3	ASXL1	0.705454023995794	0.705501824381383	Lasso	gen_age
4	ASXL1	0.705454023995794	0.7055814916907	Lasso	gen_age
5	ASXL2	0.705454023995794	0.705454023995794	Lasso	gen_age
6	ASXL2	0.705454023995794	0.705454023995794	Lasso	gen_age
7	ASXL2	0.705454023995794	0.705454023995794	Lasso	gen_age
8	ASXL2	0.705454023995794	0.705454023995794	Lasso	gen_age
9	ASXL3	0.705454023995794	0.705454023995794	Lasso	gen_age
10	ASXL3	0.705454023995794	0.705454023995794	Lasso	gen_age
11	ASXL3	0.705454023995794	0.705454023995794	Lasso	gen_age
12	ASXL3	0.705454023995794	0.705454023995794	Lasso	gen_age
13	ATRX	0.705454023995794	0.705454023995794	Lasso	gen_age
14	ATRX	0.705454023995794	0.705454023995794	Lasso	gen_age
15	ATRX	0.705454023995794	0.705454023995794	Lasso	gen_age
16	ATRX	0.705454023995794	0.705454023995794	Lasso	gen_age
17	BAGE3	0.705454023995794	0.705454023995794	Lasso	gen_age
18	BAGE3	0.705454023995794	0.705454023995794	Lasso	gen_age
19	BAGE3	0.705454023995794	0.705454023995794	Lasso	gen_age
20	BAGE3	0.705454023995794	0.705454023995794	Lasso	gen_age
21	BCOR	0.705454023995794	0.705454023995794	Lasso	gen_age
22	BCOR	0.705454023995794	0.705454023995794	Lasso	gen_age
23	BCOR	0.705454023995794	0.705454023995794	Lasso	gen_age
24	BCOR	0.705454023995794	0.705454023995794	Lasso	gen_age
25	BRAF	0.705454023995794	0.705454023995794	Lasso	gen_age
26	BRAF	0.705454023995794	0.705454023995794	Lasso	gen_age
27	BRAF	0.705454023995794	0.705454023995794	Lasso	gen_age
28	BRAF	0.705454023995794	0.705454023995794	Lasso	gen_age
29	CBFB	0.705454023995794	0.705454023995794	Lasso	gen_age
30	CBFB	0.705454023995794	0.705454023995794	Lasso	gen_age
31	CBFB	0.705454023995794	0.705454023995794	Lasso	gen_age
32	CBFB	0.705454023995794	0.705454023995794	Lasso	gen_age
33	CBL	0.705454023995794	0.705454023995794	Lasso	gen_age
34	CBL	0.705454023995794	0.705454023995794	Lasso	gen_age
35	CBL	0.705454023995794	0.705454023995794	Lasso	gen_age
36	CBL	0.705454023995794	0.705454023995794	Lasso	gen_age
37	CDKN2A	0.705454023995794	0.705454023995794	Lasso	gen_age
38	CDKN2A	0.705454023995794	0.705454023995794	Lasso	gen_age
39	CDKN2A	0.705454023995794	0.705454023995794	Lasso	gen_age
40	CDKN2A	0.705454023995794	0.705454023995794	Lasso	gen_age
41	CEBPA_bi	0.705454023995794	0.705454023995794	Lasso	gen_age
42	CEBPA_bi	0.705454023995794	0.705454023995794	Lasso	gen_age
43	CEBPA_bi	0.705454023995794	0.705454023995794	Lasso	gen_age
44	CEBPA_bi	0.705454023995794	0.705454023995794	Lasso	gen_age
45	CEBPA_mono	0.705454023995794	0.705454023995794	Lasso	gen_age
46	CEBPA_mono	0.705454023995794	0.705454023995794	Lasso	gen_age
47	CEBPA_mono	0.705454023995794	0.705454023995794	Lasso	gen_age
48	CEBPA_mono	0.705454023995794	0.705454023995794	Lasso	gen_age
49	CNTN5	0.705454023995794	0.705454023995794	Lasso	gen_age
50	CNTN5	0.705454023995794	0.705454023995794	Lasso	gen_age
51	CNTN5	0.705454023995794	0.705454023995794	Lasso	gen_age
52	CNTN5	0.705454023995794	0.705454023995794	Lasso	gen_age
53	CREBBP	0.705454023995794	0.705454023995794	Lasso	gen_age
54	CREBBP	0.705454023995794	0.705454023995794	Lasso	gen_age
55	CREBBP	0.705454023995794	0.705454023995794	Lasso	gen_age
56	CREBBP	0.705454023995794	0.705454023995794	Lasso	gen_age
57	CSF1R	0.705454023995794	0.705454023995794	Lasso	gen_age
58	CSF1R	0.705454023995794	0.705454023995794	Lasso	gen_age
59	CSF1R	0.705454023995794	0.705454023995794	Lasso	gen_age
