feature	coef	n
1	add_11	29.2889671828889	100
2	add_13	14.5820406524528	100
3	add_21	6.28805166062302	100
4	add_22	-25.9546227420247	100
5	add_8	4.30430559970107	100
6	age	2.41936833678303	100
7	ahd	-32.5041459058969	100
8	ASXL1	19.7124933209262	100
9	ASXL2	0.385514359307123	100
10	ASXL3	33.2801085830682	81
11	ATRX	42.7236713883745	100
12	BAGE3	-16.1462871515342	100
13	BCOR	11.977354736065	100
14	bm_blasts	0.118601883015362	100
15	BRAF	81.0319902059012	100
16	CBFB	24.0274847115271	88
17	CBL	4.4039748439248	100
18	CDKN2A	51.4452933280728	86
19	CEBPA_bi	-14.1058576435367	100
20	CEBPA_mono	-2.44249721134507	100
21	CNTN5	76.1728529875754	58
22	complex	23.9379645453528	100
23	CREBBP	-30.3137632690713	100
24	CSF1R	89.1988354978913	49
25	CSF3R	5.07002088354998	100
26	CTCF	35.4869760304105	100
27	CUL2	-76.008664323051	57
28	CUX1	25.8477145984527	100
29	del_12	18.462516943131	100
30	del_13	-28.6474911423314	100
31	del_16	5.56703662267565	100
32	del_17	27.3013889563079	100
33	del_18	-5.53250346790916	100
34	del_20	5.09216989243616	100
35	del_3	5.17861001954074	100
36	del_5	27.2193063108602	100
37	del_7	25.6735590100404	100
38	del_9	22.2787322029965	100
39	DNMT3A	9.62214308630292	100
40	EED	77.4798446069292	100
41	ETV6	12.3863564225155	100
42	EZH2	17.4491706553216	100
43	FBXW7	-10.9518158135708	100
44	FLT3_other	-0.039622196763097	100
45	FLT3_TKD	-7.69604675037938	100
46	GATA1	-38.7680641586052	100
47	GATA2	-11.2747726897453	100
48	gender	2.23776554538086	100
49	GNAS	-57.5389981636018	100
50	GNB1	-27.4505376473644	92
51	hb	-0.0335226543777897	100
52	IDH1	-0.158601122909094	100
53	IDH2_p.R140	2.64456867866009	100
54	IDH2_p.R172	-31.7894106154524	100
55	inv_3	76.1599110128561	100
56	ITD	17.3935515349132	100
57	JAK2	12.7693077215447	100
58	JAK3	1.76485162907655	100
59	KANSL1	-15.1916196329476	100
60	KDM6A	5.21638306343608	100
61	KIT	-14.7041763955066	100
62	KMT2C	-16.0840668656415	100
63	KMT2D	13.8739397908636	100
64	KMT2E	-16.1599719395641	100
65	KRAS	7.64657499498144	100
66	LUC7L2	54.1159136776765	100
67	MED12	16.7552037847207	100
68	minusy	-6.31858672576687	100
69	MLL	21.8480022496295	100
70	MPL	65.3127113568557	100
71	MYC	-12.0028430278593	100
72	NF1	0.825380034722642	100
73	NFE2	-59.7191020771126	100
74	NOTCH1	15.2476806838976	100
75	NPM1	-20.8123489750177	100
76	NRAS_other	4.20681175125517	100
77	NRAS_p.G12_13	3.38347290547735	100
78	NRAS_p.Q61_62	14.2563372715552	100
79	others_transloc	18.5114026632441	100
80	PDS5B	-55.5200856151523	78
81	perf_status	17.7219078765402	100
82	PHF6	3.44524582802632	100
83	plt	-0.0296343410680625	100
84	PPFIA2	0.371260661716068	54
85	PRPF8	29.6151968041464	100
86	PTEN	-39.5778627503236	50
87	PTPN11	-14.0247228574605	100
88	PTPRF	0.394564825230228	54
89	PTPRT	88.0137726881137	61
90	RAD21	-5.13679633891456	100
91	RIT1	-20.7439378357248	100
92	RUNX1	10.6762987386173	100
93	S100B	-35.2455249021296	60
94	secondary	7.33217740898199	100
95	SETBP1	12.4793927371066	100
96	SF1	62.5356699650582	99
97	SF3B1	22.4906980094437	100
98	SMC1A	10.2931175584251	100
99	SMC3	5.31978287927957	100
100	SMG1	-6.40761755581917	86
101	SPP1	-13.4807756522106	50
102	SRSF2	14.082097456907	100
103	STAG2	1.08389275780603	100
104	STAT5B	-9.07137980881791	100
105	SUZ12	3.93254131754551	100
106	t_1_12	-60.5106882508973	76
107	t_1_14	4.31287281215092	74
108	t_1_16	9.31369589290182	96
109	t_1_17	59.1383481424764	94
110	t_1_19	-29.5548317143032	75
111	t_1_3	106.784436503725	93
112	t_1_4	31.5162701811771	95
113	t_1_5	36.8176075839848	81
114	t_1_6	19.1702070509425	82
115	t_10_21	-34.7851358945804	56
116	t_12_13	-79.2658372000021	81
117	t_12_17	-34.8603420636986	93
118	t_12_22	-1.03568112151248	98
119	t_13_19	-85.9135242248124	62
120	t_15_16	31.979756410708	82
121	t_15_17	-72.7040928412249	100
122	t_16_17	28.1697676036021	97
123	t_16_21	78.0073382589324	76
124	t_17_19	-41.9847826576521	92
125	t_17_21	-65.9740569608395	97
126	t_2_17	41.8286371453607	92
127	t_2_3	50.3447471808088	84
128	t_2_5	-3.48553375769167	86
129	t_2_7	-48.5333629893435	84
130	t_2_9	-39.747497566589	81
131	t_3_16	-5.78530192539245	95
132	t_3_21	109.033377580673	93
133	t_3_5	16.9174789278196	79
134	t_3_7	-13.4295198237342	80
135	t_3_9	6.01535064876117	81
136	t_4_12	-42.670511490569	89
137	t_4_21	-102.377322030853	81
138	t_4_9	51.701001742542	84
139	t_5_12	-68.8263540294736	80
140	t_5_17	9.61375597867971	63
141	t_5_9	-26.6899779418968	86
142	t_6_9	33.2063206915106	100
143	t_7_16	75.6764418600013	74
144	t_7_17	-32.4686377811355	90
145	t_7_8	-62.9689258388245	85
146	t_8_10	-34.7667759431679	56
147	t_8_13	122.586726887172	95
148	t_8_16	114.921180612799	94
149	t_8_17	12.737880440227	97
150	t_8_21	-46.919234299995	100
151	t_9_11	34.7903940293375	100
152	t_9_13	5.82180383642879	64
153	t_9_17	-56.9966972767936	76
154	t_9_22	-85.8370088226249	100
