feature	coef	n
1	add_11	0.248560355818522	46
2	add_13	0.0222793148104345	11
3	add_21	0.0116274852792885	3
4	add_22	-0.20553968007014	51
5	add_8	0.0533292818651738	9
6	ASXL1	1.8402471396054	98
7	ATRX	0.0125947183602249	7
8	BAGE3	-0.00774811881681683	10
9	BCOR	0.098128555640621	17
10	BRAF	0.0162621953613081	11
11	CBFB	-0.00032020241790639	1
12	CBL	0.00322465665086408	2
13	CEBPA_bi	-0.142525335267909	37
14	CEBPA_mono	-0.00416805951049643	4
15	complex	1.46867812503655	79
16	CSF1R	0.0019895962205422	2
17	CTCF	0.0185916924902913	10
18	CUX1	0.140300725024465	41
19	del_12	0.0480505286664984	18
20	del_13	-0.00838327270604838	6
21	del_16	0.014643177358185	6
22	del_17	0.240022928472825	44
23	del_20	0.0996668865350605	30
24	del_3	0.00206248030171605	1
25	del_5	0.949524521697265	76
26	del_7	0.9897173601034	78
27	del_9	0.00869507976487758	3
28	DNMT3A	0.157247913697884	13
29	EED	0.026820734069185	23
30	ETV6	0.00263887384628571	2
31	EZH2	0.271473815169363	46
32	FBXW7	-0.0251829930803721	11
33	FLT3_other	0.00139589221409982	1
34	FLT3_TKD	-0.0297608487663034	6
35	GATA1	-0.0133342905700612	13
36	GATA2	-0.0313457966029946	10
37	GNAS	-0.00292707791262606	4
38	GNB1	-0.00887299280748227	11
39	IDH1	-0.00982544360176152	6
40	IDH2_p.R140	0.00492046523721397	2
41	IDH2_p.R172	-0.15181465841834	39
42	inv_3	0.254673432442804	66
43	ITD	1.19837345236982	79
44	JAK2	0.0865956549353086	24
45	JAK3	-0.00119492116789656	2
46	KANSL1	-0.000690332415029579	1
47	KDM6A	-0.00213007336340528	3
48	KIT	-0.245435599669035	47
49	KMT2D	0.00430171786221999	4
50	KMT2E	-0.00426703177199499	5
51	KRAS	0.0103951372268781	5
52	LUC7L2	0.00270109164171011	1
53	MED12	0.0078291038757008	4
54	minusy	-0.00633195998824396	2
55	MLL	0.769104118865962	80
56	MPL	0.0721468248260759	34
57	MYC	-0.0377322404069028	13
58	NF1	-0.00445598971334684	2
59	NFE2	-0.0442877153807623	29
60	NPM1	-1.69032096705172	70
61	NRAS_other	0.000502350847082725	1
62	NRAS_p.G12_13	0.0027390784763545	1
63	NRAS_p.Q61_62	0.0284410112896777	6
64	others_transloc	0.027221791506938	10
65	PDS5B	-0.000820835984058636	3
66	PHF6	0.00442673305703461	1
67	PRPF8	0.00546902145262647	4
68	PTEN	-0.000310150444426556	1
69	PTPN11	-0.265971740232056	36
70	PTPRT	0.000738941115375289	1
71	RAD21	-0.08880476850205	21
72	RIT1	-0.036296751284299	13
73	RUNX1	1.78846899709709	87
74	SETBP1	0.0381488215725844	11
75	SF1	0.0160419847362044	9
76	SF3B1	0.407837512194552	67
77	SMC1A	0.0115232961715291	3
78	SMC3	9.82132089277839e-05	2
79	SMG1	-0.00283759274081741	6
80	SRSF2	2.86964680038827	100
81	STAG2	0.0343564128292543	5
82	STAT5B	0.0004881053822253	1
83	SUZ12	0.00355856477831357	3
84	t_1_17	0.000474694500493966	1
85	t_1_19	-0.000355111543039528	1
86	t_1_3	0.00128165161859453	2
87	t_12_13	-0.000478935674084852	1
88	t_12_17	-0.000366247084642247	1
89	t_13_19	-0.00251360355498993	7
90	t_15_17	-0.295499033189215	75
91	t_16_21	0.00268892572760842	3
92	t_17_21	-0.0396997501809535	40
93	t_2_7	-0.000377289065735015	1
94	t_3_16	-0.00169332953774679	3
95	t_3_21	0.00107169706604802	1
96	t_4_12	-0.000658159855209259	2
97	t_4_21	-0.00430022454345789	8
98	t_5_12	-0.00321785680823452	4
99	t_7_16	0.00166207304020622	2
100	t_7_17	-0.0239831543969977	32
101	t_7_8	-0.00262604590125734	4
102	t_8_13	0.0204964115513707	11
103	t_8_16	0.00250126927180186	3
104	t_8_21	-2.46225854069772	100
105	t_9_17	-0.012288261635177	26
106	t_9_22	-0.0347953753569137	32
107	t_v_11	-0.0045993971243909	2
108	TET2	1.80892503599035	89
109	TP53	6.8658557296568	100
110	U2AF1_p.Q157	0.369230507835203	62
111	U2AF1_p.S34	0.491403399709212	79
112	WT1	0.0979700330989067	17
113	ZRSR2	0.0370038446895066	13
