feature	coef	n
1	ASXL1	28.2867261061652	100
2	ASXL2	-8.98103675647353	100
3	ASXL3	33.3727010142286	81
4	ATRX	46.0052813068768	100
5	BAGE3	-17.9668117658864	100
6	BCOR	7.59771837390026	100
7	BRAF	57.4941390402417	100
8	CBFB	21.0325608428156	88
9	CBL	2.4800020947556	100
10	CDKN2A	92.4130999376189	86
11	CEBPA_bi	-23.4321835940364	100
12	CEBPA_mono	-1.16447939085383	100
13	CNTN5	101.119689984215	58
14	CREBBP	-26.0917610251493	100
15	CSF1R	107.401648176432	49
16	CSF3R	2.57173191709366	100
17	CTCF	33.0295834364395	100
18	CUL2	-67.1157042150634	57
19	CUX1	35.8035291362204	100
20	DNMT3A	12.7638509335729	100
21	EED	87.445253902948	100
22	ETV6	12.5542280920289	100
23	EZH2	26.4392712661048	100
24	FBXW7	-18.2999470245939	100
25	FLT3_other	2.26788169815346	100
26	FLT3_TKD	-5.84604052851815	100
27	GATA1	-40.3933213357739	100
28	GATA2	-3.51211883584547	100
29	GNAS	-32.6675978458093	100
30	GNB1	-19.0730261080566	92
31	IDH1	0.491955772634862	100
32	IDH2_p.R140	5.42698467565276	100
33	IDH2_p.R172	-32.3882261499024	100
34	ITD	20.0777663161866	100
35	JAK2	24.1999452258246	100
36	JAK3	-10.2861338519235	100
37	KANSL1	-1.64785626495169	100
38	KDM6A	-5.69829997879541	100
39	KIT	-32.1632777402868	100
40	KMT2C	-17.6358772263506	100
41	KMT2D	6.93103593117993	100
42	KMT2E	-10.1400325716593	100
43	KRAS	11.9701612674963	100
44	LUC7L2	39.3397250265633	100
45	MED12	23.3056994898051	100
46	MLL	25.5482397146217	100
47	MPL	61.4082279514008	100
48	MYC	-18.1333714866603	100
49	NF1	1.30630156837112	100
50	NFE2	-75.7977902569062	100
51	NOTCH1	3.10908574936308	100
52	NPM1	-16.2767023023417	100
53	NRAS_other	22.2000116016275	100
54	NRAS_p.G12_13	1.85133043737949	100
55	NRAS_p.Q61_62	10.5464688831035	100
56	PDS5B	-46.7637995674573	78
57	PHF6	-0.490915383254067	100
58	PPFIA2	12.960321836912	54
59	PRPF8	29.8311787776448	100
60	PTEN	-56.1652602084212	50
61	PTPN11	-14.9625729497822	100
62	PTPRF	12.7931692599802	54
63	PTPRT	56.4471113286604	61
64	RAD21	-19.704088879381	100
65	RIT1	-25.2408231503858	100
66	RUNX1	14.7674970694574	100
67	S100B	-19.8163111504592	60
68	SETBP1	21.3975200558334	100
69	SF1	82.8617743582609	99
70	SF3B1	47.9764739772441	100
71	SMC1A	10.1329162893554	100
72	SMC3	1.4406870474401	100
73	SMG1	-3.17159830069593	86
74	SPP1	-8.18408998153006	50
75	SRSF2	30.5481146502471	100
76	STAG2	3.5680863685615	100
77	STAT5B	0.311693259539368	100
78	SUZ12	-5.36878287505988	100
79	TET2	22.9115304271119	100
80	TP53	115.933420967878	100
81	U2AF1_p.Q157	46.861518546002	100
82	U2AF1_p.S34	33.4131134397892	100
83	WT1	19.408471840259	100
84	ZRSR2	16.9767964670879	100
