feature	coef	n
1	add_11	42.6574553018434	98
2	add_13	14.5507645236318	74
3	add_21	4.10771010292163	46
4	add_22	-36.9541178539457	95
5	add_8	10.4513838136763	73
6	ahd	-61.0382168584537	100
7	bm_blasts	-0.0156602557749811	48
8	complex	31.052327241151	96
9	del_12	7.98464008786984	54
10	del_13	-23.8387243878653	78
11	del_16	-0.740350244249096	54
12	del_17	51.7802749164581	99
13	del_18	-1.5291089733716	58
14	del_20	7.23136506028139	57
15	del_3	5.39478558668659	46
16	del_5	48.6655086617202	100
17	del_7	32.3843651596984	100
18	del_9	11.0135990272117	59
19	hb	-0.0800025097943496	56
20	inv_3	48.0017467210755	94
21	minusy	1.8570707214155	48
22	others_transloc	5.07527367490772	55
23	perf_status	26.4206230654206	100
24	plt	-0.0260172246722027	72
25	secondary	18.3121567041042	100
26	t_1_12	-18.5276004577763	41
27	t_1_14	0.902906329489217	8
28	t_1_16	20.5619154573784	51
29	t_1_17	50.1465626945258	54
30	t_1_19	-13.0699307488874	38
31	t_1_3	72.2425585596861	85
32	t_1_4	6.4287732849863	33
33	t_1_5	37.8146307387809	52
34	t_1_6	56.2822028863554	50
35	t_10_21	-4.8806922700499	17
36	t_12_13	-61.5579668838956	79
37	t_12_17	-6.50059881280969	42
38	t_12_22	-4.79109499736251	42
39	t_13_19	-39.0252483211618	61
40	t_15_16	11.2579254040197	25
41	t_15_17	-91.1930687797972	100
42	t_16_17	29.0114397888323	52
43	t_16_21	85.0415733484711	69
44	t_17_19	-34.9437264888636	65
45	t_17_21	-76.2754123057641	74
46	t_2_17	20.5665006388262	58
47	t_2_3	51.7505511493632	55
48	t_2_5	-1.39064223232255	15
49	t_2_7	-29.0519276787728	58
50	t_2_9	-36.2872139403606	54
51	t_3_16	-4.14139038865201	48
52	t_3_21	94.1794930431196	86
53	t_3_5	1.35706251886518	53
54	t_3_7	-8.869855953922	51
55	t_3_9	4.03222956188347	14
56	t_4_12	-6.87901582725267	51
57	t_4_21	-33.6912120720103	60
58	t_4_9	22.5130922676801	65
59	t_5_12	-34.3955989381691	54
60	t_5_17	-0.645911000616793	4
61	t_5_9	-8.43686661716328	36
62	t_6_9	10.2571900291817	60
63	t_7_16	55.7455346144395	67
64	t_7_17	-39.15314290198	62
65	t_7_8	-48.9028588943219	74
66	t_8_10	-1.07393825152265	17
67	t_8_13	101.695893770619	90
68	t_8_16	74.9400000244666	90
69	t_8_17	15.0711583517355	48
70	t_8_21	-84.8366868333788	100
71	t_9_11	4.97556422370671	47
72	t_9_13	-0.314755544081556	3
73	t_9_17	-24.5319189888211	61
74	t_9_22	-88.1099433716158	96
75	t_v_11	2.68454153899104	45
76	wbc	0.153445818051043	100
