feature	coef	n
1	add_11	29.6403725078415	90
2	add_13	5.95207955594089	58
3	add_21	2.80379153444448	44
4	add_22	-37.3244972768057	95
5	add_8	2.93459004068237	46
6	ahd	-55.3162456641485	100
7	bm_blasts	0.0677844694649271	57
8	complex	-1.6093821512857	11
9	del_12	3.50077638048885	51
10	del_13	-24.0174447124361	83
11	del_16	-3.95048240914751	49
12	del_17	36.9670376493451	92
13	del_18	-7.59450493462785	54
14	del_20	2.49673407942503	51
15	del_3	5.42878074444824	42
16	del_5	43.3403240772938	98
17	del_7	18.55777775185	93
18	del_9	13.0239372154078	66
19	final_component_NC1	46.5074535367349	100
20	final_component_NC2	36.007169620359	99
21	final_component_NC3	37.3188969870067	94
22	final_component_NC6	42.9059350743341	96
23	final_component_NC7	-6.55507127579464	46
24	final_component_c1_NPM1	-15.7170886221653	89
25	final_component_c2_TP53_complex	77.847384716871	100
26	final_component_c3_rare_fusion	0.615578065506428	24
27	final_component_c3_trans11	-3.19050852566138	23
28	final_component_c3_trans15_17	-67.6108558393878	87
29	final_component_c4_5_trans_8_21	-3.87545092023991	12
30	final_component_c6_biallelic_CEBPA	-20.138579047723	66
31	final_component_c7_inversion_3	8.17736756492646	34
32	final_component_c8_BAGE3_KMT2C	3.56426557177119	62
33	final_component_chr_splicing	-5.9121225147505	45
34	final_component_nc4_DNMT3A_IDH2	2.99744088728084	29
35	final_component_not_assigned	-18.442181042952	95
36	hb	-0.0817342614369256	58
37	inv_3	53.0574090663277	91
38	minusy	2.43663990725144	47
39	others_transloc	3.23548580222667	64
40	perf_status	26.6694102287275	100
41	plt	-0.0267976225966318	71
42	secondary	10.3077075117769	97
43	t_10_21	-5.79475273831195	20
44	t_12_13	-59.1491833098559	74
45	t_12_17	-11.3718288355578	43
46	t_12_22	-1.94240749602645	41
47	t_13_19	-59.5104198552815	60
48	t_15_16	11.0178409037871	24
49	t_15_17	-38.92762383277	39
50	t_16_17	30.327002185835	48
51	t_16_21	82.4198245460902	62
52	t_17_19	-29.1614330164076	50
53	t_17_21	-82.3120051356168	61
54	t_1_12	-17.8530452526689	39
55	t_1_14	-0.203201385159619	14
56	t_1_16	24.1250103565526	58
57	t_1_17	58.5309659423377	54
58	t_1_19	-9.80609390011713	41
59	t_1_3	66.485189057878	81
60	t_1_4	9.1677523009771	39
61	t_1_5	38.5653315251016	46
62	t_1_6	50.681513186626	54
63	t_2_17	27.8854491785642	59
64	t_2_3	43.4790740312231	57
65	t_2_5	0.483888585281538	11
66	t_2_7	-34.0878723361616	58
67	t_2_9	-26.5903485895624	44
68	t_3_16	-7.20642650081655	48
69	t_3_21	77.7242870400936	77
70	t_3_5	0.654791308033002	50
71	t_3_7	-25.3943519207518	51
72	t_3_9	2.48170680873734	9
73	t_4_12	-25.5200420967928	57
74	t_4_21	-46.5993465804925	59
75	t_4_9	17.609622697206	52
76	t_5_12	-30.4034590868378	51
77	t_5_17	-4.31163423803484	21
78	t_5_9	-10.6505966782701	32
79	t_6_9	13.7061736216984	59
80	t_7_16	51.8998368776432	62
81	t_7_17	-39.4096156166533	60
82	t_7_8	-39.9886428871033	75
83	t_8_10	-0.00619517071228153	9
84	t_8_13	110.049104351553	91
85	t_8_16	68.2563321009513	84
86	t_8_17	17.3412786074812	45
87	t_8_21	-82.8332004401498	99
88	t_9_11	9.22719951317681	42
89	t_9_13	0.536443429001717	10
90	t_9_17	-39.823942520151	66
91	t_9_22	-71.3022263045127	92
92	t_v_11	5.43675533096832	39
93	wbc	0.192922970635264	99
