feature	coef	n
1	add_11	34.8705148987144	100
2	add_13	6.48927293600542	100
3	add_21	7.02490871410748	100
4	add_22	-39.6706023087293	100
5	add_8	4.36234259608532	100
6	ahd	-53.6862183088248	100
7	bm_blasts	0.159354426472652	100
8	complex	-9.02587637587098	100
9	del_12	3.91004959314483	100
10	del_13	-31.0688280378891	100
11	del_16	-2.45598262599015	100
12	del_17	38.9505954755651	100
13	del_18	-15.2906810858402	100
14	del_20	2.75240032553628	100
15	del_3	4.75579015595251	100
16	del_5	47.0254415580551	100
17	del_7	23.707797940871	100
18	del_9	17.4931475826862	100
19	final_component_NC1	43.0645584018605	100
20	final_component_NC2	33.3956596683026	100
21	final_component_NC3	32.9402047841604	100
22	final_component_NC6	38.6977126401625	100
23	final_component_NC7	-0.545351863684039	100
24	final_component_c1_NPM1	-25.5500634718679	100
25	final_component_c2_TP53_complex	75.3235760845399	100
26	final_component_c3_rare_fusion	-5.72934660392129	100
27	final_component_c3_trans11	-15.5866696240365	100
28	final_component_c3_trans15_17	-45.2225057264132	100
29	final_component_c4_5_trans_8_21	-37.5155482954949	100
30	final_component_c6_biallelic_CEBPA	-28.0716862117308	100
31	final_component_c7_inversion_3	13.8568597247237	100
32	final_component_c8_BAGE3_KMT2C	-0.912484014942411	100
33	final_component_chr_splicing	-14.9614001209374	100
34	final_component_nc4_DNMT3A_IDH2	-0.2113390870917	100
35	final_component_not_assigned	-29.6626769493603	100
36	hb	-0.138081464325935	100
37	inv_3	42.457069608001	100
38	minusy	6.7918297122428	100
39	others_transloc	3.94392773057651	100
40	perf_status	28.8395290729198	100
41	plt	-0.0368110767228554	100
42	secondary	15.7997302291952	100
43	t_10_21	-2.04440309980286	100
44	t_12_13	-13.3454762735529	100
45	t_12_17	-6.09505028194853	100
46	t_12_22	1.40195220166398	100
47	t_13_19	-10.6481108138886	100
48	t_15_16	3.36160580641958	100
49	t_15_17	-33.547758087908	100
50	t_16_17	14.1437830036324	100
51	t_16_21	18.0857843586856	100
52	t_17_19	-7.9321482947134	100
53	t_17_21	-19.0280059631855	100
54	t_1_12	-2.77201240317437	100
55	t_1_14	2.01994439450186	100
56	t_1_16	14.6716903976927	100
57	t_1_17	15.8455985758682	100
58	t_1_19	-5.55941951631834	100
59	t_1_3	20.6370433426563	100
60	t_1_4	11.3139074886821	100
61	t_1_5	11.6839782989609	100
62	t_1_6	8.09457916687394	100
63	t_2_17	10.6245764232191	100
64	t_2_3	13.2062952024276	100
65	t_2_5	5.58253074130404	100
66	t_2_7	-14.1485681908204	100
67	t_2_9	-7.15275515285485	100
68	t_3_16	-8.56344526911821	100
69	t_3_21	23.2126398780233	100
70	t_3_5	1.84520623326126	100
71	t_3_7	-3.3260958911853	100
72	t_3_9	3.49390502887557	100
73	t_4_12	-6.29288241984245	100
74	t_4_21	-11.6571541577543	100
75	t_4_9	10.3392819267088	100
76	t_5_12	-8.20375220152007	100
77	t_5_17	-3.57413495815784	100
78	t_5_9	-1.06933154222119	100
79	t_6_9	14.5423794412988	100
80	t_7_16	14.4460103998074	100
81	t_7_17	-7.05123789149148	100
82	t_7_8	-13.4168098873612	100
83	t_8_10	-2.04440309980286	100
84	t_8_13	27.0851846415822	100
85	t_8_16	25.197584502768	100
86	t_8_17	5.10068825590947	100
87	t_8_21	-60.2156595134563	100
88	t_9_11	15.2018788023774	100
89	t_9_13	-0.0637752305786165	100
90	t_9_17	-13.6077839576251	100
91	t_9_22	-31.0207774909452	100
92	t_v_11	11.9749910331807	100
93	wbc	0.220366618269813	100
