feature	coef	n
1	age	3.47947947000375	100
2	ahd	-42.1016018363225	100
3	bm_blasts	0.16597523253618	100
4	final_component_NC1	18.905348392797	100
5	final_component_NC2	19.4433051596895	100
6	final_component_NC3	20.1652865907334	100
7	final_component_NC6	37.2586640041614	100
8	final_component_NC7	-57.0914863186712	96
9	final_component_c1_NPM1	-36.0935153026602	100
10	final_component_c2_TP53_complex	94.7019686319069	100
11	final_component_c3_rare_fusion	11.4447297970717	100
12	final_component_c3_trans11	25.165029629022	100
13	final_component_c3_trans15_17	-126.582756671691	100
14	final_component_c4_5_trans_8_21	-74.7298196165242	100
15	final_component_c6_biallelic_CEBPA	-22.1637507765144	100
16	final_component_c7_inversion_3	98.430101382335	100
17	final_component_c8_BAGE3_KMT2C	23.8229546429083	100
18	final_component_chr_splicing	-10.7738261336541	100
19	final_component_nc4_DNMT3A_IDH2	-16.7492045445847	100
20	final_component_not_assigned	-12.9732081779348	100
21	gender	1.03504136435479	100
22	hb	0.038162838546738	100
23	perf_status	20.2197234939067	100
24	plt	-0.0411191641891681	100
25	secondary	6.48965975397371	100
26	wbc	0.253757539151651	100
