,coef,feature,n
add_11,-21.138487363471437,add_11,100
add_13,-6.365261107491065,add_13,100
add_21,-0.7801988534900399,add_21,100
add_22,19.81134516140972,add_22,100
add_8,-1.636445316893496,add_8,100
age,-1.5558892812850866,age,100
ahd,21.400400401723477,ahd,100
bm_blasts,-0.07233921002264566,bm_blasts,100
complex,-15.609046055763976,complex,100
del_12,-10.112043839180213,del_12,100
del_13,26.471187898563716,del_13,100
del_16,-0.16917674968659144,del_16,100
del_17,-19.66733023225103,del_17,100
del_18,4.236665032627202,del_18,100
del_20,-2.0991169771591895,del_20,100
del_3,-1.6560219312991642,del_3,100
del_5,-20.35684129687782,del_5,100
del_7,-14.713781993081563,del_7,100
del_9,-8.209951456919502,del_9,100
gender,-3.5855009341420954,gender,100
hb,0.010466105313564476,hb,100
inv_3,-47.97030063894677,inv_3,100
minusy,-0.6385682244766366,minusy,100
others_transloc,-9.630236281102182,others_transloc,100
perf_status,-8.184519647319373,perf_status,100
plt,0.00885347888637766,plt,100
secondary,-3.6681535577662454,secondary,100
t_10_21,14.236687576834534,t_10_21,100
t_12_13,43.63974848782338,t_12_13,100
t_12_17,30.7931617715112,t_12_17,100
t_12_22,19.371172017724096,t_12_22,100
t_13_19,39.010849292114294,t_13_19,100
t_15_16,-4.321883205122682,t_15_16,100
t_15_17,30.95257701065643,t_15_17,100
t_16_17,5.64196946275946,t_16_17,100
t_16_21,-26.021458864070656,t_16_21,100
t_17_19,30.679043228749382,t_17_19,100
t_17_21,30.034057774196402,t_17_21,100
t_1_12,28.658935082181642,t_1_12,100
t_1_14,10.993784754373186,t_1_14,100
t_1_16,0.8404705074653652,t_1_16,100
t_1_17,-23.60267966263306,t_1_17,100
t_1_19,30.528250457628513,t_1_19,100
t_1_3,-50.050698342301324,t_1_3,100
t_1_4,3.4008259264795875,t_1_4,100
t_1_5,-33.04116372335213,t_1_5,100
t_1_6,-12.57295881138651,t_1_6,100
t_2_17,-21.917123676271437,t_2_17,100
t_2_3,-21.945454434170934,t_2_3,100
t_2_5,7.651871549598373,t_2_5,100
t_2_7,28.87619043394143,t_2_7,100
t_2_9,21.58665811160071,t_2_9,100
t_3_16,11.911299686472713,t_3_16,100
t_3_21,-50.974761147590826,t_3_21,100
t_3_5,-2.0519943351267615,t_3_5,100
t_3_7,10.954054742095353,t_3_7,100
t_3_9,-1.4781119299311523,t_3_9,100
t_4_12,31.96238268535582,t_4_12,100
t_4_21,59.041963966511055,t_4_21,100
t_4_9,-8.440446833192688,t_4_9,100
t_5_12,38.424035517730935,t_5_12,100
t_5_17,-8.247172603168957,t_5_17,100
t_5_9,21.420040780602406,t_5_9,100
t_6_9,-16.769991514030934,t_6_9,100
t_7_16,-36.39800058077307,t_7_16,100
t_7_17,24.473965373661272,t_7_17,100
t_7_8,26.112975051618672,t_7_8,100
t_8_10,14.236687576834534,t_8_10,100
t_8_13,-35.15934464113073,t_8_13,100
t_8_16,-55.02558835994104,t_8_16,100
t_8_17,-1.4411767392103738,t_8_17,100
t_8_21,23.527057653280693,t_8_21,100
t_9_11,-19.597298945757593,t_9_11,100
t_9_13,22.71123535991934,t_9_13,100
t_9_17,40.138000285407344,t_9_17,100
t_9_22,60.036192351466255,t_9_22,100
t_v_11,-16.777045638683376,t_v_11,100
wbc,-0.14942910978305912,wbc,100
