,coef,feature,n
ASXL1,-10.749238887258498,ASXL1,100
ASXL2,9.054729256908105,ASXL2,100
ASXL3,-28.406100526083268,ASXL3,100
ATRX,-29.495368841230086,ATRX,100
BAGE3,3.964293771637962,BAGE3,100
BCOR,-2.840070539048208,BCOR,100
BRAF,-39.70240330574917,BRAF,100
CBFB,-1.9184204080076104,CBFB,100
CBL,-2.5992059015938573,CBL,100
CDKN2A,-9.819592919724212,CDKN2A,100
CEBPA_bi,6.505869953748267,CEBPA_bi,100
CEBPA_mono,3.5873543318161842,CEBPA_mono,100
CNTN5,-16.708954955864606,CNTN5,100
CREBBP,42.09211929526806,CREBBP,100
CSF1R,-28.131352402147645,CSF1R,100
CSF3R,-10.066595575032984,CSF3R,100
CTCF,-18.263058409126664,CTCF,100
CUL2,57.35833169582078,CUL2,100
CUX1,-14.982241350416306,CUX1,100
DNMT3A,-5.534249294634616,DNMT3A,100
EED,-36.63990966981678,EED,100
ETV6,2.137431205535774,ETV6,100
EZH2,-4.856478684948463,EZH2,100
FBXW7,2.5106956059397367,FBXW7,100
FLT3_TKD,7.758281785188206,FLT3_TKD,100
FLT3_other,2.912609153875773,FLT3_other,100
GATA1,23.700844515163304,GATA1,100
GATA2,11.817572946170118,GATA2,100
GNAS,29.762337018573785,GNAS,100
GNB1,7.358821951267746,GNB1,100
IDH1,-0.5368488290783318,IDH1,100
IDH2_p.R140,-0.12305503239548196,IDH2_p.R140,100
IDH2_p.R172,19.004211995601423,IDH2_p.R172,100
ITD,-10.761722276415421,ITD,100
JAK2,2.402190707792344,JAK2,100
JAK3,8.485323924351793,JAK3,100
KANSL1,11.813102713220543,KANSL1,100
KDM6A,-7.699219101723063,KDM6A,100
KIT,6.77564396066735,KIT,100
KMT2C,3.964293771637962,KMT2C,100
KMT2D,-3.802315743207635,KMT2D,100
KMT2E,16.791575877643282,KMT2E,100
KRAS,-11.84273572279055,KRAS,100
LUC7L2,-8.781275123694193,LUC7L2,100
MED12,0.6895977837239621,MED12,100
MLL,-6.321419738756041,MLL,100
MPL,-25.119382986411196,MPL,100
MYC,-3.8514218251093815,MYC,100
NF1,-3.467434831749081,NF1,100
NFE2,45.91530785905525,NFE2,100
NOTCH1,-2.4519908070441754,NOTCH1,100
NPM1,13.19457787573967,NPM1,100
NRAS_other,6.946061842485223,NRAS_other,100
NRAS_p.G12_13,-2.36759473894724,NRAS_p.G12_13,100
NRAS_p.Q61_62,-8.566149943508366,NRAS_p.Q61_62,100
PDS5B,68.21090340114112,PDS5B,100
PHF6,-2.028470333808763,PHF6,100
PPFIA2,5.2220888272040495,PPFIA2,100
PRPF8,-14.973837762472966,PRPF8,100
PTEN,20.519684266477512,PTEN,100
PTPN11,6.884306341810913,PTPN11,100
PTPRF,5.2220888272040495,PTPRF,100
PTPRT,-29.374196929468322,PTPRT,100
RAD21,2.3171464459660824,RAD21,100
RIT1,8.990664012971099,RIT1,100
RUNX1,-1.0852853266396438,RUNX1,100
S100B,54.19569410608912,S100B,100
SETBP1,-4.10353243596922,SETBP1,100
SF1,-31.74491667140527,SF1,100
SF3B1,-15.131247883514272,SF3B1,100
SMC1A,-1.5279346047983298,SMC1A,100
SMC3,0.9482199134819262,SMC3,100
SMG1,16.261546995123666,SMG1,100
SPP1,24.26363414279414,SPP1,100
SRSF2,-4.86617659450749,SRSF2,100
STAG2,4.742228284375949,STAG2,100
STAT5B,14.244490721202833,STAT5B,100
SUZ12,-5.388430419935396,SUZ12,100
TET2,1.1935702821771588,TET2,100
TP53,-51.84757277224005,TP53,100
U2AF1_p.Q157,-17.41782479355211,U2AF1_p.Q157,100
U2AF1_p.S34,-7.276312767162357,U2AF1_p.S34,100
WT1,-19.824777399620974,WT1,100
ZRSR2,8.925833968826884,ZRSR2,100
age,-1.5360102351804106,age,100
ahd,19.195253952050006,ahd,100
bm_blasts,-0.10092073303095894,bm_blasts,100
gender,-0.25206966602238345,gender,100
hb,-0.0020628086955561866,hb,100
perf_status,-8.05129424343199,perf_status,100
plt,0.002685315486552427,plt,100
secondary,-3.135882808435872,secondary,100
wbc,-0.13526866687469885,wbc,100
