feature	coef	n
1	age	2.82534085096553	100
2	ahd	-35.0185626477524	100
3	ASXL1	18.0714070556996	100
4	ASXL2	-13.7264266475102	100
5	ASXL3	36.8948521330174	81
6	ATRX	51.2826838860795	100
7	BAGE3	-14.0208617574893	100
8	BCOR	11.8567886526346	100
9	bm_blasts	0.12417003505753	100
10	BRAF	91.1902194110662	100
11	CBFB	28.195215165509	88
12	CBL	4.69885574025301	100
13	CDKN2A	71.7818791627184	86
14	CEBPA_bi	-15.6067715646976	100
15	CEBPA_mono	-1.30682508586004	100
16	CNTN5	73.6201186674312	58
17	CREBBP	-46.366742088162	100
18	CSF1R	91.8534584253615	49
19	CSF3R	5.13773402193497	100
20	CTCF	41.0799668888048	100
21	CUL2	-98.9271598038634	57
22	CUX1	26.6387143802801	100
23	DNMT3A	11.695077914581	100
24	EED	84.3395240799491	100
25	ETV6	11.6180903332466	100
26	EZH2	16.410847751513	100
27	FBXW7	-12.4715072036554	100
28	FLT3_other	-1.35051657274669	100
29	FLT3_TKD	-11.6465063164232	100
30	GATA1	-47.4999020344226	100
31	GATA2	-12.8708545852563	100
32	gender	2.20360175735148	100
33	GNAS	-57.591241464353	100
34	GNB1	-10.9486096061449	92
35	hb	-0.0269738339003699	100
36	IDH1	0.251790945427635	100
37	IDH2_p.R140	2.60099958600739	100
38	IDH2_p.R172	-36.8673876474789	100
39	ITD	16.8443203741293	100
40	JAK2	10.2231228920987	100
41	JAK3	-5.46537288470875	100
42	KANSL1	-15.1957652620777	100
43	KDM6A	10.2280329264502	100
44	KIT	-23.45920470637	100
45	KMT2C	-13.9082924533018	100
46	KMT2D	13.822952315957	100
47	KMT2E	-17.1536595188814	100
48	KRAS	11.8680121643337	100
49	LUC7L2	38.6594215625404	100
50	MED12	13.5773381368562	100
51	MLL	22.1814316852824	100
52	MPL	62.9731372190795	100
53	MYC	-11.4286074594857	100
54	NF1	8.2845053890418	100
55	NFE2	-68.9185248345909	100
56	NOTCH1	25.0132203483225	100
57	NPM1	-28.5330023080697	100
58	NRAS_other	-9.10462014218854	100
59	NRAS_p.G12_13	4.92990463242757	100
60	NRAS_p.Q61_62	14.2586729827415	100
61	PDS5B	-65.8302293633872	78
62	perf_status	18.7553843096724	100
63	PHF6	1.06461803688653	100
64	plt	-0.028629966272165	100
65	PPFIA2	-2.37635072943141	54
66	PRPF8	35.1183801330061	100
67	PTEN	-46.7012516762089	50
68	PTPN11	-11.1943186812466	100
69	PTPRF	-2.243959666898	54
70	PTPRT	73.4278970447474	61
71	RAD21	-9.50997240628173	100
72	RIT1	-24.9603329474722	100
73	RUNX1	7.60560184405776	100
74	S100B	-68.9910434767966	60
75	secondary	9.5978186918739	100
76	SETBP1	7.19020956559429	100
77	SF1	66.8879397077561	99
78	SF3B1	31.9815784191555	100
79	SMC1A	1.31644635751968	100
80	SMC3	0.00837820050655375	100
81	SMG1	-10.1431158118554	86
82	SPP1	-17.4651028194253	50
83	SRSF2	12.8884313371281	100
84	STAG2	-3.30250009299002	100
85	STAT5B	-14.1302240215014	100
86	SUZ12	1.39498387539617	100
87	TET2	7.86830331592129	100
88	TP53	109.337765716441	100
89	U2AF1_p.Q157	49.4618900915481	100
90	U2AF1_p.S34	19.8023570493752	100
91	wbc	0.202329709608079	100
92	WT1	32.5428898944048	100
93	ZRSR2	-8.35809443555441	100
