,coef,feature,n
ASXL1,-12.114194656830064,ASXL1,100
ASXL2,6.631382629076511,ASXL2,100
ASXL3,-30.318317944033655,ASXL3,100
ATRX,-26.10204578464642,ATRX,100
BAGE3,9.578107990382094,BAGE3,100
BCOR,-6.380360098736801,BCOR,100
BRAF,-26.33568811708105,BRAF,100
CBFB,-12.877048316693433,CBFB,100
CBL,-3.4786776128424077,CBL,100
CDKN2A,-19.665471863444093,CDKN2A,100
CEBPA_bi,6.363135342498107,CEBPA_bi,100
CEBPA_mono,1.298912548072001,CEBPA_mono,100
CNTN5,-13.821205089362968,CNTN5,100
CREBBP,29.90826593449262,CREBBP,100
CSF1R,-26.68774384235821,CSF1R,100
CSF3R,-6.156870529817323,CSF3R,100
CTCF,-20.861715615663712,CTCF,100
CUL2,36.91324314519462,CUL2,100
CUX1,-17.189860615495874,CUX1,100
DNMT3A,-9.170056730725015,DNMT3A,100
EED,-24.62217588053474,EED,100
ETV6,-0.9371311649000981,ETV6,100
EZH2,-11.892295187993646,EZH2,100
FBXW7,6.405510286118277,FBXW7,100
FLT3_TKD,7.870855142750276,FLT3_TKD,100
FLT3_other,1.1033033050789631,FLT3_other,100
GATA1,19.85280887565319,GATA1,100
GATA2,8.263360936961728,GATA2,100
GNAS,19.086704752939152,GNAS,100
GNB1,0.05849723958119235,GNB1,100
IDH1,-1.9499236303745429,IDH1,100
IDH2_p.R140,-5.3432647443960875,IDH2_p.R140,100
IDH2_p.R172,9.725857962545065,IDH2_p.R172,100
ITD,-7.636325101203602,ITD,100
JAK2,-3.102034932415158,JAK2,100
JAK3,2.215319849384299,JAK3,100
KANSL1,-1.0316625117941811,KANSL1,100
KDM6A,-4.31520320289323,KDM6A,100
KIT,15.47426763349073,KIT,100
KMT2C,9.578107990382094,KMT2C,100
KMT2D,-3.244965354797075,KMT2D,100
KMT2E,11.354033229324898,KMT2E,100
KRAS,-6.7634477303814915,KRAS,100
LUC7L2,-6.566405225132666,LUC7L2,100
MED12,-0.5071448029510719,MED12,100
MLL,-10.64453837717755,MLL,100
MPL,-28.727358579564996,MPL,100
MYC,-0.8352795239082246,MYC,100
NF1,2.932564733342406,NF1,100
NFE2,43.063656500790536,NFE2,100
NOTCH1,9.702466658022466,NOTCH1,100
NPM1,5.945986274775452,NPM1,100
NRAS_other,-7.600081533808638,NRAS_other,100
NRAS_p.G12_13,0.39569341428606825,NRAS_p.G12_13,100
NRAS_p.Q61_62,-7.057863744934413,NRAS_p.Q61_62,100
PDS5B,42.121490662890295,PDS5B,100
PHF6,-2.216571241517335,PHF6,100
PPFIA2,-5.531917721708546,PPFIA2,100
PRPF8,-25.34113634931539,PRPF8,100
PTEN,19.3130373355663,PTEN,100
PTPN11,7.699599389932164,PTPN11,100
PTPRF,-5.531917721708546,PTPRF,100
PTPRT,-27.840759836180517,PTPRT,100
RAD21,3.9507504823467983,RAD21,100
RIT1,12.40364779142335,RIT1,100
RUNX1,-6.886301562184602,RUNX1,100
S100B,36.254067937901596,S100B,100
SETBP1,-8.705087002513817,SETBP1,100
SF1,-46.60771621223582,SF1,100
SF3B1,-27.30678273649326,SF3B1,100
SMC1A,-5.17264207463535,SMC1A,100
SMC3,-3.0285378830045335,SMC3,100
SMG1,1.141270904619601,SMG1,100
SPP1,17.439327473765854,SPP1,100
SRSF2,-14.924041237761614,SRSF2,100
STAG2,-0.37908377391526094,STAG2,100
STAT5B,10.384992495713734,STAT5B,100
SUZ12,2.8510836297939677,SUZ12,100
TET2,-11.35157787388952,TET2,100
TP53,-65.11399288420975,TP53,100
U2AF1_p.Q157,-29.545745624692728,U2AF1_p.Q157,100
U2AF1_p.S34,-15.977310046725455,U2AF1_p.S34,100
WT1,-14.74129815847182,WT1,100
ZRSR2,-9.743435848240653,ZRSR2,100
ahd,22.953689281762216,ahd,100
bm_blasts,-0.07609652505475081,bm_blasts,100
gender,0.09573667254283194,gender,100
hb,0.05879885241302363,hb,100
perf_status,-13.042637626172485,perf_status,100
plt,0.00941249775705932,plt,100
secondary,-5.4601651145426615,secondary,100
wbc,-0.09680296175030476,wbc,100
