feature	coef	n
1	ahd	-45.1393297315923	100
2	ASXL1	20.0970085387416	94
3	ASXL2	-6.40167638203412	41
4	ASXL3	51.6415300761302	36
5	ATRX	34.6604735555707	65
6	BAGE3	-27.3676110692802	72
7	BCOR	11.9968978903513	68
8	bm_blasts	0.0258199626851816	34
9	BRAF	51.3496513955208	82
10	CBFB	9.45428339773895	26
11	CBL	4.46726576717239	29
12	CDKN2A	48.2172540607686	47
13	CEBPA_bi	-12.8593633202551	62
14	CEBPA_mono	1.16895405759759	31
15	CNTN5	33.8763787392473	45
16	CREBBP	-10.1953514606658	48
17	CSF1R	76.7404442173869	42
18	CSF3R	0.657928942423229	31
19	CTCF	23.4971010487018	64
20	CUL2	-37.2057059205702	54
21	CUX1	20.0223374236673	67
22	DNMT3A	12.3684981440993	91
23	EED	51.9885371135325	83
24	ETV6	8.151327793161	39
25	EZH2	18.7955568194771	86
26	FBXW7	-7.17004707660756	45
27	FLT3_other	0.740266619091113	32
28	FLT3_TKD	-4.67436915236366	48
29	GATA1	-16.9808497958655	46
30	GATA2	-3.46566820953307	40
31	GNAS	-19.8488502200794	51
32	GNB1	-4.75244950174169	49
33	hb	-0.0389869347959237	46
34	IDH1	1.1856808806334	34
35	IDH2_p.R140	6.1142231235676	62
36	IDH2_p.R172	-15.9894134902194	65
37	ITD	12.5920362172756	91
38	JAK2	9.5250641882021	55
39	JAK3	-4.3084642347503	31
40	KANSL1	-0.647166563566864	27
41	KDM6A	2.08280811170563	33
42	KIT	-27.0420126359141	93
43	KMT2C	0.00172506366391563	28
44	KMT2D	3.63333764427681	44
45	KMT2E	-5.76979867288366	40
46	KRAS	2.952560178104	39
47	LUC7L2	15.9585649406833	53
48	MED12	9.70545126418719	40
49	MLL	24.3649691366447	96
50	MPL	52.3934560613473	95
51	MYC	-10.3339790013756	52
52	NF1	-0.415817543227522	36
53	NFE2	-47.9857901698892	76
54	NOTCH1	2.64585784911429	20
55	NPM1	-17.9151352798935	95
56	NRAS_other	11.5809522394974	41
57	NRAS_p.G12_13	0.670441266808579	42
58	NRAS_p.Q61_62	5.53279309167569	46
59	PDS5B	-20.7068393897187	39
60	perf_status	25.3241564897668	100
61	PHF6	2.90545694363856	31
62	plt	-0.0164979334229992	53
63	PPFIA2	3.74385641069161	22
64	PRPF8	24.0799693639682	48
65	PTEN	-5.42072809262176	17
66	PTPN11	-7.65199241039953	67
67	PTPRF	0.00105788321593643	12
68	PTPRT	31.4055213389798	45
69	RAD21	-10.4429601546274	64
70	RIT1	-16.5192190461964	67
71	RUNX1	14.3817250091236	91
72	S100B	-44.7317685232096	60
73	secondary	12.2803178416513	99
74	SETBP1	6.90774308103505	45
75	SF1	74.9927657797703	71
76	SF3B1	40.0611303436893	94
77	SMC1A	4.18989867768546	41
78	SMC3	1.4280558959391	30
79	SMG1	16.1713113120705	38
80	SPP1	-1.69377488246525	14
81	SRSF2	27.6143110620603	100
82	STAG2	2.70833636935478	38
83	STAT5B	-0.0156321655837698	30
84	SUZ12	5.22195003716171	40
85	TET2	21.0798138788563	98
86	TP53	137.643677657829	100
87	U2AF1_p.Q157	51.0847466968023	97
88	U2AF1_p.S34	30.2179198879473	98
89	wbc	0.173467666806103	98
90	WT1	19.6447842737851	91
91	ZRSR2	9.73714946825444	46
