,coef,feature,n
ASXL1,-9.455055572139967,ASXL1,100
ASXL2,-3.2593195230184717,ASXL2,100
ASXL3,-35.03495096970583,ASXL3,100
ATRX,-27.054413538325925,ATRX,100
BAGE3,19.22392029338032,BAGE3,100
BCOR,-7.521203847014645,BCOR,100
BRAF,-23.75861941965574,BRAF,100
CBFB,-10.829235200180666,CBFB,100
CBL,-5.499639324877465,CBL,100
CDKN2A,-3.312586246798115,CDKN2A,100
CEBPA_bi,25.352399024880942,CEBPA_bi,100
CEBPA_mono,0.5225233747327103,CEBPA_mono,100
CNTN5,-15.002337843484518,CNTN5,100
CREBBP,34.164711404910776,CREBBP,100
CSF1R,-33.55199344926279,CSF1R,100
CSF3R,-3.052570471057733,CSF3R,100
CTCF,-24.817398568519426,CTCF,100
CUL2,35.81908128614053,CUL2,100
CUX1,-12.55350863586095,CUX1,100
DNMT3A,-8.206769354305777,DNMT3A,100
EED,-34.34291839379453,EED,100
ETV6,-2.524211350342202,ETV6,100
EZH2,-9.409935142965727,EZH2,100
FBXW7,5.618776357753874,FBXW7,100
FLT3_TKD,4.949977724012372,FLT3_TKD,100
FLT3_other,0.2650386034314104,FLT3_other,100
GATA1,34.112754819826534,GATA1,100
GATA2,11.844791586858188,GATA2,100
GNAS,25.403195441489306,GNAS,100
GNB1,15.737519937417334,GNB1,100
IDH1,-2.3402392334972886,IDH1,100
IDH2_p.R140,-4.614556059750598,IDH2_p.R140,100
IDH2_p.R172,7.161080050620984,IDH2_p.R172,100
ITD,-10.160097048210305,ITD,100
JAK2,-3.2148005043202277,JAK2,100
JAK3,-0.6934690880791954,JAK3,100
KANSL1,2.7479601361120896,KANSL1,100
KDM6A,-11.013620717937219,KDM6A,100
KIT,4.881935322451055,KIT,100
KMT2C,19.22392029338032,KMT2C,100
KMT2D,-0.3447012742390995,KMT2D,100
KMT2E,12.243642294515285,KMT2E,100
KRAS,-2.849179312162973,KRAS,100
LUC7L2,-12.880370324186256,LUC7L2,100
MED12,-0.13144335883051475,MED12,100
MLL,-12.845864310131288,MLL,100
MPL,-29.910620466196384,MPL,100
MYC,-0.6452836005552317,MYC,100
NF1,7.378271415991947,NF1,100
NFE2,49.180483875869356,NFE2,100
NOTCH1,11.804808549082527,NOTCH1,100
NPM1,6.1401108468009395,NPM1,100
NRAS_other,-4.61332271247845,NRAS_other,100
NRAS_p.G12_13,0.2914986943018516,NRAS_p.G12_13,100
NRAS_p.Q61_62,-9.966940684036594,NRAS_p.Q61_62,100
PDS5B,51.091668600508555,PDS5B,100
PHF6,-2.169278949976789,PHF6,100
PPFIA2,-6.9245568398639765,PPFIA2,100
PRPF8,-27.47255856301727,PRPF8,100
PTEN,23.819903251654267,PTEN,100
PTPN11,9.973869027656898,PTPN11,100
PTPRF,-6.9245568398639765,PTPRF,100
PTPRT,-47.45975298682926,PTPRT,100
RAD21,1.601973147785311,RAD21,100
RIT1,11.985354753543858,RIT1,100
RUNX1,-3.4471084835600583,RUNX1,100
S100B,25.004643129229507,S100B,100
SETBP1,-3.5042117138604056,SETBP1,100
SF1,-56.858105714656155,SF1,100
SF3B1,-25.172972279698286,SF3B1,100
SMC1A,-7.523773010161371,SMC1A,100
SMC3,-5.063322195905886,SMC3,100
SMG1,5.357902891664938,SMG1,100
SPP1,18.187791698782,SPP1,100
SRSF2,-10.833630728449231,SRSF2,100
STAG2,3.477533264482787,STAG2,100
STAT5B,8.34882692734731,STAT5B,100
SUZ12,5.171768679366905,SUZ12,100
TET2,-11.016197745799296,TET2,100
TP53,-33.33861665199389,TP53,100
U2AF1_p.Q157,-30.03796683811762,U2AF1_p.Q157,100
U2AF1_p.S34,-11.01838716661327,U2AF1_p.S34,100
WT1,-17.00371817655326,WT1,100
ZRSR2,-4.746613629558393,ZRSR2,100
ahd,22.353389126651642,ahd,100
bm_blasts,-0.09461069174605263,bm_blasts,100
final_component_NC1,-6.519663069371481,final_component_NC1,100
final_component_NC2,9.161452173800944,final_component_NC2,100
final_component_NC3,-7.25807479807941,final_component_NC3,100
final_component_NC6,-12.839104755721516,final_component_NC6,100
final_component_NC7,-11.172577055115484,final_component_NC7,100
final_component_c1_NPM1,6.1401108468009395,final_component_c1_NPM1,100
final_component_c2_TP53_complex,-28.930729319671435,final_component_c2_TP53_complex,100
final_component_c3_rare_fusion,2.739941591868928,final_component_c3_rare_fusion,100
final_component_c3_trans11,4.861055531335754,final_component_c3_trans11,100
final_component_c3_trans15_17,60.911255704787955,final_component_c3_trans15_17,100
final_component_c4_5_trans_8_21,39.795858007997076,final_component_c4_5_trans_8_21,100
final_component_c6_biallelic_CEBPA,-16.349293342021024,final_component_c6_biallelic_CEBPA,100
final_component_c7_inversion_3,-39.93190353216383,final_component_c7_inversion_3,100
final_component_c8_BAGE3_KMT2C,-33.52080469369976,final_component_c8_BAGE3_KMT2C,100
final_component_chr_splicing,11.652673565166255,final_component_chr_splicing,100
final_component_nc4_DNMT3A_IDH2,7.545857254803376,final_component_nc4_DNMT3A_IDH2,100
final_component_not_assigned,13.713945889291955,final_component_not_assigned,100
hb,0.04572579847254853,hb,100
perf_status,-12.404395824796929,perf_status,100
plt,0.018906858300097907,plt,100
secondary,-4.332038421608199,secondary,100
wbc,-0.08885811675407114,wbc,100
