feature	coef	n
1	add_11	36.0070758807545	97
2	add_13	17.6353370632272	77
3	add_21	2.75153856318809	51
4	add_22	-41.7369009553872	97
5	add_8	10.8344699012765	78
6	complex	36.2713850717662	98
7	del_12	8.49573490460199	57
8	del_13	-16.8557030393224	71
9	del_16	4.1921120977175	50
10	del_17	39.8771346580784	97
11	del_18	-1.82568418006604	51
12	del_20	16.210322023971	74
13	del_3	7.23551340856331	50
14	del_5	50.0835687062491	100
15	del_7	32.728108150395	100
16	del_9	8.27828993138079	55
17	inv_3	51.0305155258991	97
18	minusy	2.34698139117997	49
19	others_transloc	8.83227088564256	58
20	t_1_12	-25.6142194604093	44
21	t_1_14	3.53194037141879	20
22	t_1_16	18.5201637217432	56
23	t_1_17	41.8332667273582	54
24	t_1_19	-27.2413051853381	53
25	t_1_3	63.5322986658252	80
26	t_1_4	20.7780841334057	64
27	t_1_5	34.1617969779529	50
28	t_1_6	60.2060828464921	48
29	t_10_21	-7.48251022799982	19
30	t_12_13	-83.3676603013971	81
31	t_12_17	-16.4503699150843	60
32	t_12_22	-13.7234194075267	50
33	t_13_19	-56.5026275830083	62
34	t_15_16	14.6715596446036	24
35	t_15_17	-104.835814824665	100
36	t_16_17	21.5563094171953	48
37	t_16_21	94.5447646225351	65
38	t_17_19	-34.5069817520903	68
39	t_17_21	-92.4000549119737	73
40	t_2_17	5.86241069314168	55
41	t_2_3	44.869150077027	48
42	t_2_5	-1.62476723839198	19
43	t_2_7	-31.8543985898228	62
44	t_2_9	-27.5393656911236	48
45	t_3_16	-2.85216056021233	36
46	t_3_21	90.7527249759783	91
47	t_3_5	-8.11700643750173	52
48	t_3_7	-11.1426058539727	58
49	t_3_9	2.32575970129664	9
50	t_4_12	-16.78513202264	51
51	t_4_21	-45.5304516611744	64
52	t_4_9	34.1538639174632	67
53	t_5_12	-47.5188307479965	58
54	t_5_17	1.38132652895938	11
55	t_5_9	-0.813557731286418	47
56	t_6_9	6.20247065232018	45
57	t_7_16	58.6313910865651	68
58	t_7_17	-54.92958606175	62
59	t_7_8	-67.3957391096279	83
60	t_8_10	-2.05118198317284	19
61	t_8_13	86.9035752346838	92
62	t_8_16	67.846113643311	87
63	t_8_17	12.6648473127648	54
64	t_8_21	-94.3525255693601	100
65	t_9_11	2.62060738799489	40
66	t_9_13	19.8022822394514	51
67	t_9_17	-29.2994214652745	65
68	t_9_22	-93.9778321463532	95
69	t_v_11	0.832604284117311	48
