feature	coef	n
1	add_11	30.0181115630578	100
2	add_13	12.8185284149001	100
3	add_21	4.90403045853414	100
4	add_22	-33.8895409160062	100
5	add_8	6.61735447207134	100
6	complex	12.0147692147573	100
7	del_12	7.27465516268119	100
8	del_13	-21.1569344999609	100
9	del_16	4.59485786786821	100
10	del_17	33.0551990029444	100
11	del_18	-3.30297817466461	100
12	del_20	12.6468299997803	100
13	del_3	13.2001932798801	100
14	del_5	39.9386851250536	100
15	del_7	18.781027609452	100
16	del_9	14.9955817998612	100
17	final_component_NC1	36.9360563658565	100
18	final_component_NC2	25.4593330079127	100
19	final_component_NC3	27.736388147948	100
20	final_component_NC6	35.3788079604974	100
21	final_component_NC7	-25.014724206223	96
22	final_component_c1_NPM1	-17.70363752643	100
23	final_component_c2_TP53_complex	42.7670074373496	100
24	final_component_c3_rare_fusion	-10.335064353172	100
25	final_component_c3_trans11	-17.432428623346	100
26	final_component_c3_trans15_17	-72.514907956036	100
27	final_component_c4_5_trans_8_21	-39.9870540782568	100
28	final_component_c6_biallelic_CEBPA	-31.7534498110528	100
29	final_component_c7_inversion_3	25.3221545188286	100
30	final_component_c8_BAGE3_KMT2C	1.58705348660436	100
31	final_component_chr_splicing	-13.6429443540143	100
32	final_component_nc4_DNMT3A_IDH2	-11.7106288093514	100
33	final_component_not_assigned	-26.6035998785514	100
34	inv_3	42.7759890443767	100
35	minusy	3.98970741134455	100
36	others_transloc	13.0316675038594	100
37	t_10_21	-37.0980627608568	56
38	t_12_13	-97.5856468802859	81
39	t_12_17	-35.1029096990976	93
40	t_12_22	-16.4058235806812	98
41	t_13_19	-93.5002076808015	62
42	t_15_16	15.0660491461522	82
43	t_15_17	-44.1608345287557	100
44	t_16_17	27.2739524122805	97
45	t_16_21	89.8367610242184	76
46	t_17_19	-48.9491822737921	92
47	t_17_21	-89.8503056578088	97
48	t_1_12	-61.6615967373994	76
49	t_1_14	11.4439540268873	74
50	t_1_16	35.6813354461675	96
51	t_1_17	56.2870708711783	94
52	t_1_19	-33.0289385570791	75
53	t_1_3	84.6423956286875	93
54	t_1_4	49.6093511012623	95
55	t_1_5	60.6048452013858	81
56	t_1_6	56.3700428983162	82
57	t_2_17	17.4183255365799	92
58	t_2_3	55.9681914665837	84
59	t_2_5	6.3939226792983	86
60	t_2_7	-60.7330450612832	84
61	t_2_9	-31.7647090853207	81
62	t_3_16	-13.3719642363155	95
63	t_3_21	85.8022258601071	93
64	t_3_5	-4.95912577955534	79
65	t_3_7	-38.0162479490176	80
66	t_3_9	-7.21181076854062	81
67	t_4_12	-45.4393339972898	89
68	t_4_21	-91.3524556546789	81
69	t_4_9	59.7431393308936	84
70	t_5_12	-75.64076335238	80
71	t_5_17	3.98300420761792	63
72	t_5_9	-0.271722790593648	86
73	t_6_9	15.6205975666168	100
74	t_7_16	76.6363697481437	74
75	t_7_17	-45.7221675284091	90
76	t_7_8	-89.8379896216726	85
77	t_8_10	-37.0198160236865	56
78	t_8_13	106.372494037348	95
79	t_8_16	89.9914088241232	94
80	t_8_17	5.52866159559301	97
81	t_8_21	-48.9964092636876	100
82	t_9_11	18.3318039529462	100
83	t_9_13	56.3689485552784	64
84	t_9_17	-62.1074085276827	76
85	t_9_22	-79.5608722682844	100
86	t_v_11	10.2443795277609	100
