feature	coef	n
1	ASXL1	22.2366189117167	100
2	ASXL2	5.21587727677639	100
3	ASXL3	26.2969840479807	81
4	ATRX	30.1922953501364	100
5	BAGE3	-15.5104548858591	100
6	BCOR	4.48149444921343	100
7	BRAF	42.1743568647152	100
8	CBFB	18.3469263117954	88
9	CBL	5.82220760536419	100
10	CDKN2A	50.7681703692241	86
11	CEBPA_bi	-21.572427216565	100
12	CEBPA_mono	-0.551430652853862	100
13	CNTN5	84.1335770362993	58
14	CREBBP	-16.173714098121	100
15	CSF1R	88.8105881083241	49
16	CSF3R	0.11550870526908	100
17	CTCF	26.8742734295761	100
18	CUL2	-43.0056133131979	57
19	CUX1	26.893016780826	100
20	DNMT3A	8.46920073256606	100
21	EED	73.9951944710833	100
22	ETV6	12.182336135902	100
23	EZH2	20.3158707081549	100
24	FBXW7	-14.8081411741487	100
25	FLT3_TKD	-0.612903672487363	100
26	FLT3_other	3.49818626561824	100
27	GATA1	-28.700830694228	100
28	GATA2	-5.20163816999968	100
29	GNAS	-36.0069887348107	100
30	GNB1	-32.4642491767305	92
31	IDH1	-0.635002733734841	100
32	IDH2_p.R140	3.71520253283832	100
33	IDH2_p.R172	-23.400086819229	100
34	ITD	19.3188804864779	100
35	JAK2	23.7173627016288	100
36	JAK3	1.6944762260654	100
37	KANSL1	-5.76214682111276	100
38	KDM6A	-1.9798583977018	100
39	KIT	-15.37490259864	100
40	KMT2C	-15.4548164747469	100
41	KMT2D	5.34847409672328	100
42	KMT2E	-9.14381015366137	100
43	KRAS	6.92571612551855	100
44	LUC7L2	49.6187573518769	100
45	MED12	20.7073379835766	100
46	MLL	18.7245546163501	100
47	MPL	52.3763684497932	100
48	MYC	-14.8017932934968	100
49	NF1	-4.97124459045863	100
50	NFE2	-53.6310091694014	100
51	NOTCH1	1.82107523887873	100
52	NPM1	-8.30496025469701	100
53	NRAS_other	19.4455928152532	100
54	NRAS_p.G12_13	1.55278872643044	100
55	NRAS_p.Q61_62	12.072000686944	100
56	PDS5B	-42.2621225040618	78
57	PHF6	-1.70691654283986	100
58	PPFIA2	9.66985981950042	54
59	PRPF8	22.6467439473773	100
60	PTEN	-41.8295726862925	50
61	PTPN11	-15.1326620726998	100
62	PTPRF	9.61085233575849	54
63	PTPRT	72.0115396438312	61
64	RAD21	-10.7454949279626	100
65	RIT1	-20.9316930595317	100
66	RUNX1	10.5891415226241	100
67	S100B	13.3834051707897	60
68	SETBP1	16.771580350004	100
69	SF1	64.8079113360214	99
70	SF3B1	32.3678210748968	100
71	SMC1A	15.815257339753	100
72	SMC3	6.31107953824825	100
73	SMG1	-6.31143561067687	86
74	SPP1	-6.77454096549813	50
75	SRSF2	21.5509346478202	100
76	STAG2	0.847883797834431	100
77	STAT5B	0.980623341365777	100
78	SUZ12	-0.879176482291067	100
79	TET2	18.0530884759069	100
80	TP53	45.0592932336206	100
81	U2AF1_p.Q157	38.1933499845549	100
82	U2AF1_p.S34	21.3638019903454	100
83	WT1	19.9831325127304	100
84	ZRSR2	14.0359275033983	100
85	add_11	23.4400144076148	100
86	add_13	12.6233165319044	100
87	add_21	5.64773293492389	100
88	add_22	-24.5899631346141	100
89	add_8	5.10623975277204	100
90	complex	14.7924099089898	100
91	del_12	13.3764821140339	100
92	del_13	-17.8368764624771	100
93	del_16	9.90024784149131	100
94	del_17	25.0882537446526	100
95	del_18	-4.00827065136061	100
96	del_20	11.8481797590016	100
97	del_3	7.58149261101026	100
98	del_5	28.4441686669095	100
99	del_7	17.5322931209088	100
100	del_9	16.1059358537072	100
101	final_component_NC1	15.775745192109	100
102	final_component_NC2	7.60825627211851	100
103	final_component_NC3	13.8747945526242	100
104	final_component_NC6	22.7966534699667	100
105	final_component_NC7	-9.42039648429124	96
106	final_component_c1_NPM1	-8.24978996967825	100
107	final_component_c2_TP53_complex	30.207064257083	100
108	final_component_c3_rare_fusion	-1.22649384082515	100
109	final_component_c3_trans11	-3.29864149787407	100
110	final_component_c3_trans15_17	-55.5165020411886	100
111	final_component_c4_5_trans_8_21	-31.7824384037447	100
112	final_component_c6_biallelic_CEBPA	-2.53285445149078	100
113	final_component_c7_inversion_3	32.3369849118139	100
114	final_component_c8_BAGE3_KMT2C	13.6974385193685	100
115	final_component_chr_splicing	-14.34779115412	100
116	final_component_nc4_DNMT3A_IDH2	-3.60097607218311	100
117	final_component_not_assigned	-14.5274639263875	100
118	inv_3	43.9841063301429	100
119	minusy	2.07554193218655	100
120	others_transloc	14.7927676525129	100
121	t_10_21	-30.7413349471397	56
122	t_12_13	-65.4906742014385	81
123	t_12_17	-25.8148538391853	93
124	t_12_22	-7.70106141666104	98
125	t_13_19	-71.9872240893141	62
126	t_15_16	8.49098166358719	82
127	t_15_17	-39.1614769362484	100
128	t_16_17	24.8864461668391	97
129	t_16_21	71.436584075319	76
130	t_17_19	-31.9958916655148	92
131	t_17_21	-70.8003493579329	97
132	t_1_12	-46.1779778358244	76
133	t_1_14	11.0817858298579	74
134	t_1_16	15.9983366661411	96
135	t_1_17	46.8039961443647	94
136	t_1_19	-22.8762241331357	75
137	t_1_3	70.756676056428	93
138	t_1_4	45.4727898750737	95
139	t_1_5	32.6451658392658	81
140	t_1_6	20.5219688089382	82
141	t_2_17	19.3621690026273	92
142	t_2_3	38.8870656176261	84
143	t_2_5	-4.56096066292228	86
144	t_2_7	-47.1522616933273	84
145	t_2_9	-31.7819228758828	81
146	t_3_16	-11.2768471542632	95
147	t_3_21	78.7580571086798	93
148	t_3_5	3.09291721937305	79
149	t_3_7	-14.7881778853185	80
150	t_3_9	4.34410457068816	81
151	t_4_12	-33.1323650555201	89
152	t_4_21	-70.5468897044928	81
153	t_4_9	58.4372099142032	84
154	t_5_12	-54.6682945230591	80
155	t_5_17	-0.851106106313686	63
156	t_5_9	-4.66683712468067	86
157	t_6_9	9.80852615551822	100
158	t_7_16	60.9057875389007	74
159	t_7_17	-36.6607549839616	90
160	t_7_8	-67.0415215115649	85
161	t_8_10	-30.7123451075682	56
162	t_8_13	91.7089972256291	95
163	t_8_16	83.772327082666	94
164	t_8_17	3.08927317388563	97
165	t_8_21	-36.1760768836101	100
166	t_9_11	17.4866059567332	100
167	t_9_13	55.767037319028	64
168	t_9_17	-54.2234020326475	76
169	t_9_22	-63.9114942457607	100
170	t_v_11	2.37493411162466	100
