feature	coef	n
1	add_11	32.0914750411086	96
2	add_13	13.5230690534243	74
3	add_21	-0.506257172333134	42
4	add_22	-24.6261379905857	90
5	add_8	6.95114582060582	67
6	age	3.98492189380631	100
7	complex	34.2974995444522	97
8	del_12	13.9123087409924	66
9	del_13	-24.4940815898822	81
10	del_16	2.02784759157816	55
11	del_17	27.9354865992831	88
12	del_18	0.980392842090027	55
13	del_20	7.19598089815936	63
14	del_3	5.85265175352653	53
15	del_5	38.3648487440235	99
16	del_7	29.9130855301791	100
17	del_9	15.3163163531391	70
18	gender	9.42874971819398	91
19	inv_3	76.4426791890041	99
20	minusy	-8.249752864079	56
21	others_transloc	19.2045008540424	74
22	t_1_12	-39.2100914699823	51
23	t_1_14	-1.4781750538649	16
24	t_1_16	2.61042559273189	36
25	t_1_17	37.6841787746978	58
26	t_1_19	-29.4880515592091	67
27	t_1_3	86.2140715737848	88
28	t_1_4	20.6545327684648	56
29	t_1_5	50.6042709385923	60
30	t_1_6	61.9259049380514	57
31	t_10_21	-5.63168466691429	17
32	t_12_13	-68.2513748497643	60
33	t_12_17	-20.9578414774225	67
34	t_12_22	-1.09271743170945	40
35	t_13_19	-72.252508066268	62
36	t_15_16	40.071885129899	57
37	t_15_17	-86.4394663822532	98
38	t_16_17	12.9667091780638	43
39	t_16_21	70.1134728683665	57
40	t_17_19	-13.5857465421108	39
41	t_17_21	-57.5637391224434	70
42	t_2_17	25.1513708797661	61
43	t_2_3	45.3281748413745	47
44	t_2_5	-3.99766330390391	21
45	t_2_7	-25.2174311897589	62
46	t_2_9	-19.4548030326628	41
47	t_3_16	-7.3658146878794	48
48	t_3_21	95.3672216803824	90
49	t_3_5	21.1559462662314	45
50	t_3_7	11.5800998401901	52
51	t_3_9	1.00893890084846	5
52	t_4_12	-38.737915594915	65
53	t_4_21	-97.2357148830114	79
54	t_4_9	18.49976083819	52
55	t_5_12	-56.1636166871031	56
56	t_5_17	19.0433849192183	41
57	t_5_9	-14.8472807602451	47
58	t_6_9	35.5378235393721	86
59	t_7_16	62.2139143546099	71
60	t_7_17	-40.9600798586272	77
61	t_7_8	-21.2230535470844	49
62	t_8_10	-1.49775576847998	16
63	t_8_13	122.474981248899	95
64	t_8_16	122.326094935789	93
65	t_8_17	12.268230389132	42
66	t_8_21	-60.7163876728058	100
67	t_9_11	38.3279597602873	88
68	t_9_13	10.6143391316073	41
69	t_9_17	-17.864622630988	50
70	t_9_22	-71.3882147263424	83
71	t_v_11	34.4751441615499	92
