feature	coef	n
1	age	3.00510558369787	100
2	ASXL1	24.6429876523445	100
3	ASXL2	-10.796957742012	100
4	ASXL3	30.4905411463383	81
5	ATRX	43.2829980591554	100
6	BAGE3	-11.433474773059	100
7	BCOR	5.24312855161134	100
8	BRAF	87.0777274597384	100
9	CBFB	27.0943307649789	88
10	CBL	2.35943425223792	100
11	CDKN2A	93.2431239967552	86
12	CEBPA_bi	-15.5596445082244	100
13	CEBPA_mono	-2.66525418086138	100
14	CNTN5	96.3462355125231	58
15	CREBBP	-42.7728827621771	100
16	CSF1R	97.085806844849	49
17	CSF3R	4.75729612261648	100
18	CTCF	35.6992777372744	100
19	CUL2	-93.7423714600297	57
20	CUX1	32.4824131636905	100
21	DNMT3A	11.4866380986376	100
22	EED	101.823086090946	100
23	ETV6	5.89372468004025	100
24	EZH2	20.478091857629	100
25	FBXW7	-13.9011998081731	100
26	FLT3_other	3.67536452702179	100
27	FLT3_TKD	-6.5166270666836	100
28	GATA1	-54.3286721406614	100
29	GATA2	-10.5242106985592	100
30	gender	3.82878699751474	100
31	GNAS	-57.789774001635	100
32	GNB1	-28.8998290156557	92
33	IDH1	0.250214788092296	100
34	IDH2_p.R140	-1.74969096799788	100
35	IDH2_p.R172	-44.5784336232809	100
36	ITD	27.2794518522377	100
37	JAK2	16.25314715873	100
38	JAK3	-8.85467959295611	100
39	KANSL1	-19.9018288180749	100
40	KDM6A	9.76691670250953	100
41	KIT	-21.5753661909515	100
42	KMT2C	-11.2884686810287	100
43	KMT2D	15.7475500399081	100
44	KMT2E	-16.9817485228393	100
45	KRAS	17.8053748302898	100
46	LUC7L2	35.5280486617067	100
47	MED12	16.5359406384238	100
48	MLL	23.8022263264863	100
49	MPL	60.7025822012254	100
50	MYC	-10.5029698115226	100
51	NF1	10.9162365490248	100
52	NFE2	-73.8278252889245	100
53	NOTCH1	24.5896581514281	100
54	NPM1	-24.517751343567	100
55	NRAS_other	-8.02143489159129	100
56	NRAS_p.G12_13	8.82028664447467	100
57	NRAS_p.Q61_62	19.4633970819765	100
58	PDS5B	-71.4494833171238	78
59	PHF6	-2.21889883606281	100
60	PPFIA2	-8.68391620333568	54
61	PRPF8	27.4230682974639	100
62	PTEN	-50.741500150818	50
63	PTPN11	-13.2970401405778	100
64	PTPRF	-8.30435116747938	54
65	PTPRT	63.5052425185788	61
66	RAD21	-14.406403303835	100
67	RIT1	-23.7991844280258	100
68	RUNX1	7.25811159737156	100
69	S100B	-43.5110416708216	60
70	SETBP1	11.6688259666325	100
71	SF1	66.076012463226	99
72	SF3B1	32.4168667750731	100
73	SMC1A	2.77123880156526	100
74	SMC3	-3.02796149539177	100
75	SMG1	-16.8314095916746	86
76	SPP1	-13.0736001907117	50
77	SRSF2	18.0337310236024	100
78	STAG2	-5.53381594098034	100
79	STAT5B	-9.18309760987176	100
80	SUZ12	6.15175034696422	100
81	TET2	9.71648191773796	100
82	TP53	113.175479013173	100
83	U2AF1_p.Q157	45.8668465192721	100
84	U2AF1_p.S34	21.5537589812812	100
85	WT1	31.5480173582782	100
86	ZRSR2	-7.88134802443848	100
