feature	coef	n
1	ASXL1	1.93292705769888	98
2	ASXL2	-0.00878543701452967	4
3	ASXL3	0.00125377484847052	1
4	ATRX	0.0224542138120125	13
5	BAGE3	-0.0138937874959239	15
6	BCOR	0.131175682511531	23
7	BRAF	0.0309621305228533	16
8	CBFB	-0.000296099403139356	1
9	CBL	0.00716818253110419	4
10	CDKN2A	0.00180996296977146	2
11	CEBPA_bi	-0.16009233264702	39
12	CEBPA_mono	0.00454960666284269	5
13	CNTN5	0.00205824786238702	2
14	CSF1R	0.00621181568070212	3
15	CSF3R	8.30461820299324e-05	2
16	CTCF	0.0317177581566254	17
17	CUL2	-0.0005777076788664	2
18	CUX1	0.202625259080445	51
19	DNMT3A	0.514817454470808	44
20	EED	0.0567196372517243	36
21	ETV6	0.00569459701597503	3
22	EZH2	0.407334079604037	59
23	FBXW7	-0.0275157412107607	13
24	FLT3_TKD	-0.0627869037732057	14
25	FLT3_other	-0.000291315917779764	2
26	GATA1	-0.0180514182995547	16
27	GATA2	-0.0342857197291242	11
28	GNAS	-0.00421288704355827	6
29	GNB1	-0.010454324962581	15
30	IDH1	-0.0122332698609372	6
31	IDH2_p.R140	0.0138237684177972	3
32	IDH2_p.R172	-0.214494665193735	47
33	ITD	1.68460670217955	89
34	JAK2	0.0970287998698922	26
35	JAK3	-0.0067020369619485	5
36	KANSL1	0.00180327491101973	3
37	KDM6A	-0.00347537909424479	7
38	KIT	-0.618902655888835	82
39	KMT2D	0.00782681194888305	6
40	KMT2E	-0.00704447712122123	6
41	KRAS	0.0647294604272987	18
42	LUC7L2	0.0050498109676132	3
43	MED12	0.0153544343766773	9
44	MLL	1.03343438256691	90
45	MPL	0.105781819198616	50
46	MYC	-0.0485787866891553	15
47	NF1	0.00517969841233388	4
48	NFE2	-0.0581381911616061	35
49	NPM1	-1.46224088444228	69
50	NRAS_other	0.00195259960448056	2
51	NRAS_p.G12_13	0.0196024926595379	4
52	NRAS_p.Q61_62	0.0385362563349869	10
53	PDS5B	-0.00177192985998845	4
54	PHF6	0.00152032780764437	2
55	PRPF8	0.0177724231992529	9
56	PTEN	-0.000274050703190411	1
57	PTPN11	-0.260999906908207	38
58	PTPRT	0.000915578208833944	1
59	RAD21	-0.178947208542216	31
60	RIT1	-0.0526378128490039	20
61	RUNX1	2.10919145344708	97
62	S100B	-0.000209125586317698	1
63	SETBP1	0.0504815505949183	18
64	SF1	0.0366535853905739	23
65	SF3B1	0.652442563415028	85
66	SMC1A	0.0130515823711134	4
67	SMC3	-0.00336580162240502	3
68	SMG1	-0.0058197552482176	9
69	SRSF2	3.27133762628049	100
70	STAG2	0.0568493949816215	13
71	STAT5B	0.00138030652335489	1
72	SUZ12	0.00326212161716504	4
73	TET2	2.31682805196015	95
74	TP53	9.52974113137398	100
75	U2AF1_p.Q157	0.462749500785855	72
76	U2AF1_p.S34	0.656836166294324	88
77	WT1	0.182709620854536	30
78	ZRSR2	0.0470592689593989	18
79	gender	0.28441890827489	27
