feature	coef	n
1	ahd	-47.6645167033139	100
2	bm_blasts	0.0752847287218169	61
3	eln_2017_ratio	-36.5817732980054	100
4	final_component_NC1	16.7636638425367	95
5	final_component_NC2	1.26138647841391	33
6	final_component_NC3	6.71865942363019	50
7	final_component_NC6	22.2352016306567	83
8	final_component_NC7	-20.1711018457155	66
9	final_component_c1_NPM1	3.53690790272024	30
10	final_component_c2_TP53_complex	69.6415123398986	100
11	final_component_c3_rare_fusion	-17.7602361208149	84
12	final_component_c3_trans11	-9.0047652740113	57
13	final_component_c3_trans15_17	-124.134912463068	100
14	final_component_c4_5_trans_8_21	-53.5711846625638	98
15	final_component_c6_biallelic_CEBPA	-2.85092534970329	50
16	final_component_c7_inversion_3	32.5435589012792	77
17	final_component_c8_BAGE3_KMT2C	-17.0146239974489	74
18	final_component_chr_splicing	-20.7333482966809	80
19	final_component_nc4_DNMT3A_IDH2	-10.1723464160776	68
20	final_component_not_assigned	-20.8322207529138	97
21	hb	-0.0781056647935696	64
22	perf_status	26.1696230621658	100
23	plt	-0.037189269477094	78
24	secondary	13.0940776099796	99
25	wbc	0.20249923810954	100
