feature	coef	n
1	age	808.071562819243	100
2	ahd	-2.37014105338335	100
3	bm_blasts	6.30737166258469	12
4	eln_2017_ratio	-24.2278620495161	100
5	final_component_NC1	0.0741068929220781	15
6	final_component_NC2	5.31831360995245e-05	5
7	final_component_NC3	-0.00324809500787956	5
8	final_component_NC6	0.0829559395075723	30
9	final_component_NC7	-0.0106561100029472	16
10	final_component_c2_TP53_complex	5.67059427586399	100
11	final_component_c3_rare_fusion	0.00710558472945033	5
12	final_component_c3_trans11	0.198055116699485	38
13	final_component_c3_trans15_17	-0.398627362067677	92
14	final_component_c4_5_trans_8_21	-0.558098712546544	66
15	final_component_c6_biallelic_CEBPA	0.0157468062380464	4
16	final_component_c7_inversion_3	0.144918269724411	54
17	final_component_c8_BAGE3_KMT2C	0.000122114825672989	9
18	final_component_chr_splicing	-0.071025010887321	22
19	final_component_nc4_DNMT3A_IDH2	-0.168877211759473	48
20	final_component_not_assigned	-0.0421547121632682	7
21	gender	0.0828772260792214	10
22	hb	0.142661304106406	6
23	perf_status	8.90885884602013	100
24	plt	-84.2196344247045	37
25	secondary	0.415785378913005	36
26	wbc	715.066351125797	99
