feature	coef	n
1	add_11	29.3644235632601	93
2	add_13	5.92270097630974	50
3	add_21	-0.321499724631966	38
4	add_22	-18.5252085585519	82
5	add_8	1.42441604406375	42
6	age	3.6189213801925	100
7	ahd	-37.7418431371932	100
8	bm_blasts	0.0747598418737479	64
9	complex	18.1359294372691	90
10	del_12	14.1291303037889	67
11	del_13	-27.0720717984925	84
12	del_16	-0.594914755118566	48
13	del_17	38.6086598517208	98
14	del_18	-0.0889638112651525	48
15	del_20	0.796978847953848	47
16	del_3	8.4216414462429	49
17	del_5	31.7146486594401	98
18	del_7	18.0594232612298	98
19	del_9	11.6872366922981	60
20	eln_2017_ratio	-32.8018920471353	100
21	gender	1.91525478312525	54
22	hb	0.0273853437461989	45
23	inv_3	51.9067700192639	86
24	minusy	-6.11503991719908	61
25	others_transloc	10.4618690299319	64
26	perf_status	20.1407311950128	100
27	plt	-0.0204701463220743	59
28	secondary	2.53339325736448	57
29	t_10_21	-0.937944450468441	8
30	t_12_13	-47.9965810871026	61
31	t_12_17	-9.28984389133676	47
32	t_12_22	-0.0275412186556215	32
33	t_13_19	-71.9759181561068	62
34	t_15_16	28.7092247628542	50
35	t_15_17	-78.6166548031073	95
36	t_16_17	17.0809848368514	43
37	t_16_21	71.4236718761947	64
38	t_17_19	-4.03661681512914	20
39	t_17_21	-54.1207296866562	64
40	t_1_12	-16.7231538017116	36
41	t_1_14	-2.48906178199852	16
42	t_1_16	8.20218525051931	41
43	t_1_17	40.6076025254681	57
44	t_1_19	-12.5261558401923	44
45	t_1_3	89.7415964752604	88
46	t_1_4	10.7681219011614	33
47	t_1_5	52.833862777613	50
48	t_1_6	29.5755502605575	41
49	t_2_17	35.1903181535952	60
50	t_2_3	40.5393030707221	42
51	t_2_5	-4.33916252965925	16
52	t_2_7	-23.9697967846102	60
53	t_2_9	-19.1436042260176	44
54	t_3_16	-4.12167028705042	51
55	t_3_21	94.8651658983911	87
56	t_3_5	2.90864223198179	35
57	t_3_7	-1.2871219461989	49
58	t_3_9	1.04045397462636	8
59	t_4_12	-40.4078884871801	62
60	t_4_21	-87.3931322010415	79
61	t_4_9	19.0225233351867	55
62	t_5_12	-41.5881927722259	55
63	t_5_17	5.32582873924092	24
64	t_5_9	-22.7561305788507	44
65	t_6_9	16.1141194680255	65
66	t_7_16	60.575149012067	69
67	t_7_17	-28.6786575699863	68
68	t_7_8	-11.6340799957511	41
69	t_8_10	-0.127812887719756	8
70	t_8_13	111.464756030601	93
71	t_8_16	100.434591531227	92
72	t_8_17	15.7753382845755	36
73	t_8_21	-27.4875830494959	89
74	t_9_11	34.7805899809136	87
75	t_9_13	-3.67500497720766	18
76	t_9_17	-17.6049010367218	50
77	t_9_22	-102.286433398931	97
78	t_v_11	23.8661487185263	83
79	wbc	0.296319266155165	100
