feature	coef	n
1	add_11	29.2132906696079	93
2	add_13	5.73882488668436	49
3	add_21	-0.307258670959701	38
4	add_22	-18.2022749180287	82
5	add_8	1.35253462361196	39
6	age	3.66779706113708	100
7	ahd	-37.5846346713229	100
8	bm_blasts	0.0748022620086221	64
9	complex	18.0087277287304	89
10	del_12	14.0452765166711	67
11	del_13	-27.0217727020029	83
12	del_16	-0.471115006747746	47
13	del_17	38.5390991500551	98
14	del_18	-0.167610911841539	48
15	del_20	0.793408058459972	46
16	del_3	8.44279289600819	47
17	del_5	31.5931039564927	98
18	del_7	17.8599478473986	98
19	del_9	11.5905792586217	60
20	eln_2017_ratio	-33.1288730869131	100
21	gender	1.81468344892857	52
22	hb	0.0290800330782717	45
23	inv_3	51.8661960339851	86
24	minusy	-6.04590166172303	60
25	others_transloc	10.3881357423638	64
26	perf_status	20.1442379353814	100
27	plt	-0.0202652084954676	58
28	secondary	2.38586234524703	53
29	t_10_21	-0.631451006271948	5
30	t_12_13	-47.6735804511763	61
31	t_12_17	-8.71463308382359	44
32	t_12_22	0.179819049485009	31
33	t_13_19	-70.9618698876957	62
34	t_15_16	28.4700479766148	48
35	t_15_17	-78.7780756939925	95
36	t_16_17	16.9875605743114	43
37	t_16_21	72.6670849310041	62
38	t_17_19	-3.48037562509693	20
39	t_17_21	-53.3113082848853	63
40	t_1_12	-15.6097031501287	35
41	t_1_14	-2.22692255793443	13
42	t_1_16	7.84080402210439	41
43	t_1_17	40.035629042094	56
44	t_1_19	-12.3701501361409	44
45	t_1_3	89.2990795992008	87
46	t_1_4	10.2555202498401	34
47	t_1_5	52.5520341392188	50
48	t_1_6	28.3870351153494	38
49	t_2_17	35.6917562556875	60
50	t_2_3	39.4035716124143	42
51	t_2_5	-3.28249845505634	13
52	t_2_7	-24.4398369485587	58
53	t_2_9	-19.0466639344429	44
54	t_3_16	-3.37776387390843	49
55	t_3_21	94.3718368156645	84
56	t_3_5	2.79023030801913	35
57	t_3_7	3.655098402217	47
58	t_3_9	1.01201783880208	7
59	t_4_12	-39.9997529067016	62
60	t_4_21	-86.779447365382	79
61	t_4_9	18.2386398398496	51
62	t_5_12	-40.3111534097151	55
63	t_5_17	5.13102088328872	24
64	t_5_9	-24.2216634405534	41
65	t_6_9	16.0659704363062	67
66	t_7_16	58.0056594329195	67
67	t_7_17	-29.7251861018781	63
68	t_7_8	-8.90313081132342	33
69	t_8_10	-0.000411872754386937	2
70	t_8_13	111.054568338939	92
71	t_8_16	98.3922384313215	91
72	t_8_17	15.7205064506337	35
73	t_8_21	-26.8409067795314	88
74	t_9_11	35.0226847022925	87
75	t_9_13	-3.59189747403765	19
76	t_9_17	-16.975065861085	48
77	t_9_22	-102.325480816929	97
78	t_v_11	24.0900439384959	84
79	wbc	0.299462107639006	100
