,coef,feature,n
ASXL1,-6.162260508216567,ASXL1,100
ASXL2,2.193977953419264,ASXL2,100
ASXL3,-22.662997597698354,ASXL3,100
ATRX,-21.3814195121171,ATRX,100
BAGE3,2.4080754761149046,BAGE3,100
BCOR,-1.230124662769389,BCOR,100
BRAF,-36.45018852078895,BRAF,100
CBFB,-9.579962498525472,CBFB,100
CBL,-2.876267243940128,CBL,100
CDKN2A,-2.880241705736128,CDKN2A,100
CEBPA_bi,-9.489679085368238,CEBPA_bi,100
CEBPA_mono,3.6349234206825276,CEBPA_mono,100
CNTN5,-13.760429916921057,CNTN5,100
CREBBP,37.578441241562935,CREBBP,100
CSF1R,-24.262803356516358,CSF1R,100
CSF3R,-8.686117410697962,CSF3R,100
CTCF,-17.666612301358416,CTCF,100
CUL2,39.272435280557495,CUL2,100
CUX1,-12.822806087472019,CUX1,100
DNMT3A,-4.509581768018615,DNMT3A,100
EED,-37.19937511099825,EED,100
ETV6,2.8211862858312435,ETV6,100
EZH2,-6.314309023476505,EZH2,100
FBXW7,1.9035870916572948,FBXW7,100
FLT3_TKD,4.418449202703068,FLT3_TKD,100
FLT3_other,3.6471594463847676,FLT3_other,100
GATA1,29.585803869997928,GATA1,100
GATA2,12.474966457858207,GATA2,100
GNAS,33.144884905364236,GNAS,100
GNB1,13.824623862387128,GNB1,100
IDH1,-1.181367580110808,IDH1,100
IDH2_p.R140,-0.48767989894253777,IDH2_p.R140,100
IDH2_p.R172,18.94933909508831,IDH2_p.R172,100
ITD,-10.999669455967746,ITD,100
JAK2,4.524123913414066,JAK2,100
JAK3,3.535136824637313,JAK3,100
KANSL1,13.063481468650604,KANSL1,100
KDM6A,-8.537683324592996,KDM6A,100
KIT,-5.521872374074604,KIT,100
KMT2C,2.4080754761149046,KMT2C,100
KMT2D,-5.3847063616338975,KMT2D,100
KMT2E,16.057253610957154,KMT2E,100
KRAS,-8.662008192947969,KRAS,100
LUC7L2,-13.404856214340098,LUC7L2,100
MED12,1.6476491913135756,MED12,100
MLL,2.1488365676317023,MLL,100
MPL,-29.855874024549223,MPL,100
MYC,-4.773259888614201,MYC,100
NF1,-1.1339105856980431,NF1,100
NFE2,40.32414333418761,NFE2,100
NOTCH1,-1.493362819005653,NOTCH1,100
NPM1,-3.822311807622941,NPM1,100
NRAS_other,2.7842377449955924,NRAS_other,100
NRAS_p.G12_13,-2.849999133796469,NRAS_p.G12_13,100
NRAS_p.Q61_62,-10.687703061581969,NRAS_p.Q61_62,100
PDS5B,58.96375020205512,PDS5B,100
PHF6,-3.0196832818721178,PHF6,100
PPFIA2,4.883502132223915,PPFIA2,100
PRPF8,-11.88488118229578,PRPF8,100
PTEN,16.931063591834555,PTEN,100
PTPN11,8.951085627288435,PTPN11,100
PTPRF,4.883502132223915,PTPRF,100
PTPRT,-39.2409214959926,PTPRT,100
RAD21,0.8089228553265817,RAD21,100
RIT1,6.178180255008369,RIT1,100
RUNX1,5.150663094581823,RUNX1,100
S100B,49.27009072461321,S100B,100
SETBP1,-2.07421280600215,SETBP1,100
SF1,-30.354232076133783,SF1,100
SF3B1,-3.7223604050756713,SF3B1,100
SMC1A,-7.409656288193705,SMC1A,100
SMC3,-0.6850572280149846,SMC3,100
SMG1,7.930328290213846,SMG1,100
SPP1,20.673420619674722,SPP1,100
SRSF2,-3.8255640909833057,SRSF2,100
STAG2,4.1006370431111545,STAG2,100
STAT5B,11.909836967694895,STAT5B,100
SUZ12,-4.9274342165561515,SUZ12,100
TET2,0.011826402423317395,TET2,100
TP53,-32.97743587787097,TP53,100
U2AF1_p.Q157,-17.52715134829267,U2AF1_p.Q157,100
U2AF1_p.S34,-6.5122030633118735,U2AF1_p.S34,100
WT1,-20.700251150022734,WT1,100
ZRSR2,11.293114207629976,ZRSR2,100
add_11,-14.384940670889922,add_11,100
add_13,-4.62516857019926,add_13,100
add_21,-0.5144197877087529,add_21,100
add_22,18.01787418412397,add_22,100
add_8,1.2542112082485881,add_8,100
age,-1.5678557742268426,age,100
ahd,18.801445265322148,ahd,100
bm_blasts,-0.09998423716254816,bm_blasts,100
complex,-6.213424573159485,complex,100
del_12,-8.20740453995568,del_12,100
