,coef,feature,n
ASXL1,-4.888027319083124,ASXL1,100
ASXL2,-0.5677606476077595,ASXL2,100
ASXL3,-28.762502438296167,ASXL3,100
ATRX,-29.52116683375509,ATRX,100
BAGE3,12.031612759126503,BAGE3,100
BCOR,-3.3628268879301544,BCOR,100
BRAF,-26.82794546443935,BRAF,100
CBFB,-10.785710737776744,CBFB,100
CBL,-3.3378799203410723,CBL,100
CDKN2A,-5.535224573813158,CDKN2A,100
CEBPA_bi,-16.630995983281338,CEBPA_bi,100
CEBPA_mono,2.06513727788494,CEBPA_mono,100
CNTN5,-13.376013849489366,CNTN5,100
CREBBP,34.620557341914385,CREBBP,100
CSF1R,-32.558933133431815,CSF1R,100
CSF3R,-4.119026709167364,CSF3R,100
CTCF,-24.512149151042777,CTCF,100
CUL2,30.752859168633496,CUL2,100
CUX1,-16.65059193047959,CUX1,100
DNMT3A,-7.287813912438046,DNMT3A,100
EED,-30.42540590707122,EED,100
ETV6,3.4570815902367347,ETV6,100
EZH2,-10.87248194115348,EZH2,100
FBXW7,3.643288333941168,FBXW7,100
FLT3_TKD,5.118312981177308,FLT3_TKD,100
FLT3_other,1.7396720960222578,FLT3_other,100
GATA1,23.481455190958606,GATA1,100
GATA2,9.77263327467618,GATA2,100
GNAS,28.231155282144847,GNAS,100
GNB1,6.513054751314638,GNB1,100
IDH1,-1.3404456956391138,IDH1,100
IDH2_p.R140,-4.7345056907874135,IDH2_p.R140,100
IDH2_p.R172,11.016996023288337,IDH2_p.R172,100
ITD,-4.217886063857873,ITD,100
JAK2,-2.7912542820709256,JAK2,100
JAK3,-2.6890930136358544,JAK3,100
KANSL1,4.744469042103947,KANSL1,100
KDM6A,-10.397256317396058,KDM6A,100
KIT,2.8877776911304744,KIT,100
KMT2C,12.031612759126503,KMT2C,100
KMT2D,-4.260235460568887,KMT2D,100
KMT2E,11.868171109801121,KMT2E,100
KRAS,-5.443685698704421,KRAS,100
LUC7L2,-7.007655010279873,LUC7L2,100
MED12,1.7570710920114725,MED12,100
MLL,1.1335955921041236,MLL,100
MPL,-33.07669451310293,MPL,100
MYC,-0.10755568270758648,MYC,100
NF1,4.3233701378868075,NF1,100
NFE2,44.128551157447596,NFE2,100
NOTCH1,15.665089030593684,NOTCH1,100
NPM1,-18.499030153106247,NPM1,100
NRAS_other,-11.39374808823911,NRAS_other,100
NRAS_p.G12_13,-0.2409562745773299,NRAS_p.G12_13,100
NRAS_p.Q61_62,-11.584332374709943,NRAS_p.Q61_62,100
PDS5B,47.52987463295668,PDS5B,100
PHF6,-1.419960026111398,PHF6,100
PPFIA2,-4.715106224682698,PPFIA2,100
PRPF8,-24.600815270862345,PRPF8,100
PTEN,23.33875022129159,PTEN,100
PTPN11,8.806570085046314,PTPN11,100
PTPRF,-4.715106224682698,PTPRF,100
PTPRT,-41.05214168389124,PTPRT,100
RAD21,4.035839454649652,RAD21,100
RIT1,12.758551913050951,RIT1,100
RUNX1,4.685091445546768,RUNX1,100
S100B,48.79554389316168,S100B,100
SETBP1,-7.592261095832921,SETBP1,100
SF1,-49.2429458009443,SF1,100
SF3B1,-22.158776905040018,SF3B1,100
SMC1A,-8.93702892287315,SMC1A,100
SMC3,-4.400684232704091,SMC3,100
SMG1,-0.18093828831817838,SMG1,100
SPP1,21.230282572492154,SPP1,100
SRSF2,-13.11774985139829,SRSF2,100
STAG2,0.2620285413313712,STAG2,100
STAT5B,12.128693182618953,STAT5B,100
SUZ12,2.9996869459341657,SUZ12,100
TET2,-10.75288594415031,TET2,100
TP53,-47.261231469658206,TP53,100
U2AF1_p.Q157,-28.983453034282093,U2AF1_p.Q157,100
U2AF1_p.S34,-13.405041651175422,U2AF1_p.S34,100
WT1,-13.967195847254906,WT1,100
ZRSR2,-2.314596940202967,ZRSR2,100
ahd,21.311946946930735,ahd,100
bm_blasts,-0.07142433599590134,bm_blasts,100
eln_2017_ratio,21.792766824549837,eln_2017_ratio,100
hb,0.049885449597066624,hb,100
perf_status,-12.789883493880838,perf_status,100
plt,0.017131933951589597,plt,100
secondary,-4.570291152502885,secondary,100
wbc,-0.09912660657439876,wbc,100
