feature	coef	n
1	eln_2017_ratio	-37.5291145135312	100
2	final_component_NC1	21.6965504178182	99
3	final_component_NC2	-0.18829410054718	31
4	final_component_NC3	7.64415903489298	59
5	final_component_NC6	22.8271047840483	82
6	final_component_NC7	-40.5727040084568	71
7	final_component_c1_NPM1	8.69760092955757	59
8	final_component_c2_TP53_complex	70.5640062166669	100
9	final_component_c3_rare_fusion	-26.9129948613073	92
10	final_component_c3_trans11	-11.5727083804379	68
11	final_component_c3_trans15_17	-146.087306084739	100
12	final_component_c4_5_trans_8_21	-63.8087034916357	100
13	final_component_c6_biallelic_CEBPA	-2.68189644865847	58
14	final_component_c7_inversion_3	45.7803715696928	97
15	final_component_c8_BAGE3_KMT2C	0.127691893291387	71
16	final_component_chr_splicing	-20.6065866742298	80
17	final_component_nc4_DNMT3A_IDH2	-24.259551138171	90
18	final_component_not_assigned	-25.2787648054593	99
