feature	coef	n
1	add_11	27.7671793417661	100
2	add_13	10.7043745381733	100
3	add_21	1.85511291756719	100
4	add_22	-31.6388401017169	100
5	add_8	4.43091401607019	100
6	complex	6.35388866646917	100
7	del_12	5.37027395300413	100
8	del_13	-21.4127719177177	100
9	del_16	3.28342808482811	100
10	del_17	32.3145947707587	100
11	del_18	-3.32339845851632	100
12	del_20	10.2177062587639	100
13	del_3	13.7086145431567	100
14	del_5	35.1686106985751	100
15	del_7	13.5371214437011	100
16	del_9	14.4473342889014	100
17	eln_2017_ratio	-21.371135036354	100
18	final_component_NC1	25.4522763209836	100
19	final_component_NC2	10.8046196073511	100
20	final_component_NC3	14.4629089096487	100
21	final_component_NC6	25.5597327803934	100
22	final_component_NC7	-22.9780123033936	96
23	final_component_c1_NPM1	-3.24977081284104	100
24	final_component_c2_TP53_complex	36.610153124815	100
25	final_component_c3_rare_fusion	-14.2451306787369	100
26	final_component_c3_trans11	-19.0513745525732	100
27	final_component_c3_trans15_17	-72.9705261460379	100
28	final_component_c4_5_trans_8_21	-32.6769514300829	100
29	final_component_c6_biallelic_CEBPA	-17.2672840072353	100
30	final_component_c7_inversion_3	17.7806568376713	100
31	final_component_c8_BAGE3_KMT2C	-2.71684345557172	100
32	final_component_chr_splicing	-18.8715910980971	100
33	final_component_nc4_DNMT3A_IDH2	-20.2419827190716	100
34	final_component_not_assigned	-24.2821091210854	100
35	inv_3	34.3175154260874	100
36	minusy	4.66612332647847	100
37	others_transloc	11.2089135642624	100
38	t_10_21	-35.7303919414428	56
39	t_12_13	-98.3615620761402	81
40	t_12_17	-33.9322732435505	93
41	t_12_22	-18.907565972406	98
42	t_13_19	-96.4704958735582	62
43	t_15_16	21.0346598695406	82
44	t_15_17	-45.0542494769566	100
45	t_16_17	24.0141362827108	97
46	t_16_21	87.8732672717643	76
47	t_17_19	-39.3086951715436	92
48	t_17_21	-89.2263190059356	97
49	t_1_12	-50.1735761507344	76
50	t_1_14	9.2439812235063	74
51	t_1_16	31.5926144719337	96
52	t_1_17	52.1219837739697	94
53	t_1_19	-30.9183348963962	75
54	t_1_3	79.8942170644594	93
55	t_1_4	47.4460108837629	95
56	t_1_5	59.8746528849833	81
57	t_1_6	54.3336685924503	82
58	t_2_17	15.8086802912456	92
59	t_2_3	55.8115740743686	84
60	t_2_5	-2.1437054846506	86
61	t_2_7	-63.1201898157742	84
62	t_2_9	-32.2515582579485	81
63	t_3_16	-13.9632900899574	95
64	t_3_21	84.0706932284611	93
65	t_3_5	-14.3002628930801	79
66	t_3_7	-39.2498773413782	80
67	t_3_9	-9.0642977337814	81
68	t_4_12	-48.6236425910923	89
69	t_4_21	-91.4961896258934	81
70	t_4_9	61.5180063227798	84
71	t_5_12	-75.4781347464737	80
72	t_5_17	-1.17592767843318	63
73	t_5_9	-1.47102278850533	86
74	t_6_9	1.55198349470467	100
75	t_7_16	75.9479697376856	74
76	t_7_17	-45.4115190602478	90
77	t_7_8	-86.8714864190925	85
78	t_8_10	-35.6655901741492	56
79	t_8_13	103.740474171463	95
80	t_8_16	91.7146001887435	94
81	t_8_17	6.87286747222858	97
82	t_8_21	-39.8948521163951	100
83	t_9_11	19.6928261989936	100
84	t_9_13	59.3647647655251	64
85	t_9_17	-63.5475680352899	76
86	t_9_22	-86.7109677708999	100
87	t_v_11	7.39363165205408	100
