,coef,feature,n
ASXL1,-10.174916516573086,ASXL1,100
ASXL2,-6.080438896224762,ASXL2,100
ASXL3,-28.865421917884476,ASXL3,100
ATRX,-14.519443791239674,ATRX,100
BAGE3,16.4528570117645,BAGE3,100
BCOR,-2.455809026510613,BCOR,100
BRAF,-18.611823619785405,BRAF,100
CBFB,-14.465525729706334,CBFB,100
CBL,-4.1574250545527995,CBL,100
CDKN2A,-16.09017869990824,CDKN2A,100
CEBPA_bi,17.94246940278739,CEBPA_bi,100
CEBPA_mono,-0.8177726853310593,CEBPA_mono,100
CNTN5,-24.76864482857036,CNTN5,100
CREBBP,30.872512640825878,CREBBP,100
CSF1R,-37.18102710135014,CSF1R,100
CSF3R,-3.7009607467761256,CSF3R,100
CTCF,-17.881212088871862,CTCF,100
CUL2,28.297547462378027,CUL2,100
CUX1,-15.004655975259109,CUX1,100
DNMT3A,-6.887863690381315,DNMT3A,100
EED,-41.89221355216593,EED,100
ETV6,4.700151224270072,ETV6,100
EZH2,-14.632361497712933,EZH2,100
FBXW7,4.39353684878574,FBXW7,100
FLT3_TKD,-1.6167055726909825,FLT3_TKD,100
FLT3_other,-1.2177089440630742,FLT3_other,100
GATA1,40.23820587898647,GATA1,100
GATA2,8.220411161836624,GATA2,100
GNAS,25.98739881709313,GNAS,100
GNB1,23.32310665214141,GNB1,100
IDH1,-2.025138482397308,IDH1,100
IDH2_p.R140,-2.3242947695315013,IDH2_p.R140,100
IDH2_p.R172,8.113716575145352,IDH2_p.R172,100
ITD,-17.2620526127442,ITD,100
JAK2,-9.217718965112523,JAK2,100
JAK3,2.7719511060730686,JAK3,100
KANSL1,5.688671640422573,KANSL1,100
KDM6A,-11.47061398293687,KDM6A,100
KIT,-0.9725286481961781,KIT,100
KMT2C,16.4528570117645,KMT2C,100
KMT2D,-5.848230186290401,KMT2D,100
KMT2E,9.277153255573747,KMT2E,100
KRAS,-7.398390031323776,KRAS,100
LUC7L2,-11.302011948790868,LUC7L2,100
MED12,-3.8917082275272143,MED12,100
MLL,-5.790168280686687,MLL,100
MPL,-34.10079062833554,MPL,100
MYC,0.9385059351458778,MYC,100
NF1,6.093387047576367,NF1,100
NFE2,51.123526933001465,NFE2,100
NOTCH1,9.378467991876352,NOTCH1,100
