feature	coef	n
1	ASXL1	14.303030039486	89
2	ASXL2	-0.450070373553521	26
3	ASXL3	46.8594177814596	46
4	ATRX	32.511226613053	61
5	BAGE3	-19.8295326920813	75
6	BCOR	-0.405057917212543	40
7	BRAF	37.3988241333782	70
8	CBFB	3.20904506783522	27
9	CBL	4.95133856309737	36
10	CDKN2A	41.5346310911646	45
11	CEBPA_bi	1.95225780239147	29
12	CEBPA_mono	-0.626354327264645	36
13	CNTN5	51.3373063594808	45
14	CREBBP	-11.3858938976929	47
15	CSF1R	91.3564528145854	42
16	CSF3R	-0.891778119499041	25
17	CTCF	22.153270743308	62
18	CUL2	-7.88647561455965	28
19	CUX1	24.7087074281133	77
20	DNMT3A	11.3762738627393	90
21	EED	66.9262239456965	88
22	ETV6	2.47596694414174	35
23	EZH2	20.2597615517507	86
24	FBXW7	-6.07106473430964	42
25	FLT3_TKD	-0.0383255987000702	26
26	FLT3_other	2.02518221698106	29
27	GATA1	-24.4649380869473	54
28	GATA2	-1.60768392475484	35
29	GNAS	-34.2567734864488	68
30	GNB1	-33.6345153249702	66
31	IDH1	-0.212448486273487	43
32	IDH2_p.R140	3.72068679556527	50
33	IDH2_p.R172	-33.6093668054643	93
34	ITD	21.2461171364929	98
35	JAK2	20.3042870989036	78
36	JAK3	-5.29378375337066	30
37	KANSL1	-3.35941892133665	40
38	KDM6A	1.82342696329285	37
39	KIT	-9.16938063771033	60
40	KMT2C	-6.34658072926925	75
41	KMT2D	6.56648457160977	44
42	KMT2E	-3.85484708646574	39
43	KRAS	6.80723673266605	55
44	LUC7L2	14.3759478191104	53
45	MED12	11.29325486715	45
46	MLL	3.72313054878938	41
47	MPL	53.296684235208	95
48	MYC	-7.65093437509851	38
49	NF1	0.66395141505276	34
50	NFE2	-52.2660237339084	77
51	NOTCH1	-1.08719550290671	24
52	NPM1	8.4218318911799	61
53	NRAS_other	16.0376438319298	44
54	NRAS_p.G12_13	2.89272484082508	44
55	NRAS_p.Q61_62	14.6467446900793	71
56	PDS5B	-28.7693761465241	52
57	PHF6	-0.525143315221805	36
58	PPFIA2	0.555593738829723	4
59	PRPF8	22.842479447936	53
60	PTEN	-18.5337503132026	37
61	PTPN11	-8.92354013192821	65
62	PTPRF	0.080261088602099	4
63	PTPRT	33.6226173350025	45
64	RAD21	-12.6979870215272	69
65	RIT1	-15.6129215877997	67
66	RUNX1	-0.459775685601293	33
67	S100B	-22.9844411895936	58
68	SETBP1	10.8487190231967	59
69	SF1	68.8487257138343	73
70	SF3B1	32.0129593378811	92
71	SMC1A	10.6197733986742	62
72	SMC3	2.93817083615214	30
73	SMG1	19.0876065961897	42
74	SPP1	-1.76630473024722	13
75	SRSF2	30.6478327436072	100
76	STAG2	0.461832747163632	30
77	STAT5B	1.14325919060736	44
78	SUZ12	2.36822271942339	39
79	TET2	24.5870923274976	99
80	TP53	109.635128362228	100
81	U2AF1_p.Q157	38.7813926552712	90
82	U2AF1_p.S34	24.5123382735792	94
83	WT1	15.5798005339753	89
84	ZRSR2	4.59894712552529	52
85	eln_2017_ratio	-36.3282236301631	100
