feature	coef	n
1	ASXL1	19.5455124546623	100
2	ASXL2	-2.37661291919246	100
3	ASXL3	32.0969712313285	81
4	ATRX	49.5524908836494	100
5	BAGE3	-20.3488894540779	100
6	BCOR	0.891840775278991	100
7	BRAF	54.7813412310458	100
8	CBFB	18.3161180444951	88
9	CBL	3.65001492275471	100
10	CDKN2A	75.1032471972644	86
11	CEBPA_bi	-4.67400833526452	100
12	CEBPA_mono	-1.86109590695089	100
13	CNTN5	95.7536171657152	58
14	CREBBP	-29.6113085145308	100
15	CSF1R	111.564126934951	49
16	CSF3R	0.801024313640974	100
17	CTCF	34.158943445109	100
18	CUL2	-60.9036673079596	57
19	CUX1	33.4181045095268	100
20	DNMT3A	12.2244589441558	100
21	EED	88.0619923815026	100
22	ETV6	7.06792151473359	100
23	EZH2	23.8542197143654	100
24	FBXW7	-14.9800189196715	100
25	FLT3_TKD	-1.91547125839766	100
26	FLT3_other	3.1507522612536	100
27	GATA1	-41.1643271926697	100
28	GATA2	-3.1740675031768	100
29	GNAS	-45.5313069655769	100
30	GNB1	-27.526117964164	92
31	IDH1	0.19571421404964	100
32	IDH2_p.R140	6.13712191470897	100
33	IDH2_p.R172	-36.496724392422	100
34	ITD	19.2436479063574	100
35	JAK2	25.9439499643771	100
36	JAK3	-7.86674382439023	100
37	KANSL1	-8.50532268109809	100
38	KDM6A	-0.01114634034411	100
39	KIT	-20.1977038212626	100
40	KMT2C	-20.1749200813903	100
41	KMT2D	9.2123654913777	100
42	KMT2E	-7.75727524212427	100
43	KRAS	11.4919948371723	100
44	LUC7L2	37.1454008271183	100
45	MED12	20.4686892865818	100
46	MLL	11.0007881531198	100
47	MPL	63.5395335415376	100
48	MYC	-16.7114174570672	100
49	NF1	1.00865242471438	100
50	NFE2	-74.4525874720329	100
51	NOTCH1	-4.37559496105791	100
52	NPM1	2.91608624250297	100
53	NRAS_other	25.0257797700828	100
54	NRAS_p.G12_13	2.91749838325342	100
55	NRAS_p.Q61_62	17.2694481942521	100
56	PDS5B	-55.1783698786521	78
57	PHF6	-2.43160046511582	100
58	PPFIA2	9.93023071785879	54
59	PRPF8	33.1035720664408	100
60	PTEN	-59.3308666048137	50
61	PTPN11	-14.7963843114911	100
62	PTPRF	9.81226605161818	54
63	PTPRT	68.6532424600774	61
64	RAD21	-18.9541401879996	100
65	RIT1	-25.2017623244419	100
66	RUNX1	3.01775704358006	100
67	S100B	-32.6003564767759	60
68	SETBP1	20.2531731170054	100
69	SF1	82.9228031632419	99
70	SF3B1	39.6076886031471	100
71	SMC1A	14.8680150161468	100
72	SMC3	5.0603111573333	100
73	SMG1	-5.09150847359152	86
74	SPP1	-13.4121869725464	50
75	SRSF2	28.0617770757859	100
76	STAG2	1.26771130617022	100
77	STAT5B	-1.91635389640574	100
78	SUZ12	-5.70181867678376	100
79	TET2	23.0025139683138	100
80	TP53	98.6198092945642	100
81	U2AF1_p.Q157	43.1295354984109	100
82	U2AF1_p.S34	28.7736463599944	100
83	WT1	19.5670742105471	100
84	ZRSR2	7.8042847494652	100
85	eln_2017_ratio	-26.4116590356799	100
