feature	coef	n
1	ASXL1	26.9830638942159	100
2	ASXL2	-9.18030489719384	100
3	ASXL3	10.1361130979759	100
4	ATRX	21.4081733435165	100
5	BAGE3	-0.12985534684543	100
6	BCOR	4.79807868885101	100
7	BRAF	37.3496443016842	100
8	CBFB	11.1570438014342	100
9	CBL	9.09122006237285	100
10	CDKN2A	17.6467834182232	100
11	CEBPA_bi	-7.86268437142871	100
12	CEBPA_mono	-1.88469896293673	100
13	CNTN5	14.1497693387945	100
14	CREBBP	-4.91920789103637	100
15	CSF1R	14.0496453873062	100
16	CSF3R	3.66100275980034	100
17	CTCF	19.9208040824315	100
18	CUL2	-1.56687875765227	100
19	CUX1	25.3207880727152	100
20	DNMT3A	14.689541871839	100
21	EED	29.8679128381217	100
22	ETV6	5.77244328233471	100
23	EZH2	17.6066535759838	100
24	FBXW7	-5.16783715970917	100
25	FLT3_TKD	-3.65757407564553	100
26	FLT3_other	5.00126110264326	100
27	GATA1	-12.4956070601015	100
28	GATA2	-13.9554682059441	100
29	GNAS	-15.7859755976489	100
30	GNB1	-1.34738815550518	100
31	IDH1	1.09983407758628	100
32	IDH2_p.R140	-2.69102192608214	100
33	IDH2_p.R172	-41.3361184132636	100
34	ITD	37.8275698888867	100
35	JAK2	16.7708536468337	100
36	JAK3	-0.0517531837271535	100
37	KANSL1	-11.2901665130085	100
38	KDM6A	12.8187053497341	100
39	KIT	-13.6738031184297	100
40	KMT2C	-0.12985534684543	100
41	KMT2D	14.2987394781952	100
42	KMT2E	-9.38883789322711	100
43	KRAS	21.5669266052219	100
44	LUC7L2	16.0552365905283	100
45	MED12	16.46369135907	100
46	MLL	22.3394135740804	100
47	MPL	34.6545878182457	100
48	MYC	-0.856925585284408	100
49	NF1	14.9697513541632	100
50	NFE2	-12.4472384748539	100
51	NOTCH1	19.2835944581705	100
52	NPM1	-35.540724497642	100
53	NRAS_other	2.38630382052126	100
54	NRAS_p.G12_13	14.0150989664128	100
55	NRAS_p.Q61_62	25.026548338896	100
56	PDS5B	-6.07826386079275	100
57	PHF6	0.808568052218792	100
58	PPFIA2	1.60223349366273	100
59	PRPF8	16.7906720041488	100
60	PTEN	5.99376472040578	100
61	PTPN11	-9.17616063444326	100
62	PTPRF	1.60223349366273	100
63	PTPRT	13.0807505743056	100
64	RAD21	-8.30378338130096	100
65	RIT1	-11.7061253504889	100
66	RUNX1	3.6887393622422	100
67	S100B	-2.70268180214499	100
68	SETBP1	8.31012603303167	100
69	SF1	17.530207712696	100
70	SF3B1	23.0465769053651	100
71	SMC1A	4.61509534092177	100
72	SMC3	0.128854189770408	100
73	SMG1	0.962656548966184	100
74	SPP1	4.65027933432964	100
75	SRSF2	15.1978445354749	100
76	STAG2	-7.63711047727533	100
77	STAT5B	2.74982479542045	100
78	SUZ12	11.1545487399279	100
79	TET2	6.56852876990729	100
80	TP53	119.862150463821	100
81	U2AF1_p.Q157	37.0892933250207	100
82	U2AF1_p.S34	17.8513642378744	100
83	WT1	36.4505442792815	100
84	ZRSR2	-1.57424792168641	100
85	age	4.21152188299003	100
