feature	coef	n
1	add_11	0.167712767879475	39
2	add_13	0.0724430117287846	24
3	add_21	0.0941425110068281	22
4	add_22	-0.250175103332778	60
5	add_8	0.0474471670709011	9
6	complex	0.00476670451939752	1
7	del_12	0.0177079441250627	12
8	del_13	-0.0442104810562426	27
9	del_16	0.00379484021090484	7
10	del_17	0.304573128842601	58
11	del_18	-0.0126892849639682	7
12	del_20	0.0835074163708174	24
13	del_3	0.00687717877797023	5
14	del_5	1.29197714176978	88
15	del_7	1.02994675449033	86
16	del_9	0.0255302455365681	9
17	final_component_BAGE3_KMT2C	-0.000902899300761518	6
18	final_component_CEBPA_bi	-0.122819393770919	34
19	final_component_DNMT3A_IDH1_2	0.0361910498348338	11
20	final_component_KIT_NRAS	-0.0219833442970181	18
21	final_component_NPM1	-0.269074095280298	26
22	final_component_TP53_complex	9.35147852706957	100
23	final_component_WT1_t_6_9_ITD	0.580927682670768	87
24	final_component_additions	-0.249444167991146	50
25	final_component_chr_splicing_1	0.078358360834711	14
26	final_component_chr_splicing_multiple	9.35868281418943	100
27	final_component_inv_3	0.100019422296123	42
28	final_component_not_assigned	-0.639892191377843	69
29	final_component_t_11	0.003255445855889	4
30	final_component_t_15_17	-0.236009050783991	54
31	final_component_t_8_21	-0.866451889589437	44
32	inv_3	0.352880716803857	77
33	minusy	-0.00159707185084521	3
34	others_transloc	0.0635972768474404	19
35	t_12_13	-0.00754111592555766	19
36	t_12_17	-0.00134429552921112	5
37	t_12_22	0.00109821636272184	1
38	t_13_19	-0.0030383148003235	9
39	t_15_17	-0.241854358885702	51
40	t_16_17	0.00135960485828953	2
41	t_16_21	0.0232943428297515	14
42	t_17_19	-0.00651839759539284	9
43	t_17_21	-0.0596158452523418	48
44	t_1_12	-0.00031884934074489	1
45	t_1_17	0.0069255639655951	8
46	t_1_19	-0.00101427542224623	3
47	t_1_3	0.00654662941221065	6
48	t_1_4	0.000297891595524742	1
49	t_1_5	0.00527697604226785	5
50	t_1_6	0.0072436643547737	6
51	t_2_17	0.00275615058505668	7
52	t_2_3	0.000746603254402068	1
53	t_2_7	-0.000956306581785605	2
54	t_2_9	-0.00284681094598574	4
55	t_3_16	-0.00948337119434234	17
56	t_3_21	0.0333580387016712	25
57	t_3_5	-0.000318489499883259	1
58	t_3_7	-0.0132563861392539	32
59	t_4_12	-0.0006235656926104	2
60	t_4_21	-0.0248128539675583	43
61	t_5_12	-0.00223278347644672	7
62	t_5_9	-0.000269682205898311	1
63	t_7_16	0.00882361019893932	9
64	t_7_17	-0.0401251998672145	37
65	t_7_8	-0.010719010203098	15
66	t_8_13	0.0209481052203478	21
67	t_8_16	0.0331334651681058	29
68	t_8_17	-0.000242772932715627	1
69	t_8_21	-1.97204610555976	86
70	t_9_11	0.00905145516629523	7
71	t_9_17	-0.0244042755344997	43
72	t_9_22	-0.0476944141547852	46
73	t_v_11	0.00346160778156262	2
