feature	ref_CI	permuted_CI	algo	model
1	final_component_additions	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
2	final_component_additions	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
3	final_component_additions	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
4	final_component_additions	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
5	final_component_BAGE3_KMT2C	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
6	final_component_BAGE3_KMT2C	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
7	final_component_BAGE3_KMT2C	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
8	final_component_BAGE3_KMT2C	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
9	final_component_CEBPA_bi	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
10	final_component_CEBPA_bi	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
11	final_component_CEBPA_bi	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
12	final_component_CEBPA_bi	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
13	final_component_chr_splicing_1	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
14	final_component_chr_splicing_1	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
15	final_component_chr_splicing_1	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
16	final_component_chr_splicing_1	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
17	final_component_chr_splicing_multiple	0.624179370201402	0.594795657219158	Lasso	comp_demo_without_age
18	final_component_chr_splicing_multiple	0.624179370201402	0.56851165969893	Lasso	comp_demo_without_age
19	final_component_chr_splicing_multiple	0.624179370201402	0.55875152998776	Lasso	comp_demo_without_age
20	final_component_chr_splicing_multiple	0.624179370201402	0.581776852278688	Lasso	comp_demo_without_age
21	final_component_DNMT3A_IDH1_2	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
22	final_component_DNMT3A_IDH1_2	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
23	final_component_DNMT3A_IDH1_2	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
24	final_component_DNMT3A_IDH1_2	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
25	final_component_inv_3	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
26	final_component_inv_3	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
27	final_component_inv_3	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
28	final_component_inv_3	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
29	final_component_KIT_NRAS	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
30	final_component_KIT_NRAS	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
31	final_component_KIT_NRAS	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
32	final_component_KIT_NRAS	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
33	final_component_not_assigned	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
34	final_component_not_assigned	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
35	final_component_not_assigned	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
36	final_component_not_assigned	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
37	final_component_NPM1	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
38	final_component_NPM1	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
39	final_component_NPM1	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
40	final_component_NPM1	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
41	final_component_t_11	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
42	final_component_t_11	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
43	final_component_t_11	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
44	final_component_t_11	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
45	final_component_t_15_17	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
46	final_component_t_15_17	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
47	final_component_t_15_17	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
48	final_component_t_15_17	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
49	final_component_t_8_21	0.624179370201402	0.616318809709263	Lasso	comp_demo_without_age
50	final_component_t_8_21	0.624179370201402	0.614212592792764	Lasso	comp_demo_without_age
51	final_component_t_8_21	0.624179370201402	0.614292072676406	Lasso	comp_demo_without_age
52	final_component_t_8_21	0.624179370201402	0.613846985328014	Lasso	comp_demo_without_age
53	final_component_TP53_complex	0.624179370201402	0.556677105024718	Lasso	comp_demo_without_age
54	final_component_TP53_complex	0.624179370201402	0.563289831343687	Lasso	comp_demo_without_age
55	final_component_TP53_complex	0.624179370201402	0.550588945937783	Lasso	comp_demo_without_age
56	final_component_TP53_complex	0.624179370201402	0.561771765566135	Lasso	comp_demo_without_age
57	final_component_WT1_t_6_9_ITD	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
58	final_component_WT1_t_6_9_ITD	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
59	final_component_WT1_t_6_9_ITD	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
60	final_component_WT1_t_6_9_ITD	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
61	gender	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
62	gender	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
63	gender	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
64	gender	0.624179370201402	0.624179370201402	Lasso	comp_demo_without_age
65	final_component_additions	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
66	final_component_additions	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
67	final_component_additions	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
68	final_component_additions	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
69	final_component_BAGE3_KMT2C	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
70	final_component_BAGE3_KMT2C	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
71	final_component_BAGE3_KMT2C	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
72	final_component_BAGE3_KMT2C	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
73	final_component_CEBPA_bi	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
74	final_component_CEBPA_bi	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
75	final_component_CEBPA_bi	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
76	final_component_CEBPA_bi	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
77	final_component_chr_splicing_1	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
78	final_component_chr_splicing_1	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
79	final_component_chr_splicing_1	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
80	final_component_chr_splicing_1	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
81	final_component_chr_splicing_multiple	0.613768876685779	0.565226520229347	Lasso	comp_demo_without_age
82	final_component_chr_splicing_multiple	0.613768876685779	0.564774287329403	Lasso	comp_demo_without_age
83	final_component_chr_splicing_multiple	0.613768876685779	0.598594847775176	Lasso	comp_demo_without_age
84	final_component_chr_splicing_multiple	0.613768876685779	0.58408301703949	Lasso	comp_demo_without_age
85	final_component_DNMT3A_IDH1_2	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
86	final_component_DNMT3A_IDH1_2	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
87	final_component_DNMT3A_IDH1_2	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
88	final_component_DNMT3A_IDH1_2	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
89	final_component_inv_3	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
90	final_component_inv_3	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
91	final_component_inv_3	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
92	final_component_inv_3	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
93	final_component_KIT_NRAS	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
94	final_component_KIT_NRAS	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
95	final_component_KIT_NRAS	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
96	final_component_KIT_NRAS	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
97	final_component_not_assigned	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
98	final_component_not_assigned	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
99	final_component_not_assigned	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
100	final_component_not_assigned	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
101	final_component_NPM1	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
102	final_component_NPM1	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
103	final_component_NPM1	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
104	final_component_NPM1	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
105	final_component_t_11	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
106	final_component_t_11	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
107	final_component_t_11	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
108	final_component_t_11	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
109	final_component_t_15_17	0.613768876685779	0.608535895986433	Lasso	comp_demo_without_age
110	final_component_t_15_17	0.613768876685779	0.609101187111362	Lasso	comp_demo_without_age
111	final_component_t_15_17	0.613768876685779	0.615771622385529	Lasso	comp_demo_without_age
112	final_component_t_15_17	0.613768876685779	0.61376080109828	Lasso	comp_demo_without_age
113	final_component_t_8_21	0.613768876685779	0.611968020673504	Lasso	comp_demo_without_age
114	final_component_t_8_21	0.613768876685779	0.611184688686102	Lasso	comp_demo_without_age
115	final_component_t_8_21	0.613768876685779	0.592190906888476	Lasso	comp_demo_without_age
116	final_component_t_8_21	0.613768876685779	0.597448114350319	Lasso	comp_demo_without_age
117	final_component_TP53_complex	0.613768876685779	0.553218121618348	Lasso	comp_demo_without_age
118	final_component_TP53_complex	0.613768876685779	0.540902850682387	Lasso	comp_demo_without_age
119	final_component_TP53_complex	0.613768876685779	0.542727933457159	Lasso	comp_demo_without_age
120	final_component_TP53_complex	0.613768876685779	0.541855770007268	Lasso	comp_demo_without_age
121	final_component_WT1_t_6_9_ITD	0.613768876685779	0.610788984898651	Lasso	comp_demo_without_age
122	final_component_WT1_t_6_9_ITD	0.613768876685779	0.612775579423403	Lasso	comp_demo_without_age
123	final_component_WT1_t_6_9_ITD	0.613768876685779	0.604393119599451	Lasso	comp_demo_without_age
124	final_component_WT1_t_6_9_ITD	0.613768876685779	0.606371638536704	Lasso	comp_demo_without_age
125	gender	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
126	gender	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
127	gender	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
128	gender	0.613768876685779	0.613768876685779	Lasso	comp_demo_without_age
129	final_component_additions	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
130	final_component_additions	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
131	final_component_additions	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
132	final_component_additions	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
133	final_component_BAGE3_KMT2C	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
134	final_component_BAGE3_KMT2C	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
135	final_component_BAGE3_KMT2C	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
136	final_component_BAGE3_KMT2C	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
137	final_component_CEBPA_bi	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
138	final_component_CEBPA_bi	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
139	final_component_CEBPA_bi	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
140	final_component_CEBPA_bi	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
141	final_component_chr_splicing_1	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
142	final_component_chr_splicing_1	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
143	final_component_chr_splicing_1	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
144	final_component_chr_splicing_1	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
145	final_component_chr_splicing_multiple	0.611894056149605	0.562918063521823	Lasso	comp_demo_without_age
146	final_component_chr_splicing_multiple	0.611894056149605	0.570878151861326	Lasso	comp_demo_without_age
147	final_component_chr_splicing_multiple	0.611894056149605	0.58813295413019	Lasso	comp_demo_without_age
148	final_component_chr_splicing_multiple	0.611894056149605	0.569487916871892	Lasso	comp_demo_without_age
149	final_component_DNMT3A_IDH1_2	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
150	final_component_DNMT3A_IDH1_2	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
151	final_component_DNMT3A_IDH1_2	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
152	final_component_DNMT3A_IDH1_2	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
153	final_component_inv_3	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
154	final_component_inv_3	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
155	final_component_inv_3	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
156	final_component_inv_3	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
157	final_component_KIT_NRAS	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
158	final_component_KIT_NRAS	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
159	final_component_KIT_NRAS	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
160	final_component_KIT_NRAS	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
161	final_component_not_assigned	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
162	final_component_not_assigned	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
163	final_component_not_assigned	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
164	final_component_not_assigned	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
165	final_component_NPM1	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
166	final_component_NPM1	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
167	final_component_NPM1	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
168	final_component_NPM1	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
169	final_component_t_11	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
170	final_component_t_11	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
171	final_component_t_11	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
172	final_component_t_11	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
173	final_component_t_15_17	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
174	final_component_t_15_17	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
175	final_component_t_15_17	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
176	final_component_t_15_17	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
177	final_component_t_8_21	0.611894056149605	0.601383879629482	Lasso	comp_demo_without_age
178	final_component_t_8_21	0.611894056149605	0.599310443445241	Lasso	comp_demo_without_age
179	final_component_t_8_21	0.611894056149605	0.603203101415656	Lasso	comp_demo_without_age
180	final_component_t_8_21	0.611894056149605	0.590587711911533	Lasso	comp_demo_without_age
181	final_component_TP53_complex	0.611894056149605	0.550985875212507	Lasso	comp_demo_without_age
182	final_component_TP53_complex	0.611894056149605	0.540626638491238	Lasso	comp_demo_without_age
183	final_component_TP53_complex	0.611894056149605	0.524364861214827	Lasso	comp_demo_without_age
184	final_component_TP53_complex	0.611894056149605	0.536606873321788	Lasso	comp_demo_without_age
185	final_component_WT1_t_6_9_ITD	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
186	final_component_WT1_t_6_9_ITD	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
187	final_component_WT1_t_6_9_ITD	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
188	final_component_WT1_t_6_9_ITD	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
189	gender	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
190	gender	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
191	gender	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
192	gender	0.611894056149605	0.611894056149605	Lasso	comp_demo_without_age
193	final_component_additions	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
194	final_component_additions	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
195	final_component_additions	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
196	final_component_additions	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
197	final_component_BAGE3_KMT2C	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
198	final_component_BAGE3_KMT2C	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
199	final_component_BAGE3_KMT2C	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
200	final_component_BAGE3_KMT2C	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
201	final_component_CEBPA_bi	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
202	final_component_CEBPA_bi	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
203	final_component_CEBPA_bi	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
204	final_component_CEBPA_bi	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
205	final_component_chr_splicing_1	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
206	final_component_chr_splicing_1	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
207	final_component_chr_splicing_1	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
208	final_component_chr_splicing_1	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
209	final_component_chr_splicing_multiple	0.633868624919303	0.554857972885733	Lasso	comp_demo_without_age
210	final_component_chr_splicing_multiple	0.633868624919303	0.553760490639122	Lasso	comp_demo_without_age
211	final_component_chr_splicing_multiple	0.633868624919303	0.570610071013557	Lasso	comp_demo_without_age
212	final_component_chr_splicing_multiple	0.633868624919303	0.597490316333118	Lasso	comp_demo_without_age
213	final_component_DNMT3A_IDH1_2	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
214	final_component_DNMT3A_IDH1_2	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
215	final_component_DNMT3A_IDH1_2	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
216	final_component_DNMT3A_IDH1_2	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
217	final_component_inv_3	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
218	final_component_inv_3	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
219	final_component_inv_3	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
220	final_component_inv_3	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
221	final_component_KIT_NRAS	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
222	final_component_KIT_NRAS	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
223	final_component_KIT_NRAS	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
224	final_component_KIT_NRAS	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
225	final_component_not_assigned	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
226	final_component_not_assigned	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
227	final_component_not_assigned	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
228	final_component_not_assigned	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
229	final_component_NPM1	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
230	final_component_NPM1	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
231	final_component_NPM1	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
232	final_component_NPM1	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
233	final_component_t_11	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
234	final_component_t_11	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
235	final_component_t_11	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
236	final_component_t_11	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
237	final_component_t_15_17	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
238	final_component_t_15_17	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
239	final_component_t_15_17	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
240	final_component_t_15_17	0.633868624919303	0.633868624919303	Lasso	comp_demo_without_age
241	final_component_t_8_21	0.633868624919303	0.615138799225307	Lasso	comp_demo_without_age
242	final_component_t_8_21	0.633868624919303	0.611886701097482	Lasso	comp_demo_without_age
243	final_component_t_8_21	0.633868624919303	0.622264364105875	Lasso	comp_demo_without_age
244	final_component_t_8_21	0.633868624919303	0.625080697224015	Lasso	comp_demo_without_age
245	final_component_TP53_complex	0.633868624919303	0.55687540348612	Lasso	comp_demo_without_age
246	final_component_TP53_complex	0.633868624919303	0.559683666881859	Lasso	comp_demo_without_age
247	final_component_TP53_complex	0.633868624919303	0.562612976113622	Lasso	comp_demo_without_age
248	final_component_TP53_complex	0.633868624919303	0.579204325371207	Lasso	comp_demo_without_age
