feature	coef	n
1	ASXL1	0.982235368426615	88
2	BCOR	-0.0115764384272779	4
3	CBL	0.0132518561042491	5
4	CEBPA_bi	-0.177042354622181	36
5	CEBPA_mono	-0.00617652165603451	8
6	DNMT3A	0.755851021081991	58
7	EZH2	0.206899352242828	40
8	FLT3_TKD	-0.0250224150493712	7
9	FLT3_other	0.00614103033865181	6
10	GATA2	-0.0732000273141871	24
11	IDH1	-0.00729104262813978	7
12	IDH2_p.R140	0.0873461507077213	14
13	IDH2_p.R172	-0.093719029110588	27
14	ITD	1.7588620975413	85
15	KIT	-0.332343890259747	50
16	KRAS	0.0644927947351005	13
17	MLL	0.345909290417798	56
18	MYC	-0.0427964565145522	15
19	NF1	-0.00509040228051089	6
20	NRAS_p.G12_13	-0.00578477664175202	5
21	NRAS_p.Q61_62	0.0564046627232533	10
22	PHF6	-0.0165617435113698	11
23	PTPN11	-0.532374594507173	58
24	RAD21	-0.133620178275925	29
25	RUNX1	0.13484299464564	17
26	SF3B1	0.275081888411398	49
27	SMC1A	0.0969557872233685	28
28	SMC3	-0.00220481439423167	1
29	SRSF2	1.66656512336297	94
30	STAG2	-0.0135914078270722	3
31	TET2	1.63770993254404	88
32	TP53	4.31832744407534	99
33	U2AF1_p.S34	0.110594905709754	32
34	WT1	0.0983724032072897	18
35	final_component_BAGE3_KMT2C	8.47790525087642e-05	3
36	final_component_CEBPA_bi	-0.0134669475021185	6
37	final_component_DNMT3A_IDH1_2	0.0100505245791701	6
38	final_component_KIT_NRAS	-0.00562864440826506	3
39	final_component_NPM1	-0.412717830776106	36
40	final_component_TP53_complex	7.32872340053054	100
41	final_component_WT1_t_6_9_ITD	0.511942406221341	72
42	final_component_additions	-0.180210053734228	38
43	final_component_chr_splicing_1	0.034756291994977	8
44	final_component_chr_splicing_multiple	7.79381843990994	100
45	final_component_inv_3	0.293487569005766	89
46	final_component_not_assigned	-0.274392380512727	40
47	final_component_t_11	0.00895766019106442	4
48	final_component_t_15_17	-0.342607527766938	86
49	final_component_t_8_21	-2.28870969620929	100
