feature	coef	n
1	ASXL1	25.6772031098078	100
2	BCOR	-4.99666990499865	100
3	CBL	7.10033963188721	100
4	CEBPA_bi	-32.9920093728294	100
5	CEBPA_mono	-1.95151688035076	100
6	DNMT3A	16.8185433810908	100
7	EZH2	23.1901966997943	100
8	FLT3_TKD	-0.149598149332918	100
9	FLT3_other	3.62570252924142	100
10	GATA2	-13.2474235656465	100
11	IDH1	-0.82618301848429	100
12	IDH2_p.R140	5.95964891228293	100
13	IDH2_p.R172	-28.1150403957691	100
14	ITD	23.5255900339338	100
15	KIT	-23.8901977685454	100
16	KRAS	8.3606048397421	100
17	MLL	15.8448446894186	100
18	MYC	-19.5115208526073	100
19	NF1	-3.87746088021491	100
20	NPM1	-13.9113803825274	100
21	NRAS_p.G12_13	2.08499601610154	100
22	NRAS_p.Q61_62	18.1597998671948	100
23	PHF6	-5.2359045207276	100
24	PTPN11	-22.9028028025521	100
25	RAD21	-15.2194704819501	100
26	RUNX1	2.76928680827299	100
27	SF3B1	30.568365707273	100
28	SMC1A	22.4265080887474	100
29	SMC3	-2.97005192304394	100
30	SRSF2	25.8973776813175	100
31	STAG2	-4.33370357154134	100
32	TET2	22.6005863537479	100
33	TP53	67.503695959009	100
34	U2AF1_p.S34	21.3901678767365	100
35	WT1	12.5103652035243	100
36	final_component_BAGE3_KMT2C	8.73067707260679	100
37	final_component_CEBPA_bi	-5.71890803674934	100
38	final_component_DNMT3A_IDH1_2	-11.4418527581038	100
39	final_component_KIT_NRAS	-23.878633872454	100
40	final_component_NPM1	-13.8772584791419	100
41	final_component_TP53_complex	71.0543734224678	100
42	final_component_WT1_t_6_9_ITD	21.2431961250975	100
43	final_component_additions	-38.8594515095515	100
44	final_component_chr_splicing_1	-10.179042612263	100
45	final_component_chr_splicing_multiple	30.0878721879649	100
46	final_component_inv_3	91.0607677867238	100
47	final_component_not_assigned	-25.4644697636331	100
48	final_component_t_11	-1.37030735731351	100
49	final_component_t_15_17	-114.756738317427	100
50	final_component_t_8_21	-74.5523190347434	100
