feature	coef	n
1	ASXL1	23.0505220358981	99
2	BCOR	-4.91918612011338	51
3	CBL	5.46758106310173	49
4	CEBPA_bi	-20.6563885201142	71
5	CEBPA_mono	-1.57016471018548	43
6	DNMT3A	14.5208883508116	94
7	EZH2	20.0854782403246	84
8	FLT3_TKD	1.22172266603841	52
9	FLT3_other	2.80284910734206	44
10	GATA2	-8.98096792778512	64
11	IDH1	-0.515543679227061	59
12	IDH2_p.R140	5.76942503925963	57
13	IDH2_p.R172	-21.3054589894917	81
14	ITD	25.2085472258961	99
15	KIT	-16.2750580814004	73
16	KRAS	6.90016711080375	63
17	MLL	12.6843392633034	82
18	MYC	-11.9858693178292	65
19	NF1	-5.27618548757397	54
20	NPM1	-4.19890474180565	71
21	NRAS_p.G12_13	1.73158544536352	47
22	NRAS_p.Q61_62	14.1305483877873	72
23	PHF6	-3.309201121882	48
24	PTPN11	-20.7926523860005	93
25	RAD21	-11.8279255845153	69
26	RUNX1	0.823040446923799	36
27	SF3B1	25.7864151602363	89
28	SMC1A	19.1141447687312	79
29	SMC3	-2.18243272667103	40
30	SRSF2	23.3942989875403	99
31	STAG2	-3.11806692473582	53
32	TET2	22.6013231446471	98
33	TP53	72.4118959877277	100
34	U2AF1_p.S34	16.0691604200027	78
35	WT1	11.6696601891326	74
36	add_11	14.1376653888804	75
37	add_13	11.6218066262976	67
38	add_21	9.3835589646062	72
39	add_22	-34.283819484537	94
40	add_8	6.25550237896026	65
41	complex	0.738527000915066	8
42	del_12	2.87259333546108	51
43	del_13	-27.9134652917685	95
44	del_16	5.0120444094052	52
45	del_17	5.98716569926797	60
46	del_18	-26.8117979926654	84
47	del_20	9.82327662615938	64
48	del_3	-6.49505928260884	58
49	del_5	16.6140049661694	77
50	del_7	15.1779762952989	86
51	del_9	13.5184192550012	70
52	final_component_BAGE3_KMT2C	14.9745647568252	54
53	final_component_CEBPA_bi	-3.93078470149677	21
54	final_component_DNMT3A_IDH1_2	0.262530149968496	37
55	final_component_KIT_NRAS	-5.60783891600889	47
56	final_component_NPM1	-6.04863056982781	71
57	final_component_TP53_complex	82.2841111490074	100
58	final_component_WT1_t_6_9_ITD	31.4918150761348	95
59	final_component_additions	-22.0534641899073	85
60	final_component_chr_splicing_1	2.58370983134675	38
61	final_component_chr_splicing_multiple	50.0335191729868	100
62	final_component_inv_3	95.5431292968927	99
63	final_component_not_assigned	-10.7036332425411	70
64	final_component_t_11	8.46842529576196	59
65	final_component_t_15_17	-110.791382895045	99
66	final_component_t_8_21	-24.2056066020307	53
67	minusy	4.62483467733562	51
68	others_transloc	16.9227118793939	69
69	t_8_21	-52.8661036783155	87
70	t_v_11	-1.09336935122015	35
