feature	coef	n
1	ASXL1	27.4602209729501	100
2	BCOR	-6.24555848319108	100
3	CBL	8.31572291738955	100
4	CEBPA_bi	-19.1771953053039	100
5	CEBPA_mono	-0.508855657150267	100
6	DNMT3A	20.7928664940732	100
7	EZH2	23.6339946212756	100
8	FLT3_TKD	3.98550682610969	100
9	FLT3_other	4.59782822882552	100
10	GATA2	-9.7873959097246	100
11	IDH1	1.59715836458025	100
12	IDH2_p.R140	10.8965006826871	100
13	IDH2_p.R172	-17.2869828477062	100
14	ITD	32.1906637488834	100
15	KIT	-17.825903081943	100
16	KRAS	10.2066148078959	100
17	MLL	15.8849652097515	100
18	MYC	-9.64778190417997	100
19	NF1	-5.05349004369308	100
20	NPM1	-8.17731940924477	100
21	NRAS_p.G12_13	4.130311643687	100
22	NRAS_p.Q61_62	19.984704237712	100
23	PHF6	0.046058906629536	100
24	PTPN11	-21.0477733541543	100
25	RAD21	-11.8692594586472	100
26	RUNX1	0.16028119760858	100
27	SF3B1	31.3719600265628	100
28	SMC1A	21.8771539525895	100
29	SMC3	1.61009839218778	100
30	SRSF2	28.3812737889304	100
31	STAG2	-4.68888457335238	100
32	TET2	27.4488834773051	100
33	TP53	67.3324948419295	100
34	U2AF1_p.S34	20.9590462176173	100
35	WT1	18.1691062902878	100
36	add_11	18.7615941264815	100
37	add_13	12.942740952751	100
38	add_21	11.6880745746885	100
39	add_22	-29.8818280145273	100
40	add_8	8.21265422748113	100
41	complex	7.9863641640814	100
42	del_12	5.38723769323869	100
43	del_13	-27.2801033091279	100
44	del_16	5.70978064233856	100
45	del_17	12.3140507965136	100
46	del_18	-24.1888977864221	100
47	del_20	11.327071102336	100
48	del_3	-5.9309457822542	100
49	del_5	27.2767868086097	100
50	del_7	21.3996201923178	100
51	del_9	19.8844473164922	100
52	final_component_BAGE3_KMT2C	7.34350708127963	100
53	final_component_CEBPA_bi	-1.23496423713671	100
54	final_component_DNMT3A_IDH1_2	-5.47167043444848	100
55	final_component_KIT_NRAS	1.10310814554231	100
56	final_component_NPM1	-8.17731940924477	100
57	final_component_TP53_complex	66.8565037288856	100
58	final_component_WT1_t_6_9_ITD	29.5755638883815	100
59	final_component_additions	-23.3164444761311	100
60	final_component_chr_splicing_1	3.30710756787136	100
61	final_component_chr_splicing_multiple	47.1141382051378	100
62	final_component_inv_3	30.1548025271517	100
63	final_component_not_assigned	-11.7715479886075	100
64	final_component_t_11	7.49634355845588	100
65	final_component_t_15_17	-30.1158424888941	100
66	final_component_t_8_21	-33.9698012157809	100
67	inv_3	42.6925040426627	100
68	minusy	7.13389809770406	100
69	others_transloc	20.0540046964433	100
70	t_10_21	1.85093477694886	100
71	t_12_13	-3.69048403385403	100
72	t_12_17	-3.75582391710019	100
73	t_12_22	7.96730875655554	100
74	t_13_19	-1.48381665296624	100
75	t_15_16	5.78367981893324	100
76	t_15_17	-32.4037657309469	100
77	t_16_17	10.0734122567147	100
78	t_16_21	14.4884819889416	100
79	t_17_19	0.243311312435531	100
80	t_17_21	-10.6356155023456	100
81	t_1_12	-0.318195909537028	100
82	t_1_14	8.72979837826348	100
83	t_1_16	13.1883626561016	100
84	t_1_17	12.8107619277774	100
85	t_1_19	-0.774564344212945	100
86	t_1_3	14.1928652355904	100
87	t_1_4	10.2485967853672	100
88	t_1_5	9.22928355210232	100
89	t_1_6	8.5987854806291	100
90	t_2_17	10.2451370185008	100
91	t_2_3	6.35833242659674	100
92	t_2_5	0.506759422752466	100
93	t_2_7	-6.54932953563444	100
94	t_2_9	-1.74088600552605	100
95	t_3_16	-1.35218185655359	100
96	t_3_21	20.0667921119577	100
97	t_3_5	4.39612798684449	100
98	t_3_7	1.98581741406616	100
99	t_3_9	5.81562439088265	100
100	t_4_12	-2.26306854023271	100
101	t_4_21	-7.31640746513288	100
102	t_4_9	11.1926378804119	100
103	t_5_12	-1.83256840049733	100
104	t_5_17	3.69479099669035	100
105	t_5_9	1.88863547884999	100
106	t_6_9	-2.64735746638223	100
107	t_7_16	14.2017208294595	100
108	t_7_17	-6.19686893810636	100
109	t_7_8	-4.64741149164518	100
110	t_8_10	1.85093477694886	100
111	t_8_13	19.4865896574131	100
112	t_8_16	20.2306774902054	100
113	t_8_17	5.69426616297887	100
114	t_8_21	-38.5323388172972	100
115	t_9_11	19.0070592868417	100
116	t_9_13	11.6196412373597	100
117	t_9_17	-7.53557106208843	100
118	t_9_22	-12.3997192690428	100
119	t_v_11	2.21760262004106	100
