feature	coef	n
1	ASXL1	15.6124020083941	100
2	BCOR	5.80401349751909	100
3	CBL	8.0171683901226	100
4	CEBPA_bi	-7.10077333295788	100
5	CEBPA_mono	-2.60924751261977	100
6	DNMT3A	15.6414238958305	100
7	EZH2	9.28066967572919	100
8	FLT3_TKD	-8.61176517170507	100
9	FLT3_other	-1.40622076508475	100
10	GATA2	-14.4172410133158	100
11	IDH1	0.558739900064937	100
12	IDH2_p.R140	3.58591161228843	100
13	IDH2_p.R172	-20.1949177750468	100
14	ITD	20.2376240431572	100
15	KIT	-5.68758881141744	100
16	KRAS	8.47286335392707	100
17	MLL	14.0886009110569	100
18	MYC	-0.00667474348335397	100
19	NF1	6.97823757453911	100
20	NPM1	-18.6352827707447	100
21	NRAS_p.G12_13	7.9504917860691	100
22	NRAS_p.Q61_62	16.1500834570207	100
23	PHF6	3.55808460557391	100
24	PTPN11	-10.2767210259804	100
25	RAD21	2.32268083382507	100
26	RUNX1	-2.02585079709336	100
27	SF3B1	14.3947370941591	100
28	SMC1A	8.24312019561758	100
29	SMC3	4.2362794229482	100
30	SRSF2	2.9385633401513	100
31	STAG2	-4.59816459736593	100
32	TET2	2.4593200026393	100
33	TP53	48.3046989035502	100
34	U2AF1_p.S34	5.5492937074425	100
35	WT1	23.9525912148386	100
36	add_11	15.4268497637575	100
37	add_13	8.52690519443576	100
38	add_21	6.94467887114903	100
39	add_22	-19.851104213933	100
40	add_8	3.01070586796897	100
41	age	4.05466394709971	100
42	ahd	-28.430970446078	100
43	bm_blasts	0.27134589997299	100
44	complex	9.30748397256935	100
45	del_12	8.29143182565621	100
46	del_13	-20.805387158922	100
47	del_16	-2.43410885373793	100
48	del_17	12.9208085991923	100
49	del_18	-12.8281168542975	100
50	del_20	-0.0681650412621893	100
51	del_3	-2.16701329586725	100
52	del_5	14.8267345683018	100
53	del_7	24.0953493945412	100
54	del_9	13.6288697966018	100
55	final_component_BAGE3_KMT2C	5.46436194718412	100
56	final_component_CEBPA_bi	-3.60079972166554	100
57	final_component_DNMT3A_IDH1_2	-10.1234464295531	100
58	final_component_KIT_NRAS	5.46009213082616	100
59	final_component_NPM1	-18.6352827707447	100
60	final_component_TP53_complex	50.9042670555508	100
61	final_component_WT1_t_6_9_ITD	28.4529387712135	100
62	final_component_additions	-18.80045760339	100
63	final_component_chr_splicing_1	-1.4282117172374	100
64	final_component_chr_splicing_multiple	23.5400336022764	100
65	final_component_inv_3	25.6868861993984	100
66	final_component_not_assigned	-5.40220404740506	100
67	final_component_t_11	19.4652625236335	100
68	final_component_t_15_17	-25.1129375187942	100
69	final_component_t_8_21	-24.7912173183566	100
70	gender	3.62369537970717	100
71	hb	0.0924666039386499	100
72	minusy	-5.03367870206923	100
73	others_transloc	15.6226119226719	100
74	perf_status	20.3623639159617	100
75	plt	-0.0255710802133251	100
76	secondary	8.3549761013034	100
77	t_8_21	-26.7474556967787	100
78	t_v_11	13.9411991687077	100
79	wbc	0.25956254584202	100
