feature	coef	n
1	add_11	0.71258140443653	91
2	add_13	0.0809424764273071	28
3	add_21	0.0306436355874013	19
4	add_22	-0.378032094754965	75
5	add_8	0.179519456416387	24
6	age	916.025789752188	100
7	complex	3.73185515402786	100
8	del_12	0.183338463141429	45
9	del_13	-0.119292049391903	50
10	del_16	0.0640446484355661	27
11	del_17	0.609140467174092	81
12	del_18	-0.00938580683937728	15
13	del_20	0.110254404385378	31
14	del_3	0.0366825774445497	19
15	del_5	2.34636853264308	99
16	del_7	2.08239085823704	97
17	del_9	0.159152923442998	38
18	minusy	-0.0250274142670586	17
19	others_transloc	0.260895669486455	58
20	t_8_21	-2.4830617202706	100
21	t_v_11	0.543647004690222	75
