feature	coef	n
1	add_11	30.3052596919111	96
2	add_13	12.2966522182311	65
3	add_21	2.38861868337598	47
4	add_22	-23.1531667247934	84
5	add_8	5.65857479532462	59
6	age	4.04760164555431	100
7	complex	34.9751002865685	99
8	del_12	12.368822448902	63
9	del_13	-20.9092604881952	81
10	del_16	1.77056814261444	46
11	del_17	23.1655346900832	88
12	del_18	0.69425710785041	42
13	del_20	7.28076238591665	56
14	del_3	2.84297629374237	39
15	del_5	40.1981475123144	99
16	del_7	28.499017606855	99
17	del_9	15.1297719245863	71
18	inv_3	67.8652632757052	99
19	minusy	-3.10939909152951	49
20	others_transloc	22.1210584036827	75
21	t_10_21	-3.17223263116222	11
22	t_12_13	-52.3280893812829	57
23	t_12_17	-24.4707456317575	65
24	t_12_22	-3.18961268603766	27
25	t_13_19	-51.6042839634958	50
26	t_15_16	33.839927266128	52
27	t_15_17	-89.7457958014189	96
28	t_16_17	8.06186497425074	38
29	t_16_21	65.2506406163027	53
30	t_17_19	-9.77297177166807	35
31	t_17_21	-33.6032959956343	63
32	t_1_12	-33.7835980230011	55
33	t_1_14	-0.131325145535228	7
34	t_1_16	4.70043668581847	41
35	t_1_17	39.808902029945	57
36	t_1_19	-22.5447239780723	65
37	t_1_3	74.1069108923638	83
38	t_1_4	15.9921491747939	47
39	t_1_5	60.4274802772734	61
40	t_1_6	53.5941462616486	44
41	t_2_17	29.6581023698149	67
42	t_2_3	29.8632471794587	47
43	t_2_5	-0.0227554074100886	13
44	t_2_7	-21.7125697570872	54
45	t_2_9	-22.1381824809403	40
46	t_3_16	-2.13797249370601	52
47	t_3_21	99.4238993104269	90
48	t_3_5	20.0139527816698	35
49	t_3_7	21.9638387808414	44
50	t_3_9	0.301714034455633	3
51	t_4_12	-42.519886313534	75
52	t_4_21	-88.4731920443169	80
53	t_4_9	11.5017760633666	37
54	t_5_12	-45.5276979312202	58
55	t_5_17	13.4892118850531	37
56	t_5_9	-8.1920120538313	43
57	t_6_9	34.3456351454131	84
58	t_7_16	54.0207983975323	75
59	t_7_17	-40.7724493384666	77
60	t_7_8	-13.8412790297772	43
61	t_8_10	-0.0086987061113966	4
62	t_8_13	107.913430519042	86
63	t_8_16	106.995444391723	80
64	t_8_17	5.08963492071047	37
65	t_8_21	-62.6038512680587	100
66	t_9_11	35.3999538743662	83
67	t_9_13	8.67140462773498	39
68	t_9_17	-17.0671280731497	50
69	t_9_22	-67.5060610130843	88
70	t_v_11	31.021316976538	87
