feature	coef	n
1	add_11	28.9549260967218	92
2	add_13	7.08042353099792	55
3	add_21	1.94775512448036	45
4	add_22	-26.7603034127853	85
5	add_8	5.55900959358955	55
6	age	3.9913524021528	100
7	complex	35.5650781074926	100
8	del_12	10.2548983574428	64
9	del_13	-21.253988918668	77
10	del_16	4.60715581500201	50
11	del_17	22.7904837450656	88
12	del_18	-5.40310255527807	47
13	del_20	6.00680905378607	54
14	del_3	1.90614036022008	48
15	del_5	39.6344646791426	99
16	del_7	31.7537719292404	99
17	del_9	16.1668229532741	70
18	minusy	-0.625502670177172	43
19	others_transloc	18.998500486553	72
20	t_8_21	-67.3860022345526	100
21	t_v_11	30.9256738962399	91
