feature	coef	n
1	add_11	36.6205161057387	98
2	add_13	16.7395507850782	71
3	add_21	5.69748393746148	49
4	add_22	-39.388582422519	96
5	add_8	8.6835853188162	69
6	complex	35.5848848586103	99
7	del_12	7.47870077915227	59
8	del_13	-18.8271489104017	74
9	del_16	4.19419019182041	52
10	del_17	35.6785111917625	94
11	del_18	-2.49447050950831	49
12	del_20	16.830434078807	79
13	del_3	5.4340759674537	45
14	del_5	51.7458756112718	100
15	del_7	32.7313677289956	100
16	del_9	7.1292811789714	51
17	inv_3	49.0798184434647	99
18	minusy	4.30568733351937	44
19	others_transloc	11.1040436299019	55
20	t_10_21	-5.21800493649802	19
21	t_12_13	-83.9615125231466	83
22	t_12_17	-15.5469328561536	52
23	t_12_22	-15.374873404622	54
24	t_13_19	-43.5966536494345	50
25	t_15_16	10.8713561305765	24
26	t_15_17	-108.014163392276	99
27	t_16_17	18.3193683531805	46
28	t_16_21	84.581630420144	62
29	t_17_19	-33.3364685972657	60
30	t_17_21	-69.3544980515995	66
31	t_1_12	-19.0390161401693	40
32	t_1_14	3.09169596371713	24
33	t_1_16	19.9962557271569	52
34	t_1_17	41.522079630808	55
35	t_1_19	-24.7947724957744	49
36	t_1_3	49.2046773873642	74
37	t_1_4	17.6713926999796	54
38	t_1_5	45.56766706659	59
39	t_1_6	50.0422353152965	41
40	t_2_17	5.02027465087152	60
41	t_2_3	36.1733532732414	50
42	t_2_5	0.465832351505846	11
43	t_2_7	-28.1263120710973	63
44	t_2_9	-28.0588229160654	48
45	t_3_16	-0.202411669214062	47
46	t_3_21	94.4957494878852	89
47	t_3_5	-4.11525575825262	59
48	t_3_7	-9.90066200333638	54
49	t_3_9	2.13828217897246	9
50	t_4_12	-23.9267991061928	60
51	t_4_21	-42.360815603236	64
52	t_4_9	27.5466948631847	68
53	t_5_12	-44.2952788814044	59
54	t_5_17	1.37555579597902	10
55	t_5_9	1.62441259658616	40
56	t_6_9	6.64005025085786	47
57	t_7_16	59.8969872457601	74
58	t_7_17	-53.3206512301807	66
59	t_7_8	-66.0784526143296	84
60	t_8_10	-1.20221506402761	19
61	t_8_13	73.7775425335727	83
62	t_8_16	60.2804387280644	75
63	t_8_17	-2.13354565638137	48
64	t_8_21	-95.6279162445471	100
65	t_9_11	1.69024631502361	46
66	t_9_13	16.6676405381938	51
67	t_9_17	-30.5251407193144	63
68	t_9_22	-89.4074535697042	94
69	t_v_11	-0.3287199724272	45
