feature	coef	n
1	add_11	43.5145862657158	100
2	add_13	18.4343632367526	100
3	add_21	8.64493494472356	100
4	add_22	-49.466230241423	100
5	add_8	13.6008038713219	100
6	complex	37.0103225428154	100
7	del_12	6.31746361761904	100
8	del_13	-29.617011549751	100
9	del_16	8.30207201750754	100
10	del_17	37.9659004607207	100
11	del_18	-15.434957422279	100
12	del_20	21.3956989079418	100
13	del_3	6.32912871146119	100
14	del_5	53.5395811622247	100
15	del_7	37.0721535917808	100
16	del_9	13.3247722038339	100
17	inv_3	49.9007950211213	100
18	minusy	8.53234499926728	100
19	others_transloc	13.9784202369965	100
20	t_10_21	-3.99461349220002	100
21	t_12_13	-26.4057808249371	100
22	t_12_17	-13.7712520175189	100
23	t_12_22	-11.4272350888672	100
24	t_13_19	-11.9663441465973	100
25	t_15_16	7.8342647046442	100
26	t_15_17	-82.1777920246982	100
27	t_16_17	10.4942644097657	100
28	t_16_21	28.3397335085457	100
29	t_17_19	-14.4687818412794	100
30	t_17_21	-26.8318614616611	100
31	t_1_12	-8.8434475962905	100
32	t_1_14	8.87116723068255	100
33	t_1_16	19.1271573781979	100
34	t_1_17	20.8978631416274	100
35	t_1_19	-14.9579904738173	100
36	t_1_3	27.1952265437456	100
37	t_1_4	17.1641398152221	100
38	t_1_5	19.0560826495108	100
39	t_1_6	14.1357517696537	100
40	t_2_17	5.86735028659393	100
41	t_2_3	15.9809743146056	100
42	t_2_5	5.37370414009472	100
43	t_2_7	-25.2237386308397	100
44	t_2_9	-10.3504751742784	100
45	t_3_16	-6.53425567390799	100
46	t_3_21	41.3932409551162	100
47	t_3_5	0.383240646801008	100
48	t_3_7	-1.8823200457529	100
49	t_3_9	2.08055193104054	100
50	t_4_12	-10.3474992467781	100
51	t_4_21	-16.9106077262123	100
52	t_4_9	15.9971454126066	100
53	t_5_12	-17.5408321513154	100
54	t_5_17	5.83738827109828	100
55	t_5_9	4.69842627727168	100
56	t_6_9	11.0421542675338	100
57	t_7_16	26.3810631566395	100
58	t_7_17	-17.4796103730725	100
59	t_7_8	-26.1292706882817	100
60	t_8_10	-3.99461349220002	100
61	t_8_13	33.8373667245741	100
62	t_8_16	34.7643528172481	100
63	t_8_17	1.04341639653967	100
64	t_8_21	-100.201394284754	100
65	t_9_11	3.8282449013564	100
66	t_9_13	12.923951525804	100
67	t_9_17	-12.9580178323748	100
68	t_9_22	-53.9635561988608	100
69	t_v_11	1.60229154356218	100
