feature	coef	n
1	add_11	43.8554928242537	100
2	add_13	9.75364147167167	100
3	add_21	9.19115226823877	100
4	add_22	-37.7260382595657	100
5	add_8	10.1130644555705	100
6	ahd	-55.2124711916757	100
7	bm_blasts	-0.0173329854705929	100
8	complex	29.6123259171156	100
9	del_12	7.82031953232901	100
10	del_13	-30.6429558793759	100
11	del_16	6.33027103369975	100
12	del_17	48.7744380511998	100
13	del_18	-12.0298611225151	100
14	del_20	12.8365555588162	100
15	del_3	5.25803636575489	100
16	del_5	46.0267790214614	100
17	del_7	34.7631045006384	100
18	del_9	11.5535378943308	100
19	hb	-0.124301287912314	100
20	minusy	5.96176553534185	100
21	others_transloc	7.71597813048523	100
22	perf_status	25.0762822022139	100
23	plt	-0.0277915818717534	100
24	secondary	21.0518421605374	100
25	t_8_21	-75.1105208697416	100
26	t_v_11	5.03136990554696	100
27	wbc	0.148181784516732	100
