feature	coef	n
1	add_11	40.2511977393652	99
2	add_13	7.26640651252559	60
3	add_21	5.80228852288035	52
4	add_22	-33.0472155494723	92
5	add_8	6.31140710882872	60
6	ahd	-59.2973349161102	100
7	bm_blasts	-0.00629182571790925	28
8	complex	30.865812895544	97
9	del_12	4.69922953473282	52
10	del_13	-22.4006954829565	75
11	del_16	2.97324419383499	54
12	del_17	45.815691641142	96
13	del_18	-9.28909165026816	46
14	del_20	8.56077034076587	52
15	del_3	2.31939651470854	33
16	del_5	48.8212372523332	100
17	del_7	34.3514506116503	100
18	del_9	7.6395756916186	44
19	hb	-0.0766527206918202	59
20	minusy	5.52928772094187	44
21	others_transloc	5.58764710630609	57
22	perf_status	27.8095352340785	100
23	plt	-0.0244816161637687	64
24	secondary	20.3973376444839	99
25	t_8_21	-86.1394376254889	100
26	t_v_11	2.71784886748344	40
27	wbc	0.130556786534151	98
