feature	coef	n
1	add_11	34.7907936311225	100
2	add_13	14.7063594702097	100
3	add_21	1.75109687982107	100
4	add_22	-29.558823376588	100
5	add_8	9.46303203114396	100
6	age	4.25210294965221	100
7	complex	32.7973752938422	100
8	del_12	12.9725144514906	100
9	del_13	-28.261281661403	100
10	del_16	3.84292156190446	100
11	del_17	28.3932671854809	100
12	del_18	-7.03584254651311	100
13	del_20	8.75434232399985	100
14	del_3	2.86650459500859	100
15	del_5	41.1331902562284	100
16	del_7	33.2826598467203	100
17	del_9	21.4565662574511	100
18	gender	13.5697067870053	100
19	inv_3	60.0816097673068	100
20	minusy	-8.57672043855956	100
21	others_transloc	25.3844293336665	100
22	t_10_21	4.57295830827905	100
23	t_12_13	-8.98622673371181	100
24	t_12_17	-8.30805834667673	100
25	t_12_22	3.0373258695757	100
26	t_13_19	-5.00683090380939	100
27	t_15_16	17.4777594911247	100
28	t_15_17	-55.8087625282917	100
29	t_16_17	11.4797900761005	100
30	t_16_21	26.2071733187286	100
31	t_17_19	0.875998806219676	100
32	t_17_21	-6.05867289864759	100
33	t_1_12	-1.02853894599566	100
34	t_1_14	8.51658329303899	100
35	t_1_16	12.6864807078045	100
36	t_1_17	18.336340178601	100
37	t_1_19	-9.00519544555134	100
38	t_1_3	29.5434697466363	100
39	t_1_4	17.0983239695878	100
40	t_1_5	21.6037268225335	100
41	t_1_6	18.8297290387499	100
42	t_2_17	12.3346003834206	100
43	t_2_3	13.5726179669877	100
44	t_2_5	3.69708137156226	100
45	t_2_7	-7.81551893494127	100
46	t_2_9	-0.591707382778852	100
47	t_3_16	-3.93100403170267	100
48	t_3_21	36.5762823499741	100
49	t_3_5	13.8013480534247	100
50	t_3_7	9.67635136319803	100
51	t_3_9	6.9681862038226	100
52	t_4_12	-9.69132497277222	100
53	t_4_21	-16.6481916900003	100
54	t_4_9	13.7923599823414	100
55	t_5_12	-7.80186814404355	100
56	t_5_17	14.7673156505693	100
57	t_5_9	2.56720834572956	100
58	t_6_9	37.8100426444463	100
59	t_7_16	25.7795073757402	100
60	t_7_17	-2.72320936411691	100
61	t_7_8	-4.72792871560164	100
62	t_8_10	4.57295830827905	100
63	t_8_13	36.2415106721782	100
64	t_8_16	36.8028429613597	100
65	t_8_17	11.1740763844987	100
66	t_8_21	-63.2537056745922	100
67	t_9_11	38.3016217945252	100
68	t_9_13	13.6433012709803	100
69	t_9_17	-1.97013942420524	100
70	t_9_22	-26.5294270733827	100
71	t_v_11	40.1947281003054	100
