feature	coef	n
1	ASXL1	1.01918234458137	89
2	BCOR	0.0391503645193614	14
3	CBL	0.00645662621278165	3
4	CEBPA_bi	-0.0721798515634734	20
5	CEBPA_mono	-0.0325462839674726	10
6	DNMT3A	0.068649756016084	10
7	EZH2	0.0796496120083164	18
8	FLT3_TKD	-0.0701829291463464	16
9	FLT3_other	0.00575211950961147	2
10	GATA2	-0.0852161199219408	23
11	IDH1	-0.00795214901689545	5
12	IDH2_p.R140	-0.0260652510401653	7
13	IDH2_p.R172	-0.454028293007639	73
14	ITD	2.48873359078195	96
15	KIT	-0.0740341860016026	15
16	KRAS	0.140089472227534	27
17	MLL	0.563896785478937	74
18	MYC	-0.00366409176338814	1
19	NF1	0.0253974945573339	7
20	NPM1	-4.69205544412385	100
21	NRAS_p.G12_13	0.0588006880848599	8
22	NRAS_p.Q61_62	0.120521663738319	25
23	PHF6	0.0173041475566557	4
24	PTPN11	-0.238155543215605	29
25	RAD21	-0.0432023804325364	12
26	RUNX1	0.51872778323195	50
27	SF3B1	0.140690305063579	28
28	SMC1A	0.0235933972048785	10
29	SMC3	-0.00705827330760051	4
30	SRSF2	0.118529101953236	20
31	STAG2	-0.00373025666291693	6
32	TET2	0.0532626933559726	7
33	TP53	6.44407913557731	100
34	U2AF1_p.S34	0.102089102731878	34
35	WT1	0.504376853876345	61
36	add_11	0.187201975633866	39
37	add_13	0.0531505523253792	13
38	add_21	0.011259294623491	5
39	add_22	-0.172608499056113	48
40	add_8	0.0357662022359454	7
41	age	868.079810099575	100
42	complex	0.867421955783988	68
43	del_12	0.070506647176921	22
44	del_13	-0.0301131835155277	18
45	del_16	0.0173811682965256	7
46	del_17	0.0900637301827949	22
47	del_18	-0.012857607441226	4
48	del_20	0.0403779015112662	13
49	del_3	0.000957201778864081	1
50	del_5	0.244240880481205	35
51	del_7	0.952601163115814	82
52	del_9	0.0310508329691801	10
53	gender	0.411543113861456	36
54	minusy	-0.0299325600301733	7
55	others_transloc	0.0730186109169276	22
56	t_8_21	-2.01820915433372	100
57	t_v_11	0.116989474183199	26
