feature	coef	n
1	ASXL1	23.9294419581474	98
2	BCOR	4.23295985284978	58
3	CBL	3.1123458947126	41
4	CEBPA_bi	-12.8125824330697	66
5	CEBPA_mono	-4.20136106754083	47
6	DNMT3A	7.60180291720025	75
7	EZH2	12.3259457748309	70
8	FLT3_TKD	-1.68025021853463	50
9	FLT3_other	1.714799662045	46
10	GATA2	-14.7982640493571	76
11	IDH1	-2.20654845975385	58
12	IDH2_p.R140	-2.72448508065754	49
13	IDH2_p.R172	-43.1242528142357	97
14	ITD	31.5106722142136	100
15	KIT	-7.12583410835666	50
16	KRAS	10.9489490668517	70
17	MLL	17.1190610381141	97
18	MYC	-2.18545001232421	32
19	NF1	3.84785355757056	48
20	NPM1	-31.1187465492133	100
21	NRAS_p.G12_13	5.58562062698571	64
22	NRAS_p.Q61_62	15.7932522426335	76
23	PHF6	2.1711304245916	40
24	PTPN11	-10.8656959860638	67
25	RAD21	-5.06062505312807	49
26	RUNX1	4.79038631655909	60
27	SF3B1	5.72021480797031	53
28	SMC1A	7.63820355940147	53
29	SMC3	-0.602222394391275	38
30	SRSF2	5.42197017567549	66
31	STAG2	-1.46714510380671	38
32	TET2	2.61104379231131	48
33	TP53	99.0847367466037	100
34	U2AF1_p.S34	10.0366080876149	71
35	WT1	26.8827292533469	99
36	add_11	17.8734890790578	85
37	add_13	13.9498265404299	69
38	add_21	3.04593549510485	45
39	add_22	-26.5733234665373	92
40	add_8	2.39825630984997	37
41	age	4.00571331485994	100
42	complex	10.590045253585	69
43	del_12	11.0014963445112	61
44	del_13	-23.1636792020021	90
45	del_16	-0.860244813773855	48
46	del_17	6.00556313321571	50
47	del_18	-7.41137431992954	56
48	del_20	2.82771594578272	44
49	del_3	-3.98943467989063	43
50	del_5	9.93551147006893	62
51	del_7	15.742674687105	92
52	del_9	16.0216263654654	69
53	gender	4.58057419312126	71
54	inv_3	77.1260934229542	99
55	minusy	-6.13697800335374	49
56	others_transloc	18.5337089665354	66
57	t_10_21	-2.90955952794964	7
58	t_12_13	-36.311670357333	51
59	t_12_17	-24.5197684984846	72
60	t_12_22	-1.92408760262526	17
61	t_13_19	-65.760330434908	50
62	t_15_16	22.1670658422769	46
63	t_15_17	-98.6490744567763	96
64	t_16_17	9.88532317944104	32
65	t_16_21	50.0799841040458	52
66	t_17_19	-7.30671169946473	25
67	t_17_21	-42.0205536628063	59
68	t_1_12	-34.6282809942863	51
69	t_1_14	3.06243825225512	18
70	t_1_16	-0.714137365401243	23
71	t_1_17	33.1952255754729	53
72	t_1_19	-20.9455787381732	65
73	t_1_3	62.2332629418099	75
74	t_1_4	6.71431383186095	30
75	t_1_5	50.0325249540896	44
76	t_1_6	46.9434466900861	40
77	t_2_17	35.5223141687064	63
78	t_2_3	22.1220372797685	46
79	t_2_5	3.0879628823317	16
80	t_2_7	-21.5352465489018	57
81	t_2_9	-16.0766552054452	34
82	t_3_16	0.753319421112999	45
83	t_3_21	87.5917386677312	88
84	t_3_5	7.50622093662055	29
85	t_3_7	16.6528750615165	42
86	t_3_9	5.06485989389477	15
87	t_4_12	-50.7467525687223	69
88	t_4_21	-91.1386422528718	80
89	t_4_9	14.8999674400034	45
90	t_5_12	-38.1052252493177	56
91	t_5_17	0.799985798509506	3
92	t_5_9	-18.5125458945036	55
93	t_6_9	13.8920418540254	54
94	t_7_16	42.2782347728291	71
95	t_7_17	-41.5693430145313	71
96	t_7_8	-8.75216955223897	31
97	t_8_10	-0.004054345517652	6
98	t_8_13	128.391226906495	85
99	t_8_16	98.5627188102502	78
100	t_8_17	7.82077274301992	34
101	t_8_21	-63.1967466331706	100
102	t_9_11	36.6570508832477	81
103	t_9_13	19.5555038870165	47
104	t_9_17	-22.3320087656915	57
105	t_9_22	-62.4590058864541	84
106	t_v_11	18.8871803572935	68
