feature	coef	n
1	ASXL1	5.16848625313038	54
2	BCOR	4.58137174526471	56
3	CBL	5.67958721181576	47
4	CEBPA_bi	5.78690386822864	40
5	CEBPA_mono	-3.61496592025651	44
6	DNMT3A	7.8995463554904	78
7	EZH2	5.97528785212527	47
8	FLT3_TKD	-5.40806316845296	57
9	FLT3_other	-1.03055211489735	40
10	GATA2	-14.1273695770394	74
11	IDH1	-2.2395486252428	57
12	IDH2_p.R140	-0.11477111558549	42
13	IDH2_p.R172	-37.0290227613053	97
14	ITD	11.6328038477382	85
15	KIT	-4.15709924471899	46
16	KRAS	6.26268354333903	56
17	MLL	2.4799904293898	41
18	MYC	-1.90864560858496	40
19	NF1	7.01732234539125	55
20	NPM1	-1.29777923259754	24
21	NRAS_p.G12_13	2.49737876963162	53
22	NRAS_p.Q61_62	16.924354658565	78
23	PHF6	2.04235355603672	42
24	PTPN11	-7.13485080909226	60
25	RAD21	-2.95826913239347	46
26	RUNX1	-4.662227239107	56
27	SF3B1	10.2555678609243	66
28	SMC1A	7.48464295981814	59
29	SMC3	1.7743361792318	44
30	SRSF2	1.71440423166758	38
31	STAG2	-2.01380343822611	41
32	TET2	1.79620684092153	47
33	TP53	85.9558152079411	100
34	U2AF1_p.S34	5.17535095105981	55
35	WT1	28.4719675984025	99
36	age	3.67502757258806	100
37	ahd	-34.0114682526048	100
38	bm_blasts	0.0987897825433778	75
39	eln_2017_ratio	-34.7108628291244	100
40	hb	0.0346294466028682	53
41	perf_status	17.4466415412568	99
42	plt	-0.0250387970491934	64
43	secondary	4.0724384586855	71
44	wbc	0.247837156161933	100
