feature	coef	n
1	ASXL1	11.1055678862037	83
2	BCOR	-0.846513834825216	49
3	CBL	3.381184994019	50
4	CEBPA_bi	7.91610538766059	45
5	CEBPA_mono	-4.39367163768927	47
6	DNMT3A	8.3385178037492	76
7	EZH2	9.55745248489294	60
8	FLT3_TKD	-1.64544233544008	54
9	FLT3_other	1.06736036040409	49
10	GATA2	-11.3374269440283	76
11	IDH1	-2.35811797590236	59
12	IDH2_p.R140	-2.5919218012778	52
13	IDH2_p.R172	-44.7951876787948	98
14	ITD	26.679326608408	100
15	KIT	-3.45409493584534	48
16	KRAS	11.8485050394642	71
17	MLL	4.18869650982567	51
18	MYC	-1.30943442333715	39
19	NF1	8.92530851143064	57
20	NPM1	0.94612016252239	24
21	NRAS_p.G12_13	7.97885553045433	70
22	NRAS_p.Q61_62	24.9694949308411	86
23	PHF6	0.809037382588819	48
24	PTPN11	-8.90119933684736	68
25	RAD21	-7.40319218259747	61
26	RUNX1	-5.54707995303441	63
27	SF3B1	10.0565184655391	63
28	SMC1A	8.55007231296771	64
29	SMC3	-0.207525616644902	44
30	SRSF2	4.47063706990023	58
31	STAG2	-3.33760153566725	51
32	TET2	2.89813732439594	51
33	TP53	92.3334864325739	100
34	U2AF1_p.S34	6.48632684355762	65
35	WT1	28.2749422966956	99
36	age	3.8514292159871	200
37	eln_2017_ratio	-32.4949964728352	100
38	gender	3.53910338450359	64
