feature	coef	n
1	age	3.78211680545032	100
2	eln_2017_ratio	-28.5505860426587	100
3	final_component_BAGE3_KMT2C	9.87531028832245	60
4	final_component_CEBPA_bi	1.53899983180844	62
5	final_component_DNMT3A_IDH1_2	-24.489583090195	93
6	final_component_KIT_NRAS	16.3805625112083	69
7	final_component_NPM1	1.16616745904166	16
8	final_component_TP53_complex	78.3035567218548	100
9	final_component_WT1_t_6_9_ITD	38.3642164206297	95
10	final_component_additions	-35.4920575183229	93
11	final_component_chr_splicing_1	-13.3801839260392	77
12	final_component_chr_splicing_multiple	7.60020803667432	61
13	final_component_inv_3	72.9887366852171	95
14	final_component_not_assigned	-12.3967777051156	79
15	final_component_t_11	24.3648720378415	82
16	final_component_t_15_17	-131.315971351186	98
17	final_component_t_8_21	-46.7218593475876	99
