feature	coef	n
1	ASXL1	6.19681091174586	66
2	BCOR	2.37743537251205	51
3	CBL	5.850570227908	50
4	CEBPA_bi	2.69019201735157	26
5	CEBPA_mono	-3.29254951396858	45
6	DNMT3A	10.0790421984645	80
7	EZH2	6.56965970001487	50
8	FLT3_TKD	-4.56885537190743	57
9	FLT3_other	-0.434730964099294	43
10	GATA2	-13.9655542685924	72
11	IDH1	-1.18988532677448	54
12	IDH2_p.R140	0.650132586407011	42
13	IDH2_p.R172	-29.4200472075082	87
14	ITD	11.7896724776821	83
15	KIT	-2.49753646371542	40
16	KRAS	4.42017706438709	49
17	MLL	3.72199696943827	40
18	MYC	-2.42927377531046	42
19	NF1	6.61205078653332	56
20	NPM1	-1.24754178878612	34
21	NRAS_p.G12_13	3.05835851977761	51
22	NRAS_p.Q61_62	16.8828166134515	79
23	PHF6	-0.321513951566269	42
24	PTPN11	-10.924310653546	72
25	RAD21	-1.34398469719303	40
26	RUNX1	-5.54416235126595	52
27	SF3B1	4.27691054515099	48
28	SMC1A	8.69144277425097	59
29	SMC3	0.799850452485534	38
30	SRSF2	2.00214101507189	37
31	STAG2	-3.13390494248412	47
32	TET2	1.62365659935631	53
33	TP53	42.3037956068378	100
34	U2AF1_p.S34	2.34029246758899	47
35	WT1	21.5925320564954	91
36	age	3.66203962410518	100
37	ahd	-31.3336648515658	100
38	bm_blasts	0.128978334084208	83
39	eln_2017_ratio	-28.870591030809	100
40	final_component_BAGE3_KMT2C	0.226035806246628	47
41	final_component_CEBPA_bi	1.16471631594193	29
42	final_component_DNMT3A_IDH1_2	-6.9960349694514	52
43	final_component_KIT_NRAS	12.4820152874043	48
44	final_component_NPM1	-1.71494050129371	34
45	final_component_TP53_complex	58.3407479985483	100
46	final_component_WT1_t_6_9_ITD	25.9247271097402	88
47	final_component_additions	-23.8831337534623	84
48	final_component_chr_splicing_1	-3.37460867550068	44
49	final_component_chr_splicing_multiple	13.0433766802944	81
50	final_component_inv_3	75.8162150248654	90
51	final_component_not_assigned	-2.47322016138145	36
52	final_component_t_11	24.2130899887551	81
53	final_component_t_15_17	-93.0421176304317	97
54	final_component_t_8_21	-28.0577167560353	91
55	hb	0.050448873163561	51
56	perf_status	17.3475563327071	100
57	plt	-0.0317198462523958	72
58	secondary	3.56866209819772	68
59	wbc	0.244067892660045	100
