feature	coef	n
1	ASXL1	17.5834265723115	100
2	BCOR	-3.7339555523797	100
3	CBL	7.94339589064082	100
4	CEBPA_bi	-7.9755179367297	100
5	CEBPA_mono	-6.46477700313549	100
6	DNMT3A	16.2521553769613	100
7	EZH2	15.8502735724519	100
8	FLT3_TKD	-0.572173690333267	100
9	FLT3_other	4.13308861043637	100
10	GATA2	-21.8275044816581	100
11	IDH1	-1.00460891426319	100
12	IDH2_p.R140	-1.22622303571131	100
13	IDH2_p.R172	-37.4852919345897	100
14	ITD	29.1219607618949	100
15	KIT	-4.72322566905154	100
16	KRAS	11.8066548702145	100
17	MLL	10.5727094264812	100
18	MYC	-8.99430050373354	100
19	NF1	9.82682044055327	100
20	NPM1	-7.38985726974157	100
21	NRAS_p.G12_13	10.9805611581995	100
22	NRAS_p.Q61_62	30.5767282328946	100
23	PHF6	-3.35765401632571	100
24	PTPN11	-20.8111045473493	100
25	RAD21	-9.56014382904065	100
26	RUNX1	-10.796574736018	100
27	SF3B1	6.32004545288854	100
28	SMC1A	16.3680440573434	100
29	SMC3	-1.5166826893803	100
30	SRSF2	11.7177240222147	100
31	STAG2	-10.1957095750293	100
32	TET2	6.1383989311474	100
33	TP53	54.4299244638113	100
34	U2AF1_p.S34	4.89944450803704	100
35	WT1	24.3545567060348	100
36	age	3.33996609405376	100
37	eln_2017_ratio	-21.3540415978095	100
38	final_component_BAGE3_KMT2C	25.4275378466297	100
39	final_component_CEBPA_bi	10.2535164073941	100
40	final_component_DNMT3A_IDH1_2	-22.8279818918713	100
41	final_component_KIT_NRAS	2.50084496526581	100
42	final_component_NPM1	-7.34987799806227	100
43	final_component_TP53_complex	54.2286556608091	100
44	final_component_WT1_t_6_9_ITD	22.8666795216184	100
45	final_component_additions	-38.2134941304099	100
46	final_component_chr_splicing_1	-14.0366529420475	100
47	final_component_chr_splicing_multiple	13.3818846551311	100
48	final_component_inv_3	98.1805819020022	100
49	final_component_not_assigned	-13.3038041895671	100
50	final_component_t_11	26.8239550603153	100
51	final_component_t_15_17	-127.486873479335	100
52	final_component_t_8_21	-53.2238413194039	100
53	gender	3.35341204180746	100
