feature	coef	n
1	add_11	20.2290585396812	100
2	add_13	9.08723892562009	100
3	add_21	11.1055647643386	100
4	add_22	-26.5816945781365	100
5	add_8	7.44689859190561	100
6	complex	-10.5260730570914	100
7	del_12	-5.74530876028885	100
8	del_13	-27.5007015317173	100
9	del_16	2.68303233027121	100
10	del_17	21.5749145892325	100
11	del_18	-21.243643838926	100
12	del_20	7.05530432162023	100
13	del_3	3.90258995908724	100
14	del_5	29.0257158043976	100
15	del_7	16.0021263528424	100
16	del_9	10.693253840449	100
17	eln_2017_ratio	-36.7389609546669	100
18	final_component_BAGE3_KMT2C	1.139334843735	100
19	final_component_CEBPA_bi	-3.41495408317642	100
20	final_component_DNMT3A_IDH1_2	-14.2185567044935	100
21	final_component_KIT_NRAS	-4.60590523991433	100
22	final_component_NPM1	21.511966420736	100
23	final_component_TP53_complex	76.9752726348071	100
24	final_component_WT1_t_6_9_ITD	21.5150580293481	100
25	final_component_additions	-37.9728468698829	100
26	final_component_chr_splicing_1	-12.0761687103459	100
27	final_component_chr_splicing_multiple	34.8745896830988	100
28	final_component_inv_3	29.1334545599913	100
29	final_component_not_assigned	-26.8261059337573	100
30	final_component_t_11	-6.13164116160731	100
31	final_component_t_15_17	-57.2889791371189	100
32	final_component_t_8_21	-28.9047394534963	100
33	minusy	7.30326424355098	100
34	others_transloc	9.91961206976865	100
35	t_8_21	-35.2770034674762	100
36	t_v_11	-1.22149771537065	100
