feature	coef	n
1	add_11	0.117186348784548	28
2	add_13	0.0225488047711137	9
3	add_21	0.0242363767759463	7
4	add_22	-0.166682780420626	42
5	add_8	0.0100646833810384	1
6	ahd	-3.0529715286359	100
7	bm_blasts	3.03562962916811	10
8	del_12	0.00673082792480036	6
9	del_13	-0.0743583322158856	37
10	del_16	-0.00299755680727808	3
11	del_17	0.499836469872878	70
12	del_18	-0.00760326626866417	4
13	del_20	0.0375137650984855	10
14	del_3	0.00611811983218879	5
15	del_5	0.789695635803584	71
16	del_7	0.408110542638383	53
17	del_9	0.00382433326474303	2
18	eln_2017_ratio	-22.0243219867823	100
19	final_component_BAGE3_KMT2C	-0.015078443817712	16
20	final_component_CEBPA_bi	-0.0204908423076793	7
21	final_component_DNMT3A_IDH1_2	-0.0268454761194886	6
22	final_component_KIT_NRAS	-0.00300598231611725	3
23	final_component_TP53_complex	6.13236809628202	100
24	final_component_WT1_t_6_9_ITD	0.132266971872427	35
25	final_component_additions	-0.443547324514333	75
26	final_component_chr_splicing_1	-0.0332834712092312	11
27	final_component_chr_splicing_multiple	3.27416128468992	100
28	final_component_inv_3	0.0149259903595757	11
29	final_component_not_assigned	-0.724205010270964	75
30	final_component_t_11	-0.0251480008549295	12
31	final_component_t_15_17	-0.20132916502343	51
32	final_component_t_8_21	-0.400329101134335	35
33	hb	-3.49234971698033	10
34	inv_3	0.107198001153832	50
35	minusy	0.00128741524078561	3
36	others_transloc	0.0101516784812704	7
37	perf_status	12.5988340640387	100
38	plt	-84.4667329315854	33
39	secondary	2.00600787486308	82
40	t_12_13	-0.00340423274080327	8
41	t_12_22	5.85965196931224e-06	2
42	t_13_19	-0.00521453999878172	14
43	t_15_17	-0.246050454747761	53
44	t_16_21	0.0113342814377586	10
45	t_17_21	-0.02879755145049	32
46	t_1_17	0.000715563553161674	1
47	t_1_3	0.00638064513827986	8
48	t_1_5	0.00274946053634882	3
49	t_1_6	0.00117637483550622	1
50	t_2_17	0.000776162915594191	1
51	t_2_7	-0.00100585976837071	3
52	t_2_9	-0.00190245089662281	4
53	t_3_16	-0.00411621375430958	8
54	t_3_21	0.0209981793947124	16
55	t_3_5	-0.000616656309662086	2
56	t_3_7	-0.00455193821719257	9
57	t_4_12	-0.00179720849607381	3
58	t_4_21	-0.00818639560061385	16
59	t_5_9	-0.000335031720627145	1
60	t_6_9	-0.00115632897449836	1
61	t_7_16	0.00496917025762399	6
62	t_7_17	-0.0165782190674623	25
63	t_7_8	-0.00367572212398389	7
64	t_8_13	0.00954589824942256	11
65	t_8_16	0.0111876299969154	8
66	t_8_21	-1.14146409936283	84
67	t_9_11	0.00163679103073319	2
68	t_9_17	-0.0218994966191776	43
69	t_9_22	-0.0963885285165449	65
70	t_v_11	-0.00616782612680707	1
71	wbc	427.189803335533	100
