feature	coef	n
1	add_11	17.8691319148393	77
2	add_13	4.79006274147417	52
3	add_21	6.41197842356926	54
4	add_22	-22.0269149130619	80
5	add_8	3.98872918123527	47
6	ahd	-46.4069061676645	100
7	bm_blasts	0.0993804936376428	62
8	complex	-4.12128540861083	16
9	del_12	-2.46367817799393	55
10	del_13	-28.2784670123842	90
11	del_16	-3.14170493652887	56
12	del_17	27.0372405101665	89
13	del_18	-15.5815006334818	63
14	del_20	3.40979530279226	52
15	del_3	3.9256643819368	44
16	del_5	24.4268525638319	96
17	del_7	12.4602572966985	80
18	del_9	6.13651096789301	49
19	eln_2017_ratio	-28.9548679431422	100
20	final_component_BAGE3_KMT2C	-21.642813005548	67
21	final_component_CEBPA_bi	-11.007166267627	47
22	final_component_DNMT3A_IDH1_2	-3.78239614382805	37
23	final_component_KIT_NRAS	-8.48687728314418	50
24	final_component_NPM1	1.428464653367	21
25	final_component_TP53_complex	75.8668266320234	100
26	final_component_WT1_t_6_9_ITD	19.5924947486726	84
27	final_component_additions	-41.2531243228742	93
28	final_component_chr_splicing_1	-6.6113624196458	59
29	final_component_chr_splicing_multiple	27.508563681405	99
30	final_component_inv_3	40.0054273877662	83
31	final_component_not_assigned	-24.0517518885396	94
32	final_component_t_11	-7.09923010650878	52
33	final_component_t_15_17	-112.844294134923	97
34	final_component_t_8_21	-15.1724650873891	39
35	hb	-0.0408427576308964	51
36	minusy	3.04968931618478	45
37	others_transloc	6.40023922919704	63
38	perf_status	26.4878802255335	100
39	plt	-0.0317596935934592	66
40	secondary	11.6681762408946	95
41	t_8_21	-46.0417885941327	89
42	t_v_11	-1.09638637842695	32
43	wbc	0.204708078744203	100
