feature	coef	n
1	add_11	20.0373324318334	100
2	add_13	8.91574867672665	100
3	add_21	10.8980460929568	100
4	add_22	-25.5277815412004	100
5	add_8	6.95298041060967	100
6	complex	-10.3486326283949	100
7	del_12	-5.57278479261846	100
8	del_13	-26.8821774482176	100
9	del_16	2.23510299838611	100
10	del_17	21.9949881079338	100
11	del_18	-21.044441915924	100
12	del_20	7.07065656206339	100
13	del_3	3.73962084592339	100
14	del_5	29.0524457307089	100
15	del_7	16.2895427308755	100
16	del_9	9.81029272377478	100
17	eln_2017_ratio	-36.7512625481688	100
18	final_component_BAGE3_KMT2C	1.14087179820897	100
19	final_component_CEBPA_bi	-3.53404309565699	100
20	final_component_DNMT3A_IDH1_2	-13.2046942379085	100
21	final_component_KIT_NRAS	-3.86563543951357	100
22	final_component_NPM1	22.2904314958503	100
23	final_component_TP53_complex	76.0608831288019	100
24	final_component_WT1_t_6_9_ITD	21.5394443604704	100
25	final_component_additions	-37.5203050987224	100
26	final_component_chr_splicing_1	-11.8775652522799	100
27	final_component_chr_splicing_multiple	33.8534649054052	100
28	final_component_inv_3	28.3767295738949	100
29	final_component_not_assigned	-26.6219183091366	100
30	final_component_t_11	-5.30585045619798	100
31	final_component_t_15_17	-55.2926468608253	100
32	final_component_t_8_21	-28.6445979074639	100
33	gender	5.35095545482596	100
34	minusy	5.46846396322528	100
35	others_transloc	10.0849843120186	100
36	t_8_21	-34.2954314561538	100
37	t_v_11	-1.29994809062486	100
