feature	coef	n
1	age	852.235305931628	100
2	eln_2017_ratio	-20.897426825567	100
3	final_component_BAGE3_KMT2C	0.00921850899034325	7
4	final_component_CEBPA_bi	-0.0113880331279107	6
5	final_component_DNMT3A_IDH1_2	-0.481742381445937	81
6	final_component_KIT_NRAS	0.016615896249397	13
7	final_component_TP53_complex	6.58952927046999	100
8	final_component_WT1_t_6_9_ITD	0.706239798343463	88
9	final_component_additions	-0.483796045415123	78
10	final_component_chr_splicing_1	-0.283249952067325	46
11	final_component_chr_splicing_multiple	0.932746858766358	63
12	final_component_inv_3	0.28849303745999	81
13	final_component_not_assigned	-0.28991783896742	47
14	final_component_t_11	0.308288877696346	52
15	final_component_t_15_17	-0.543727155573638	97
16	final_component_t_8_21	-1.20226541759063	96
17	gender	0.235330065638349	25
