feature	coef	n
1	age	3.77770334634884	100
2	eln_2017_ratio	-28.27430806097	100
3	final_component_BAGE3_KMT2C	9.563886391628	58
4	final_component_CEBPA_bi	0.742225848511681	55
5	final_component_DNMT3A_IDH1_2	-23.7351229007358	93
6	final_component_KIT_NRAS	17.0573029511896	68
7	final_component_NPM1	0.996444393843739	15
8	final_component_TP53_complex	78.0235407577541	100
9	final_component_WT1_t_6_9_ITD	38.1723581551824	95
10	final_component_additions	-35.3652266709204	93
11	final_component_chr_splicing_1	-13.2079923074654	77
12	final_component_chr_splicing_multiple	7.02841698594201	60
13	final_component_inv_3	72.3554965061425	94
14	final_component_not_assigned	-12.4196187318244	80
15	final_component_t_11	24.0053560387042	82
16	final_component_t_15_17	-128.633451644993	98
17	final_component_t_8_21	-46.9231508072719	99
18	gender	2.58102239594851	68
