feature	coef	n
1	ASXL1	15.4564737036931	95
2	BCOR	-6.76880580745399	59
3	CBL	6.33564314629764	51
4	CEBPA_bi	-7.94335591057694	39
5	CEBPA_mono	-2.17917130981594	44
6	DNMT3A	15.2190720462847	94
7	EZH2	18.9329349265363	87
8	FLT3_TKD	2.59180403867863	58
9	FLT3_other	2.9561868119614	47
10	GATA2	-9.41028475849924	66
11	IDH1	-0.597397736517832	61
12	IDH2_p.R140	5.59396332719842	63
13	IDH2_p.R172	-27.2160674922549	86
14	ITD	22.5648503818098	100
15	KIT	-10.9512840988076	59
16	KRAS	6.40365013910841	60
17	MLL	2.71582871163562	45
18	MYC	-12.8149626085406	65
19	NF1	-1.53710282005711	63
20	NPM1	0.0846281389908672	5
21	NRAS_p.G12_13	2.09504989005841	51
22	NRAS_p.Q61_62	19.931834322662	86
23	PHF6	-3.86847987256232	45
24	PTPN11	-19.3905633914535	92
25	RAD21	-12.6933607740216	73
26	RUNX1	-5.51351441605965	56
27	SF3B1	22.1234370100382	87
28	SMC1A	21.2585898393443	84
29	SMC3	-0.470165390823245	45
30	SRSF2	24.1437008096378	99
31	STAG2	-2.63747401882031	53
32	TET2	22.6615026092935	98
33	TP53	57.7954615412903	100
34	U2AF1_p.S34	14.7013285056836	78
35	WT1	13.0124889804092	86
36	eln_2017_ratio	-27.7705363401324	100
37	final_component_BAGE3_KMT2C	-0.281056905151523	59
38	final_component_CEBPA_bi	-1.20598755123023	27
39	final_component_DNMT3A_IDH1_2	-11.5474418990028	59
40	final_component_KIT_NRAS	-6.9390285410324	47
41	final_component_NPM1	0.36289605756609	5
42	final_component_TP53_complex	65.6206040312664	100
43	final_component_WT1_t_6_9_ITD	13.8852096581442	75
44	final_component_additions	-34.3171425568039	92
45	final_component_chr_splicing_1	-8.65179976322275	65
46	final_component_chr_splicing_multiple	26.6090588094612	98
47	final_component_inv_3	70.986420362261	98
48	final_component_not_assigned	-17.1240366050638	88
49	final_component_t_11	0.105565092708107	46
50	final_component_t_15_17	-121.109696386431	100
51	final_component_t_8_21	-54.4231488580599	100
