feature	coef	n
1	ASXL1	7.06961549984223	66
2	BCOR	1.00029904043497	44
3	CBL	6.83059867287092	49
4	CEBPA_bi	-4.223243445497	28
5	CEBPA_mono	-0.989230515881931	47
6	DNMT3A	13.9723862621161	91
7	EZH2	12.9433140937884	75
8	FLT3_TKD	-1.27276739129797	44
9	FLT3_other	0.761064570175499	40
10	GATA2	-9.41513822637959	61
11	IDH1	1.14326684396863	51
12	IDH2_p.R140	8.69721628103209	75
13	IDH2_p.R172	-20.4580193448554	81
14	ITD	9.01585367301114	79
15	KIT	-11.7508367848473	60
16	KRAS	0.569082680571108	50
17	MLL	2.44500824348791	41
18	MYC	-11.0315858539264	60
19	NF1	-2.62045394691018	60
20	NPM1	-0.138005982571185	7
21	NRAS_p.G12_13	-0.59700914275543	46
22	NRAS_p.Q61_62	13.2598100293122	68
23	PHF6	-0.973032607988445	40
24	PTPN11	-14.6968511380875	82
25	RAD21	-7.57486196113786	56
26	RUNX1	-3.33873575075311	46
27	SF3B1	18.0906331226654	83
28	SMC1A	15.2969560256354	71
29	SMC3	1.92036873035609	41
30	SRSF2	14.4481430026257	95
31	STAG2	-0.773938031931415	40
32	TET2	19.1832541020034	97
33	TP53	52.5025788013178	100
34	U2AF1_p.S34	11.7187625256031	69
35	WT1	13.7209936780218	85
36	ahd	-41.3748331551373	100
37	bm_blasts	0.0835749708391587	65
38	eln_2017_ratio	-29.1168863769082	100
39	final_component_BAGE3_KMT2C	-20.8011391312467	58
40	final_component_CEBPA_bi	-2.93339386049695	23
41	final_component_DNMT3A_IDH1_2	-6.17552299786057	40
42	final_component_KIT_NRAS	-1.24943970097972	33
43	final_component_NPM1	0.029450683233855	7
44	final_component_TP53_complex	61.9978304279468	100
45	final_component_WT1_t_6_9_ITD	17.0327653821342	81
46	final_component_additions	-33.1070444547743	92
47	final_component_chr_splicing_1	-4.82781575273449	49
48	final_component_chr_splicing_multiple	22.5834115777184	94
49	final_component_inv_3	59.5300605530032	94
50	final_component_not_assigned	-13.5720230386445	81
51	final_component_t_11	-1.26647851105536	40
52	final_component_t_15_17	-100.675274927898	97
53	final_component_t_8_21	-45.4743361972821	100
54	hb	-0.0217126219175551	44
55	perf_status	24.3439950552655	100
56	plt	-0.0379094879108152	73
57	secondary	10.5254531683015	97
58	wbc	0.181191552510494	100
