feature	coef	n
1	ASXL1	13.1083052231472	100
2	BCOR	2.97357054157926	100
3	CBL	8.19467303414943	100
4	CEBPA_bi	-12.2620736506154	100
5	CEBPA_mono	-1.78355217507731	100
6	DNMT3A	15.0593411508739	100
7	EZH2	17.9019239703594	100
8	FLT3_TKD	-3.40319962799398	100
9	FLT3_other	-0.0610466975669249	100
10	GATA2	-13.5110030880083	100
11	IDH1	0.0773428523092969	100
12	IDH2_p.R140	9.64165124313878	100
13	IDH2_p.R172	-23.497266019712	100
14	ITD	10.66307588108	100
15	KIT	-20.0320230739179	100
16	KRAS	0.686746049262596	100
17	MLL	7.41608097291959	100
18	MYC	-18.2978052475866	100
19	NF1	-3.58679751875653	100
20	NPM1	-5.5907660553311	100
21	NRAS_p.G12_13	-1.25882600565246	100
22	NRAS_p.Q61_62	16.2408759282196	100
23	PHF6	-0.094676208884899	100
24	PTPN11	-18.1686494037426	100
25	RAD21	-11.1607390438618	100
26	RUNX1	-2.67875250932434	100
27	SF3B1	24.6504740983084	100
28	SMC1A	18.4751105590558	100
29	SMC3	2.25633552984687	100
30	SRSF2	17.1055480803565	100
31	STAG2	-1.62479510775421	100
32	TET2	19.180154912314	100
33	TP53	55.9627972843213	100
34	U2AF1_p.S34	17.2910707368645	100
35	WT1	14.5151816526526	100
36	ahd	-38.0313396472808	100
37	bm_blasts	0.120266818297002	100
38	eln_2017_ratio	-20.7318508974805	100
39	final_component_BAGE3_KMT2C	-17.9459438036213	100
40	final_component_CEBPA_bi	-4.88790802494229	100
41	final_component_DNMT3A_IDH1_2	-11.9526919067268	100
42	final_component_KIT_NRAS	-8.25636038000224	100
43	final_component_NPM1	-5.53843245919294	100
44	final_component_TP53_complex	56.091568934872	100
45	final_component_WT1_t_6_9_ITD	18.5498088615319	100
46	final_component_additions	-38.4553207281531	100
47	final_component_chr_splicing_1	-10.6631139235715	100
48	final_component_chr_splicing_multiple	18.5772535354321	100
49	final_component_inv_3	68.4353082478868	100
50	final_component_not_assigned	-20.2835391998224	100
51	final_component_t_11	-4.65481609483205	100
52	final_component_t_15_17	-98.233101060293	100
53	final_component_t_8_21	-51.4756894690808	100
54	hb	-0.0423285712706486	100
55	perf_status	21.41175140567	100
56	plt	-0.0438753126250449	100
57	secondary	12.7314470047702	100
58	wbc	0.168096330452626	100
